country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Armenia,2,Mariam Meliqyan,http://www.wikidata.org/entity/Q23664691,wd:Q23664691,49928622,Armenian actress,error,error
Australia,63,Miranda Kerr,http://www.wikidata.org/entity/Q127454,wd:Q127454,2925581,Australian supermodel,"Miranda May Kerr (; born 20 April 1983) is an Australian model and businesswoman. Kerr rose to prominence in 2007, as one of the Victoria's Secret Angels. Kerr was the first Australian Victoria's Secret model and also represented the Australian department store chain David Jones. Kerr has launched her own brand of organic skincare products, KORA Organics, and has written a self-help book.
Kerr began modelling in the fashion industry when she was 13, winning the 1997 Dolly magazine model search competition. Since 2008, Kerr has consistently ranked on the Forbes list of highest earning models.
Kerr was previously married to English actor Orlando Bloom, with whom she had her first son. Since 2017, she has been married to Snapchat CEO Evan Spiegel with whom she has two children.",https://en.wikipedia.org/wiki/Miranda_Kerr
Austria,56,Ivana Trump,http://www.wikidata.org/entity/Q242351,wd:Q242351,1057887,Czech model and entrepreneur,"Ivana Marie Trump (née Zelníčková, Czech: [ˈzɛlɲiːtʃkovaː]; born February 20, 1949) is a Czech-American businesswoman, media personality, fashion designer, author, and former model.  She lived in Canada in the 1970s before migrating to the United States, where she married Donald Trump in 1977. She held key managerial positions in The Trump Organization as vice president of interior design, as CEO and president of Trump's Castle casino resort, and as manager of the Plaza Hotel. 
Ivana's divorce from Donald Trump, finalized in 1992, was the subject of extensive media coverage in the 1990s. Following the divorce, she developed her own lines of clothing, fashion jewelry, and beauty products which were sold on QVC London and the Home Shopping Network. Ivana wrote an advice column for Globe called ""Ask Ivana"" from 1995 through 2010 and has published several books including works of fiction, self-help, and an autobiography.",https://en.wikipedia.org/wiki/Ivana_Trump
Azerbaijan,1,Fira Benenson,http://www.wikidata.org/entity/Q47010055,wd:Q47010055,56173750,American fashion designer,"Fira Benenson (14 April 1898 – 23 October 1977) was a Russian-born American fashion designer and dressmaker. After growing up in Baku and Saint Petersburg, her family left Russia at the end of World War I and relocated in London. Benenson grew up between London, Paris and New York City, immigrating to Manhattan in the late 1920s. Opening a dress shop, she gained a reputation as a designer and was hired by Bonwit Teller in 1934. When World War II prohibited participation in the Paris fashion industry, she and other American designers began creating their own fashion lines. Leaving Bonwit's in 1948, she operated her own company, designing into 1969 and inspiring a new generation of American designers.",https://en.wikipedia.org/wiki/Fira_Benenson
Azerbaijan,1,Javidan Gurbanova,http://www.wikidata.org/entity/Q17198461,wd:Q17198461,42997312,Azerbaijani model,error,error
Bahrain,8,Rachel Peters,http://www.wikidata.org/entity/Q29639932,wd:Q29639932,53928178,Filipino-British model,"Rachel Louise Peters-Villafuerte (born 20 October 1991) is a Filipino-British model, host, and beauty pageant titleholder who was crowned Miss Universe Philippines 2017. She represented the Philippines at the Miss Universe 2017 pageant and finished as a Top 10 semifinalist.",https://en.wikipedia.org/wiki/Rachel_Peters
Bangladesh,12,Rola,http://www.wikidata.org/entity/Q2913212,wd:Q2913212,35632215,Japanese fashion model,"Rola (ローラ, Rōra, born Eri Sato (佐藤えり, Sato Eri) on March 30, 1990) is a Japanese fashion model, TV personality, actress and singer. She is of Bangladeshi, Japanese and Russian descent as her father is Bangladeshi and her mother is three-quarters Japanese and one-quarter Russian. As a model, she is known for her regular appearances in the Japanese fashion magazine Vivi and in numerous commercials. Since 2011, Rola has also become widely known as a tarento (TV personality) appearing on Japanese television regularly and has one of the largest social media followings of any Japanese celebrity. Rola was represented by the management agency Libera in Japan.

",https://en.wikipedia.org/wiki/Rola_(model)
Belarus,17,Tanya Dziahileva,http://www.wikidata.org/entity/Q2465059,wd:Q2465059,8879054,Belarusian model,"Tatiana Dyagileva, known professionally as Tanya Dziahileva or Dyagileva or Diagileva (Belarusian: Таццяна (Таня) Дзягілева, Russian: Татьяна (Таня) Дягилева; born 4 June 1991) is a Belarusian model, artist, fashion designer, stylist, and fashion photographer.",https://en.wikipedia.org/wiki/Tanya_Dziahileva
Belize,3,Rebecca Stirm,http://www.wikidata.org/entity/Q27049030,wd:Q27049030,51653616,Belizean fashion designer,"Rebecca Marie Stirm (born February 9, 1993) is an internationally renowned fashion designer from Belize. In 2012, she represented Belize in the prestigious ""Mission Catwalk"" which features top designers from around the Caribbean. She designs women's wear and handbags using locally sourced materials under the signature brand of ""Twig and Pearl"", formerly ""Rebecca Stirm Clothing"".",https://en.wikipedia.org/wiki/Rebecca_Stirm
Bhutan,2,Tsokye Tsomo Karchung,http://www.wikidata.org/entity/Q7849837,wd:Q7849837,29138313,Miss Bhutan 2008,"Tsokye Tsomo Karchung (born August 20, 1984) is a Bhutanese actress and beauty pageant title holder who won Miss Bhutan 2008 and competed in Miss Earth 2008.  She is also the first Bhutanese woman to be crowned as Miss Bhutan. As an actress, she acted in many Bhutanese films including 'My Teacher, My World, Wai Lama Kencho and Meto Pema .
Tsokye made her debut with the movie, 'Sem Gawai Tasha' which was a big success. Movie critics praised her performance and was well received by the masses. For the movie, she won the Best debutant female award in 2012. This was followed by many successful movies such as Sharchogpa Zamin, Shhh... Galuya Malap, Miss Kota and Drukpa Kuenley.
Tsokye holds the record of winning National Fimfare Awards in the category of best actress for four consistent years. In 2016, she won the award for the movie Wai Lama Kencho, one of her own production. She is an active public figure and has become a role model for Bhutanese girls.Tsokye's latest movie, Thrung Thrung Karmo was released in December 2016. The movie was a recipient (awarded to three top movies) of the prestigious Prime Minister's Award at the Bhutan Film Awards 2017. Tsokye was also nominated for the Best Actress Award category.",https://en.wikipedia.org/wiki/Tsokye_Tsomo_Karchung
Bolivia,8,Jessica Jordan,http://www.wikidata.org/entity/Q433830,wd:Q433830,11577990,Bolivian model and politician,"Jessica Anne Jordan Burton (born 6 May 1984) is a Bolivian-British politician, model and beauty pageant titleholder who was crowned Miss Bolivia 2007 and represented Bolivia at Miss Universe 2007 pageant in Mexico City.
Jessica is the only child of an English father and Bolivian mother, Aida Burton.  Her father, Andrew Keith Jordan is a petroleum engineer.  In addition to Bolivia, Jessica has also lived in England, Scotland, the US and Brazil.
In her youth Jessica was very interested in sport and traveling and her mother worried that she was a bit too 'tomboyish' and not 'girly' enough.  At about 16 years of age her mother enrolled her into modelling classes, which Jessica found she enjoyed. As a result, Jessica went on to participate in numerous fashion competitions in Europe the US and Mexico as well as having succeeded in many beauty competitions.  These include Miss Mundo Latina, which she won in Miami in 2003.   Jessica Jordan succeeded Desiree Durán who won the Miss Bolivia title in 2005, and Miss Bolivia Universe in 2006. In addition, she was crowned Reina Internacional del Café 2008.
Jessica had acquired an interest in politics from her mother and states that she always wanted to help her country.  Her beauty title gave her the opportunity to meet people of influence, which culminated in her meeting the country's president, Evo Morales.  President Morales invited Jessica to stand for governor in the very marginal constituency of Beni, in which the President's party Movimiento Al Socialismo (MAS) had previously lost by 25,000 votes.  Jessica did not win but obtained more than 60,000 votes, losing by 2,900 votes (having narrowed the gap).  She nonetheless obtained 40% of the votes.
After the election, the President asked Jordan to become the representative of the Agency for Macro-Regions and Border Zones (Agencia de las Macrorregiones y Zonas Fronterizas; Ademaf) in Beni. Critics say that this position puts her in competition with the elected governor. Jessica is responsible for a budget of US$700 million a year for Beni, to be spent on roads, nurseries, hospitals, etc.
In September 2012, the MAS renominated her as candidate for governor of Beni in the 2013 special election. Jordan was defeated by Carmelo Lens of the Beni First party, who won a 52.27% majority ahead of her second-place finish with 60,382 votes (44,35%).Jessica is very influential young women in Bolivia is now General Consul of Bolivia in New York.",https://en.wikipedia.org/wiki/Jessica_Jordan
Bosnia and Herzegovina,33,Andreja Pejić,http://www.wikidata.org/entity/Q503007,wd:Q503007,30995181,Australian fashion model,"Andreja Pejić (; born 28 August 1991) is an Australian model and actress. Since coming out as a trans woman in 2013, she has become one of the most recognisable transgender models in the world.",https://en.wikipedia.org/wiki/Andreja_Peji%C4%87
Botswana,20,Mpule Kwelagobe,http://www.wikidata.org/entity/Q783300,wd:Q783300,1607867,Motswana model,"Mpule Keneilwe Kwelagobe (born 14 November 1979) is a Motswana investor, businesswoman, model, and beauty queen who was crowned Miss Universe 1999. She was the first black African woman to win one of the Big Four international beauty pageants, the first woman from Botswana to win, and the first from a nation making their debut in nearly four decades. Kwelagobe had previously been crowned Miss Botswana 1997 and Miss Universe Botswana 1999, and competed in Miss World 1997.
Kwelagobe has been recognized as a human health rights activist, especially for her fight against HIV/AIDS and advocacy for youth and women to have greater access to sexual reproductive education and services. She is the co-founder of QuesS Capital LLC, a private equity firm with investments in financial services, renewable energy and agriculture in Africa and South Asia.",https://en.wikipedia.org/wiki/Mpule_Kwelagobe
Brazil,80,Gisele Bündchen,http://www.wikidata.org/entity/Q152208,wd:Q152208,926934,Brazilian model,"Gisele Caroline Bündchen (Brazilian Portuguese: [ʒiˈzɛli ˈbĩtʃẽ], German: [ˈbʏntçn̩], born 20 July 1980) is a Brazilian fashion model. Since 2001, she has been one of the highest-paid models in the world. In 2007, Bündchen was the 16th richest woman in the entertainment industry and earned the top spot on Forbes top-earning models list in 2012. In 2014, she was listed as the 89th Most Powerful Woman in the World by Forbes.Vogue credited Bündchen with ending the heroin chic era of modelling in 1999. Bündchen was a Victoria's Secret Angel from 1999 until 2006. She is credited with pioneering and popularizing the horse walk, a stomping movement created by a model lifting her knees high and kicking her feet to step. In 2007, Claudia Schiffer called Bündchen the only remaining supermodel. Bündchen has appeared on more than 1,200 magazine covers.Bündchen was nominated for Choice Movie Female Breakout Star and for Choice Movie Villain at the 2005 Teen Choice Awards for her supporting role in Taxi (2004). She had a supporting role in The Devil Wears Prada (2006) and was the executive producer of an educational environmental cartoon, Gisele & the Green Team, in 2010 to 2011.
In 2016, she appeared in the Emmy award-winning documentary series Years of Living Dangerously, in the episode ""Fueling the Fire"".
Bündchen's charitable endeavors include Save the Children, Red Cross and Doctors Without Borders. She has been a Goodwill Ambassador for the United Nations Environment Program since 2009.",https://en.wikipedia.org/wiki/Gisele_B%C3%BCndchen
Bulgaria,13,Vera Jordanova,http://www.wikidata.org/entity/Q117301,wd:Q117301,11933478,Bulgarian-Finnish model and actress,"Vera Jordanova (Bulgarian Вера Йорданова) (born 28 August 1975) is a Bulgarian-Finnish cookbook author, model and actress.",https://en.wikipedia.org/wiki/Vera_Jordanova
Burundi,4,Leila Nda,http://www.wikidata.org/entity/Q47544110,wd:Q47544110,56426485,belgian model,"Leila Ndabirabe (born 26 June 1990), known as Leila Nda, is a Belgian fashion model.",https://en.wikipedia.org/wiki/Leila_Nda
Cambodia,3,Somnang Alyna,http://www.wikidata.org/entity/Q64756727,wd:Q64756727,60802661,Cambodian model and beauty pageant titleholder,"Somnang Alyna (Khmer: សំណាង អាលីណា; born 24 February 2001) is a Cambodian model and beauty pageant titleholder who was crowned Miss Universe Cambodia 2019. As Miss Universe Cambodia, She represented Cambodia at the Miss Universe 2019 pageant, where she was failed to make into Top 20.",https://en.wikipedia.org/wiki/Somnang_Alyna
Cambodia,3,Sotheary Bee,http://www.wikidata.org/entity/Q30638234,wd:Q30638234,67760197,Cambodian model and beauty pageant titleholder,error,error
Cameroon,15,Mason Ewing,http://www.wikidata.org/entity/Q16855170,wd:Q16855170,60649257,"Cameroonian fashion designer, film director and producteur","Mason Cyrille Elong Ewing (born April 9, 1982) is a French, Cameroonian and American producer, director, scriptwriter and fashion designer living in France and the United States. Although he is blind, he has built a thriving business and artistic career.",https://en.wikipedia.org/wiki/Mason_Ewing
Canada,42,Linda Evangelista,http://www.wikidata.org/entity/Q192171,wd:Q192171,276353,Canadian model (born 1965),"Linda Evangelista (Italian: [evandʒeˈlista]; born May 10, 1965) is a Canadian fashion model and one of the top supermodels from the 1990s. She is regarded as one of the most accomplished and influential models of all time, and has been featured on over 700 magazine covers. Evangelista is primarily known for being the longtime ""muse"" of photographer Steven Meisel, as well as for the phrase: ""We don't wake up for less than $10,000 a day."" She holds the record for her multiple appearances on the cover of Vogue Italia, all of which were photographed by Meisel.Evangelista's modelling career began in 1984 when she signed with Elite Model Management after having moved from her native Canada to New York City. Upon the suggestion of photographer Peter Lindbergh, Evangelista had her hair cut short in 1988. The haircut, nicknamed ""The Linda"", not only sparked many copies worldwide, but it also benefited Evangelista's career and helped usher in the era of the supermodel.Described as the ""chameleon"" of the fashion industry, and as a key figure among the five supermodels, Evangelista was one of the most famous women in the world during the late 1980s and throughout the 1990s.Unlike her colleagues, Evangelista chose not to diversify into other ventures outside of modelling. She retired from her career in 1998 and made a comeback three years later, this time working only sporadically. Her achievements as a model led to her being voted as ""The Greatest Supermodel of All Time"" by the viewers of the television show Fashion File in 2008.",https://en.wikipedia.org/wiki/Linda_Evangelista
Cape Verde,2,Vanny Reis,http://www.wikidata.org/entity/Q7915140,wd:Q7915140,34546041,Cape Verdean model and beauty pageant contestant,"Ivanilda (Vanny) Reis (born 13 October 1985 in Mindelo, Cape Verde) is the current holder of the titles Miss West Africa and Miss West Africa Cape Verde.",https://en.wikipedia.org/wiki/Vanny_Reis
