scientist,scientistLabel,sitelinks,countryLabel,deathdate
http://www.wikidata.org/entity/Q9327,Guy de Maupassant,143,France,1893-07-06T00:00:00Z
http://www.wikidata.org/entity/Q9364,Jean-Paul Sartre,180,France,1980-04-15T00:00:00Z
http://www.wikidata.org/entity/Q9711,Honorﾃｩ de Balzac,162,France,1850-08-18T00:00:00Z
http://www.wikidata.org/entity/Q10287,Manuel Valls,73,France,
http://www.wikidata.org/entity/Q10494,Alain Prost,68,France,
http://www.wikidata.org/entity/Q12091,Henry Dunant,99,France,1910-10-30T00:00:00Z
http://www.wikidata.org/entity/Q12680,Paul Doumer,56,France,1932-05-07T00:00:00Z
http://www.wikidata.org/entity/Q12688,Jean Jaurﾃｨs,71,France,1914-07-31T00:00:00Z
http://www.wikidata.org/entity/Q12718,Auguste Comte,119,France,1857-09-05T00:00:00Z
http://www.wikidata.org/entity/Q12927,Marine Le Pen,104,France,
http://www.wikidata.org/entity/Q13306,Alexandre Lacazette,52,France,
http://www.wikidata.org/entity/Q13308,Samuel Umtiti,64,France,
http://www.wikidata.org/entity/Q13494,Jean-Pierre Papin,56,France,
http://www.wikidata.org/entity/Q13513,Jean-Baptiste Say,58,France,1832-11-15T00:00:00Z
http://www.wikidata.org/entity/Q13515,Frﾃｩdﾃｩric Bastiat,64,France,1850-12-24T00:00:00Z
http://www.wikidata.org/entity/Q13575,Franﾃｧois Quesnay,55,France,1774-12-16T00:00:00Z
http://www.wikidata.org/entity/Q14279,Giovanni Domenico Cassini,71,France,1712-09-14T00:00:00Z
http://www.wikidata.org/entity/Q14524,Charles Messier,70,France,1817-04-12T00:00:00Z
http://www.wikidata.org/entity/Q15948,ﾃ・mile Durkheim,115,France,1917-11-15T00:00:00Z
http://www.wikidata.org/entity/Q15975,Montesquieu,141,France,1755-02-10T00:00:00Z
http://www.wikidata.org/entity/Q15981,Robert Schuman,69,France,1963-09-04T00:00:00Z
http://www.wikidata.org/entity/Q16409,Tristan Tzara,75,France,1963-12-24T00:00:00Z
http://www.wikidata.org/entity/Q18143,Gao Xingjian,102,France,
http://www.wikidata.org/entity/Q18391,Elie Wiesel,99,France,2016-07-02T00:00:00Z
http://www.wikidata.org/entity/Q18404,Henri Barbusse,83,France,1935-08-30T00:00:00Z
http://www.wikidata.org/entity/Q18420,Joachim du Bellay,52,France,1560-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18420,Joachim du Bellay,52,France,1560-01-11T00:00:00Z
http://www.wikidata.org/entity/Q18425,Marcellin Berthelot,52,France,1907-03-18T00:00:00Z
http://www.wikidata.org/entity/Q18434,Lﾃｩon Blum,68,France,1950-03-30T00:00:00Z
http://www.wikidata.org/entity/Q18962,Adrien Rabiot,51,France,
http://www.wikidata.org/entity/Q20710,Jean-Martin Charcot,53,France,1893-08-16T00:00:00Z
http://www.wikidata.org/entity/Q20721,Luigi Cherubini,54,France,1842-03-15T00:00:00Z
http://www.wikidata.org/entity/Q20733,Georges Duhamel,51,France,1966-04-13T00:00:00Z
http://www.wikidata.org/entity/Q20882,Gustave Eiffel,94,France,1923-12-27T00:00:00Z
http://www.wikidata.org/entity/Q20951,ﾃ・lisﾃｩe Reclus,52,France,1905-07-04T00:00:00Z
http://www.wikidata.org/entity/Q23380,Jean Auguste Dominique Ingres,127,France,1867-01-14T00:00:00Z
