country,number,item,item_id,shortform,pageid,wikidata_description
Guinea,2,8 November Bridge,http://www.wikidata.org/entity/Q4645244,wd:Q4645244,20937337,bridge in Guinea
Guyana,8,Takutu River Bridge,http://www.wikidata.org/entity/Q7678618,wd:Q7678618,24131222,Bridge between Guyana and Brazil
Honduras,4,Choluteca Bridge,http://www.wikidata.org/entity/Q20081333,wd:Q20081333,46956356,bridge in Honduras
Hungary,42,Széchenyi Chain Bridge,http://www.wikidata.org/entity/Q465534,wd:Q465534,1004958,the oldest bridge in Budapest
Iceland,3,Hvítá bridge,http://www.wikidata.org/entity/Q14655757,wd:Q14655757,40693494,"bridge in Western Region, Iceland"
India,24,Rabindra Setu,http://www.wikidata.org/entity/Q739641,wd:Q739641,1759574,"cantilever bridge in Kolkata, India"
Indonesia,23,Suramadu Bridge,http://www.wikidata.org/entity/Q1275181,wd:Q1275181,3230715,cable-stayed bridge
Iran,31,Si-o-se Pol,http://www.wikidata.org/entity/Q667674,wd:Q667674,4048154,"double level arch bridge in Isfahan, Iran"
Iraq,12,Delal Bridge,http://www.wikidata.org/entity/Q2571655,wd:Q2571655,4029181,bridge over the Khabur
Israel,22,Jerusalem Chords Bridge,http://www.wikidata.org/entity/Q1057872,wd:Q1057872,10678523,"bridge in Jerusalem, Israel"
Italy,49,Rialto Bridge,http://www.wikidata.org/entity/Q52505,wd:Q52505,974321,"one of four bridges spanning the Grand Canal in Venice, Italy"
Ivory Coast,5,Houphouët-Boigny Bridge,http://www.wikidata.org/entity/Q3396536,wd:Q3396536,20058604,bridge in Ivory Coast
Jamaica,2,Flat Bridge,http://www.wikidata.org/entity/Q5457726,wd:Q5457726,21752808,bridge across the Rio Cobre in Jamaica
Japan,67,Akashi Kaikyō Bridge,http://www.wikidata.org/entity/Q184213,wd:Q184213,141008,"suspension bridge in Kobe, Japan"
Jordan,16,Allenby Bridge,http://www.wikidata.org/entity/Q712133,wd:Q712133,4847484,international border crossings between Jordan and Israel
Kazakhstan,7,Semipalatinsk Bridge,http://www.wikidata.org/entity/Q48638,wd:Q48638,4716382,bridge in Semey
Kenya,4,Kilifi Bridge,http://www.wikidata.org/entity/Q6406926,wd:Q6406926,36383524,bridge in Kenya
Kosovo,14,Terzijski Bridge,http://www.wikidata.org/entity/Q769963,wd:Q769963,25156180,cultural heritage monument of Kosovo
Kuwait,6,Sheikh Jaber al-Ahmad al-Sabah Causeway,http://www.wikidata.org/entity/Q28221159,wd:Q28221159,52268499,bridge in Kuwait
Laos,28,First Thai–Lao Friendship Bridge,http://www.wikidata.org/entity/Q917862,wd:Q917862,1108868,Bridge over Mekong River
Latvia,16,Vanšu Bridge,http://www.wikidata.org/entity/Q317508,wd:Q317508,11254884,cable-stayed bridge
Lebanon,6,Leontes Bridge,http://www.wikidata.org/entity/Q1453570,wd:Q1453570,20074502,"bridge in Close to Tyre, Lebanon"
Liberia,2,Gabriel Tucker Bridge,http://www.wikidata.org/entity/Q5515889,wd:Q5515889,17263235,bridge in Liberia
Libya,9,Wadi el Kuf Bridge,http://www.wikidata.org/entity/Q996209,wd:Q996209,23418443,bridge in Libya
Lithuania,15,Queen Louise bridge,http://www.wikidata.org/entity/Q530858,wd:Q530858,68724334,road bridge
Luxembourg,18,Adolphe Bridge,http://www.wikidata.org/entity/Q365643,wd:Q365643,6247474,"tram and road stone arch bridge in Luxembourg City, with pedestrian and cycle steel bridge suspended beneath the upper deck"
Madagascar,4,Betsiboka Bridge,http://www.wikidata.org/entity/Q48781070,wd:Q48781070,55220760,bridge in Madagascar
Malaysia,21,Johor–Singapore Causeway,http://www.wikidata.org/entity/Q892615,wd:Q892615,2501940,border connection between Peninsula Malaysia and Singapore
Maldives,6,China-Maldives Friendship Bridge,http://www.wikidata.org/entity/Q39045567,wd:Q39045567,54397527,bridge connecting Malé and Hulhumalé in the Maldives
Mali,6,Martyrs Bridge,http://www.wikidata.org/entity/Q3397394,wd:Q3397394,18837149,bridge in Mali
Malta,6,St. Elmo Bridge,http://www.wikidata.org/entity/Q39487250,wd:Q39487250,53794883,bridge in Malta
Mexico,21,Baluarte Bridge,http://www.wikidata.org/entity/Q805835,wd:Q805835,24457407,cable-stayed bridge in Mexico
Moldova,17,"Eiffel Bridge, Ungheni",http://www.wikidata.org/entity/Q13529390,wd:Q13529390,27284529,historical monument of national importance in Moldova
Mongolia,3,Peace Bridge,http://www.wikidata.org/entity/Q2370261,wd:Q2370261,4663824,bridge in Mongolia
Montenegro,19,Millennium Bridge,http://www.wikidata.org/entity/Q1267436,wd:Q1267436,2839191,cable-stayed bridge
Morocco,8,Mohammed VI Bridge,http://www.wikidata.org/entity/Q26764441,wd:Q26764441,51499434,bridge in Morocco
Mozambique,10,Dona Ana Bridge,http://www.wikidata.org/entity/Q1239603,wd:Q1239603,11008372,bridge
