samplepainter,country,countryLabel,numsitelinks,painterlabel
http://www.wikidata.org/entity/Q82110,http://www.wikidata.org/entity/Q403,Serbia,127,Steven Seagal
http://www.wikidata.org/entity/Q37459,http://www.wikidata.org/entity/Q408,Australia,123,Nicole Kidman
http://www.wikidata.org/entity/Q43252,http://www.wikidata.org/entity/Q38,Italy,119,Sophia Loren
http://www.wikidata.org/entity/Q488006,http://www.wikidata.org/entity/Q212,Ukraine,118,Anatoliy Solovyanenko
http://www.wikidata.org/entity/Q129817,http://www.wikidata.org/entity/Q664,New Zealand,117,Russell Crowe
,,,,
http://www.wikidata.org/entity/Q23880,http://www.wikidata.org/entity/Q96,Mexico,115,Lila Downs
http://www.wikidata.org/entity/Q2643,http://www.wikidata.org/entity/Q21,England,114,George Harrison
http://www.wikidata.org/entity/Q38257,http://www.wikidata.org/entity/Q27,Ireland,114,Enya
http://www.wikidata.org/entity/Q159577,http://www.wikidata.org/entity/Q334,Singapore,113,Jet Li
http://www.wikidata.org/entity/Q2680,http://www.wikidata.org/entity/Q183,Germany,112,Bruce Willis
http://www.wikidata.org/entity/Q37615,http://www.wikidata.org/entity/Q172579,Kingdom of Italy,111,Luciano Pavarotti
http://www.wikidata.org/entity/Q43416,http://www.wikidata.org/entity/Q822,Lebanon,110,Keanu Reeves
http://www.wikidata.org/entity/Q285536,http://www.wikidata.org/entity/Q928,Philippines,101,Imelda Marcos
http://www.wikidata.org/entity/Q42455,http://www.wikidata.org/entity/Q189,Iceland,99,Björk
http://www.wikidata.org/entity/Q162202,http://www.wikidata.org/entity/Q754,Trinidad and Tobago,96,Nicki Minaj
http://www.wikidata.org/entity/Q34580,http://www.wikidata.org/entity/Q17,Japan,95,Ichirō Mizuki
http://www.wikidata.org/entity/Q179277,http://www.wikidata.org/entity/Q170174,Papal States,95,Giovanni da Palestrina
http://www.wikidata.org/entity/Q41548,http://www.wikidata.org/entity/Q29,Spain,94,Antonio Banderas
http://www.wikidata.org/entity/Q1785,http://www.wikidata.org/entity/Q399,Armenia,94,Charles Aznavour
http://www.wikidata.org/entity/Q131814,http://www.wikidata.org/entity/Q39,Switzerland,93,Tina Turner
http://www.wikidata.org/entity/Q20150,http://www.wikidata.org/entity/Q884,South Korea,92,Psy
http://www.wikidata.org/entity/Q232458,http://www.wikidata.org/entity/Q77,Uruguay,92,Natalia Oreiro
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q124943,Kingdom of Egypt,88,Umm Kulthum
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q170468,United Arab Republic,88,Umm Kulthum
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q3087763,Republic of Egypt (1953–1958),88,Umm Kulthum
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q79,Egypt,88,Umm Kulthum
http://www.wikidata.org/entity/Q80424,http://www.wikidata.org/entity/Q45,Portugal,85,Nelly Furtado
http://www.wikidata.org/entity/Q128297,http://www.wikidata.org/entity/Q41,Greece,84,Maria Callas
http://www.wikidata.org/entity/Q51101,http://www.wikidata.org/entity/Q865,Taiwan,84,Jolin Tsai
http://www.wikidata.org/entity/Q37944,http://www.wikidata.org/entity/Q222,Albania,83,Masiela Lusha
http://www.wikidata.org/entity/Q128799,http://www.wikidata.org/entity/Q1183,Puerto Rico,81,Ricky Martin
http://www.wikidata.org/entity/Q1666,http://www.wikidata.org/entity/Q31,Belgium,80,Jacques Brel
http://www.wikidata.org/entity/Q40890,http://www.wikidata.org/entity/Q36,Poland,80,Anna Maria Jopek
http://www.wikidata.org/entity/Q6583188,http://www.wikidata.org/entity/Q869,Thailand,80,Pumpuang Duangjan
http://www.wikidata.org/entity/Q82199,http://www.wikidata.org/entity/Q43,Turkey,79,Hande Yener
http://www.wikidata.org/entity/Q32849,http://www.wikidata.org/entity/Q1041,Senegal,78,Akon
http://www.wikidata.org/entity/Q160318,http://www.wikidata.org/entity/Q424,Cambodia,77,Norodom Sihanouk
http://www.wikidata.org/entity/Q53068,http://www.wikidata.org/entity/Q4948,Republic of Venice,76,Claudio Monteverdi
http://www.wikidata.org/entity/Q146256,http://www.wikidata.org/entity/Q193619,Union of South Africa,76,Miriam Makeba
http://www.wikidata.org/entity/Q146256,http://www.wikidata.org/entity/Q258,South Africa,76,Miriam Makeba
http://www.wikidata.org/entity/Q94081,http://www.wikidata.org/entity/Q174193,United Kingdom of Great Britain and Ireland,74,Bob Hope
http://www.wikidata.org/entity/Q103759,http://www.wikidata.org/entity/Q1011,Cape Verde,70,Cesária Évora
http://www.wikidata.org/entity/Q131259,http://www.wikidata.org/entity/Q20,Norway,69,Alexander Rybak
http://www.wikidata.org/entity/Q18810940,http://www.wikidata.org/entity/Q241,Cuba,69,Camila Cabello
http://www.wikidata.org/entity/Q2725555,http://www.wikidata.org/entity/Q833,Malaysia,68,Siti Nurhaliza
http://www.wikidata.org/entity/Q13476175,http://www.wikidata.org/entity/Q224,Croatia,67,Lorde
http://www.wikidata.org/entity/Q433003,http://www.wikidata.org/entity/Q191,Estonia,64,Birgit Õigemeel
http://www.wikidata.org/entity/Q81637,http://www.wikidata.org/entity/Q22,Scotland,62,Calvin Harris Records
http://www.wikidata.org/entity/Q151231,http://www.wikidata.org/entity/Q230791,Kingdom of Scotland,62,Annie Lennox
http://www.wikidata.org/entity/Q463897,http://www.wikidata.org/entity/Q83286,Socialist Federal Republic of Yugoslavia,61,Kaliopi
http://www.wikidata.org/entity/Q463897,http://www.wikidata.org/entity/Q221,North Macedonia,61,Kaliopi
http://www.wikidata.org/entity/Q60758679,http://www.wikidata.org/entity/Q29999,Netherlands,61,Duncan Laurence
http://www.wikidata.org/entity/Q1043065,http://www.wikidata.org/entity/Q783,Honduras,60,Carlos Mencia
http://www.wikidata.org/entity/Q48654131,http://www.wikidata.org/entity/Q801,Israel,60,Netta Barzilai
http://www.wikidata.org/entity/Q229613,http://www.wikidata.org/entity/Q414,Argentina,58,Carlos Gardel
http://www.wikidata.org/entity/Q484540,http://www.wikidata.org/entity/Q33,Finland,58,Tarja Turunen
http://www.wikidata.org/entity/Q189164,http://www.wikidata.org/entity/Q139319,Russian Republic,57,Feodor Chaliapin
http://www.wikidata.org/entity/Q189164,http://www.wikidata.org/entity/Q2305208,Russian Socialist Federative Soviet Republic,57,Feodor Chaliapin
http://www.wikidata.org/entity/Q189164,http://www.wikidata.org/entity/Q2184,Russian Soviet Federative Socialist Republic,57,Feodor Chaliapin
http://www.wikidata.org/entity/Q189164,http://www.wikidata.org/entity/Q34266,Russian Empire,57,Feodor Chaliapin
http://www.wikidata.org/entity/Q125133,http://www.wikidata.org/entity/Q298,Chile,55,Víctor Jara
http://www.wikidata.org/entity/Q156322,http://www.wikidata.org/entity/Q230,Georgia,54,Katie Melua
http://www.wikidata.org/entity/Q159099,http://www.wikidata.org/entity/Q16957,German Democratic Republic,54,Nina Hagen
http://www.wikidata.org/entity/Q226701,http://www.wikidata.org/entity/Q838261,Federal Republic of Yugoslavia,54,Marija Šerifović
http://www.wikidata.org/entity/Q226701,http://www.wikidata.org/entity/Q37024,Serbia and Montenegro,54,Marija Šerifović
http://www.wikidata.org/entity/Q18821,http://www.wikidata.org/entity/Q12548,Holy Roman Empire,53,Wolfram von Eschenbach
http://www.wikidata.org/entity/Q12349,http://www.wikidata.org/entity/Q218,Romania,53,Inna
http://www.wikidata.org/entity/Q242302,http://www.wikidata.org/entity/Q213,Czech Republic,53,Ewa Farna
http://www.wikidata.org/entity/Q204019,http://www.wikidata.org/entity/Q854,Sri Lanka,53,M.I.A.
http://www.wikidata.org/entity/Q336788,http://www.wikidata.org/entity/Q774,Guatemala,52,Oscar Isaac
