samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q308097,http://www.wikidata.org/entity/Q912,Mali,Abderrahmane Sissako,28
http://www.wikidata.org/entity/Q30201990,http://www.wikidata.org/entity/Q916,Angola,Pedro Fernando,19
http://www.wikidata.org/entity/Q3140823,http://www.wikidata.org/entity/Q924,Tanzania,Steven Kanumba,9
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q79,Egypt,Umm Kulthum,88
http://www.wikidata.org/entity/Q2959970,http://www.wikidata.org/entity/Q929,Central African Republic,Charles Perrière,1
http://www.wikidata.org/entity/Q2043799,http://www.wikidata.org/entity/Q948,Tunisia,Abdelmajid Lakhal,25
http://www.wikidata.org/entity/Q3473050,http://www.wikidata.org/entity/Q945,Togo,Sanvi Panou,1
http://www.wikidata.org/entity/Q324647,http://www.wikidata.org/entity/Q114,Kenya,Edi Gathegi,29
http://www.wikidata.org/entity/Q3453629,http://www.wikidata.org/entity/Q115,Ethiopia,Ruth Negga,42
http://www.wikidata.org/entity/Q38054072,http://www.wikidata.org/entity/Q953,Zambia,Rungano Nyoni,13
http://www.wikidata.org/entity/Q24266427,http://www.wikidata.org/entity/Q954,Zimbabwe,Regé-Jean Page,18
http://www.wikidata.org/entity/Q18206959,http://www.wikidata.org/entity/Q963,Botswana,Connie Ferguson,7
http://www.wikidata.org/entity/Q239508,http://www.wikidata.org/entity/Q958,South Sudan,Alek Wek,30
http://www.wikidata.org/entity/Q298682,http://www.wikidata.org/entity/Q962,Benin,Djimon Hounsou,48
http://www.wikidata.org/entity/Q934662,http://www.wikidata.org/entity/Q965,Burkina Faso,Sotigui Kouyaté,12
http://www.wikidata.org/entity/Q469145,http://www.wikidata.org/entity/Q117,Ghana,Peter Mensah,24
http://www.wikidata.org/entity/Q3488805,http://www.wikidata.org/entity/Q970,Comoros,Soeuf Elbadawi,3
http://www.wikidata.org/entity/Q16267954,http://www.wikidata.org/entity/Q967,Burundi,Léonce Ngabo,5
http://www.wikidata.org/entity/Q3367537,http://www.wikidata.org/entity/Q971,Republic of the Congo,Pascal Nzonzi,10
http://www.wikidata.org/entity/Q736274,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Papa Wemba,26
http://www.wikidata.org/entity/Q58822965,http://www.wikidata.org/entity/Q977,Djibouti,Lula Ali Ismail,11
http://www.wikidata.org/entity/Q3390358,http://www.wikidata.org/entity/Q983,Equatorial Guinea,Emilio Buale Coka,9
http://www.wikidata.org/entity/Q94670595,http://www.wikidata.org/entity/Q1005,The Gambia,Rosaline Meurer,8
http://www.wikidata.org/entity/Q4605,http://www.wikidata.org/entity/Q142,France,Sarah Bernhardt,171
http://www.wikidata.org/entity/Q172678,http://www.wikidata.org/entity/Q1000,Gabon,Samuel L. Jackson,88
http://www.wikidata.org/entity/Q11835264,http://www.wikidata.org/entity/Q986,Eritrea,Tiffany Haddish,25
http://www.wikidata.org/entity/Q19630887,http://www.wikidata.org/entity/Q1006,Guinea,Maimouna N'Diaye,12
http://www.wikidata.org/entity/Q6687754,http://www.wikidata.org/entity/Q1005,The Gambia,Louis Mahoney,8
http://www.wikidata.org/entity/Q2442793,http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Flora Gomes,16
http://www.wikidata.org/entity/Q1342843,http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,Isaach de Bankolé,24
http://www.wikidata.org/entity/Q433778,http://www.wikidata.org/entity/Q1009,Cameroon,Werewere Liking,18
http://www.wikidata.org/entity/Q308097,http://www.wikidata.org/entity/Q1025,Mauritania,Abderrahmane Sissako,28
http://www.wikidata.org/entity/Q445463,http://www.wikidata.org/entity/Q1011,Cape Verde,Mayra Andrade,18
http://www.wikidata.org/entity/Q3016197,http://www.wikidata.org/entity/Q1019,Madagascar,Dariush Arjmand,11
http://www.wikidata.org/entity/Q42881470,http://www.wikidata.org/entity/Q1020,Malawi,Flora Suya,8
http://www.wikidata.org/entity/Q44173530,http://www.wikidata.org/entity/Q1027,Mauritius,Vinaya Sungkur,5
http://www.wikidata.org/entity/Q43697,http://www.wikidata.org/entity/Q1028,Morocco,Jean Reno,79
