country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,21,Ahmad Zahir,http://www.wikidata.org/entity/Q195522,wd:Q195522,974608,Afghan singer (1946-1979),"Ahmad Zahir (Dari/Pashto: احمد ظاهر; 14 June 1946 – 14 June 1979) was an Afghan singer, songwriter and composer. Dubbed the ""Elvis of Afghanistan"", he is widely considered the all-time greatest singer of Afghanistan. The majority of his songs were sung in Dari, and he also sang many songs in Pashto, as well as a few in Urdu, Russian, and English.Born in Kabul, Zahir recorded at least 14 studio albums before his abrupt death on his 33rd birthday in 1979. His music blended folk music, Persian literature, Indian classical music and Western pop and rock styles. Among Afghans, he is considered an icon of Afghan music and is widely regarded as the single greatest musician of all time, posthumously reclaiming immortal fame due to his contributions and influence on music in Afghanistan. He has also become an icon of peacetime pre-war Afghanistan.",https://en.wikipedia.org/wiki/Ahmad_Zahir
Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,"Albanian actress, writer, author","Masiela Lusha (; born October 23, 1985) is an American actress, author, producer and humanitarian. Lusha gained recognition for playing Carmen Lopez on the globally syndicated ABC sitcom George Lopez, a role that earned her two consecutive Young Artist Awards for Leading Young Actress in a Comedy or Drama. After transitioning into film, she starred in Sony Pictures’ Blood: The Last Vampire. Lusha also starred alongside David Hasselhoff and Ian Ziering in SyFy's television movie Sharknado: The 4th Awakens.Lusha made her acting debut in Summoning in 2001. That same year, she made her television debut in the Disney Channel series, Lizzie McGuire. Lusha appeared as a main cast member in Clifford's Puppy Days (2003-2005) for PBS, and also appeared in Law & Order: Criminal Intent, and Anger Management. Lusha starred in movies comprising a variety of genres, including  Cherry Bomb (2004), My Father's Eulogy (2007), Muertas (2007), Time of the Comet (2008), Ballad of Broken Angels (2009), Kill Katie Malone (2010), Dragonfyre (2013), The Architect (2014), Of Silence (2014), Fatal Instinct (2014), and Branded (2016).
In 2010, Lusha was appointed ambassador of Prince Harry's charity Sentebale.  In 2014, Lusha was made the World Assembly of Youth's goodwill ambassador. Lusha is an advocate for UN Women.Lusha has written five books of poetry, Inner Thoughts, Drinking the Moon, Amore Celeste, The Call, The Living Air; a novel, The Besa; and two children's books. Lusha has written poetry and translated it into Albanian. She has translated poems and prayers by Mother Teresa.",https://en.wikipedia.org/wiki/Masiela_Lusha
Algeria,43,Khaled,http://www.wikidata.org/entity/Q312609,wd:Q312609,30873028,"musician, singer and songwriter","Khaled Hadj Ibrahim (Arabic: خالد حاج إبراهيم, [ˈxaːled ħaːd͡ʒ ɪbraːˈhiːm]; born 29 February 1960), better known by his mononym Khaled (Arabic: خالد), is an Algerian raï singer, musician and songwriter born in Oran. He began recording in his early teens under the name Cheb Khaled (الشاب خالد, Arabic for ""Young"" Khaled, with ""Cheb"" as a common title for male Raï singers).
Khaled is one of the most important musicians in the history of Raï music in his native Algeria and is one the world's best-known Arab singers. To date, Khaled has sold over 80.5 million albums (10 diamond, platinum, and gold) worldwide, making him one of the bestselling Arabic-language singers in history. Among his most famous songs are ""Didi"", ""El Arbi"", ""Abdel Kader"", ""La Poupée qui fait non"", ""Wahran Wahran"", ""Bakhta"", ""Aïcha"", ""C'est la vie"", and ""Alech Taadi"".",https://en.wikipedia.org/wiki/Khaled_(musician)
Andorra,26,Susanne Georgi,http://www.wikidata.org/entity/Q236034,wd:Q236034,10936764,Danish singer,"Susanne Georgi Nielsen (born 27 July 1976 in Sjølund), commonly known as Susanne Georgi, is a Danish-Andorran singer who lives and works in Andorra and represented the country in the Eurovision Song Contest 2009.",https://en.wikipedia.org/wiki/Susanne_Georgi
Andorra,1,Niki Francesca,http://www.wikidata.org/entity/Q16208223,wd:Q16208223,12295333,Andorran singer,error,error
Angola,15,Bonga,http://www.wikidata.org/entity/Q10993733,wd:Q10993733,2334505,Angolan folk and semba singer and songwriter,"José Adelino Barceló de Carvalho (born 5 September 1942 in Kipiri, Angola), better known as Bonga, is a folk and semba singer and songwriter from Angola.",https://en.wikipedia.org/wiki/Bonga_(musician)
Antigua and Barbuda,8,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280,actor and calypso singer (1924-2003),"Vivian Bonnell (born Enid Mosier, May 23, 1924 – November 18, 2003), was an actress and calypso singer, originally from Antigua, British West Indies. In 1954, she starred opposite Pearl Bailey in the Broadway musical House of Flowers. She and her fellow cast members recorded calypso albums as ""Enid Mosier and her Trinidad Steel Band"". She later married one of those performers, Austin Stoker.After changing her name, Bonnell went on to appear in a number of films and television shows, including several American TV movies. She died of complications from diabetes in Los Angeles on November 18, 2003, at the age of 79.",https://en.wikipedia.org/wiki/Vivian_Bonnell
Argentina,58,Carlos Gardel,http://www.wikidata.org/entity/Q229613,wd:Q229613,252092,"Argentinian singer, songwriter, actor; the most prominent figure in the history of tango","Carlos Gardel (born Charles Romuald Gardès; 11 December 1890 – 24 June 1935) was a French-born Argentine singer, songwriter, composer and actor, and the most prominent figure in the history of tango. He was one of the most influential interpreters of world popular music in the first half of the 20th century. Gardel is the most famous popular tango singer of all time and is recognized throughout the world.  He was notable for his baritone voice and the dramatic phrasing of his lyrics. Together with lyricist and long-time collaborator Alfredo Le Pera, Gardel wrote several classic tangos.
Gardel died in an airplane crash at the height of his career, becoming an archetypal tragic hero mourned throughout Latin America. For many, Gardel embodies the soul of the tango style. He is commonly referred to as ""Carlitos"", ""El Zorzal"" (""The Song thrush""), ""The King of Tango"", ""El Mago"" (The Wizard), ""El Morocho del Abasto"" (The Brunette boy from Abasto), and ironically ""El Mudo"" (The Mute).
In 1967, a controversial theory was published by Uruguayan writer Erasmo Silva Cabrera, asserting that Gardel was born in Tacuarembó, Uruguay. Other authors expanded upon this theory, and a museum to Gardel was established in Tacuarembó. But Gardel's friends and family all knew him as a French immigrant from Toulouse. Scholarly researchers analyzed the contradictory evidence, especially French birth and baptismal records, and confirmed his birthplace as Toulouse.",https://en.wikipedia.org/wiki/Carlos_Gardel
Armenia,94,Charles Aznavour,http://www.wikidata.org/entity/Q1785,wd:Q1785,91345,Armenian-French singer and diplomat,"Charles Aznavour ( AZ-nə-VOOR, French: [ʃaʁl aznavuʁ]; born Shahnour Vaghinag Aznavourian, Armenian: Շահնուր Վաղինակ Ազնավուրեան, Shahnur Vaghinak Aznavuryan; 22 May 1924 – 1 October 2018) was a Franco-Armenian singer, lyricist, actor and diplomat. Aznavour was known for his distinctive vibrato tenor voice: clear and ringing in its upper reaches, with gravelly and profound low notes. In a career as a composer, singer and songwriter, spanning over 70 years, he recorded more than 1,200 songs interpreted in 9 languages. Moreover, he wrote or co-wrote more than 1,000 songs for himself and others. Aznavour is regarded as one of the greatest songwriters in the history of music and an icon of 20th-century pop culture.One of France's most popular and enduring singers, he was dubbed France's Frank Sinatra, while music critic Stephen Holden described Aznavour as a ""French pop deity"". He was also arguably the most famous Armenian of his time. In 1998, Aznavour was named Entertainer of the Century by CNN and users of Time Online from around the globe. He was recognized as the century's outstanding performer, with nearly 18% of the total vote, edging out Elvis Presley and Bob Dylan. Jean Cocteau once said: ""Before Aznavour despair was unpopular"".Aznavour sang for presidents, popes and royalty, as well as at humanitarian events. In response to the 1988 Armenian earthquake, he founded the charitable organization Aznavour for Armenia along with his long-time friend impresario Levon Sayan. In 2008, he was granted Armenian citizenship, and was appointed ambassador of Armenia to Switzerland the following year, as well as Armenia's permanent delegate to the United Nations at Geneva.He started his last world tour in 2014. On 24 August 2017, Aznavour was awarded the 2,618th star on the Hollywood Walk of Fame. Later that year, he and his sister were awarded the Raoul Wallenberg Award for sheltering Jews during World War II. His concert at the NHK Hall in Osaka, on 19 September 2018, would be his final performance.
Between 1974 and 2016, Charles Aznavour officially received around sixty gold and platinum records around the world, representing several million cumulative sales. He remains the best certified French singer in the United States and, in fact, one of the few French artists to hold a certification from the Recording Industry Association of America. At the time of his death, according to his record company, the total sales of the artist's recordings were over 180 million units (which implies the total distribution of the titles made in all the discs released in the world, both in his works and in those of other artists and multi-performer records).",https://en.wikipedia.org/wiki/Charles_Aznavour
Australia,123,Nicole Kidman,http://www.wikidata.org/entity/Q37459,wd:Q37459,21504,"Australian-American actress, producer, and model","Nicole Mary Kidman  (born 20 June 1967) is an American and Australian actress and producer. Known for her work across various film and television productions from several genres, she has been continuously identified as one of the world's highest-paid actresses. She is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, a Screen Actors Guild Award, two Primetime Emmy Awards and six Golden Globe Awards.
Kidman began her acting career in Australia with the 1983 films Bush Christmas and BMX Bandits. Her breakthrough came in 1989 with the thriller film Dead Calm and the miniseries Bangkok Hilton. In 1990, she achieved international success with the action film Days of Thunder. She received greater recognition with lead roles in Far and Away (1992), Batman Forever (1995), To Die For (1995) and Eyes Wide Shut (1999). In 2003, she won the Academy Award for Best Actress for her portrayal of writer Virginia Woolf in the drama film The Hours (2002). She received additional Academy Award nominations for her roles in the musical Moulin Rouge! (2001) and the dramas Rabbit Hole (2010), Lion (2016) and Being the Ricardos (2021).
Kidman's television roles include Hemingway & Gellhorn (2012), Big Little Lies (2017–2019), Top of the Lake: China Girl (2017), The Undoing (2020) and Nine Perfect Strangers (2021). For Big Little Lies, she received two Primetime Emmy Awards, one for Outstanding Lead Actress and the other for Outstanding Limited Series as an executive producer.
Kidman has served as a Goodwill Ambassador for UNICEF since 1994 and for UNIFEM since 2006. In 2006, she was appointed Companion of the Order of Australia. She was married to actor Tom Cruise from 1990 to 2001 and has been married to country music singer Keith Urban since 2006. In 2010, she founded the production company Blossom Films. In 2004 and 2018, Time magazine included her on its list of the 100 most influential people in the world, and in 2020, The New York Times named her one of the greatest actors of the 21st century.

",https://en.wikipedia.org/wiki/Nicole_Kidman
