painter,painterLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q64626622,Adam Lisik,http://www.wikidata.org/entity/Q36,Poland,3
http://www.wikidata.org/entity/Q64848397,Svatopluk Janke,http://www.wikidata.org/entity/Q213,Czech Republic,3
http://www.wikidata.org/entity/Q64876631,Antonio Vázquez de Castro,http://www.wikidata.org/entity/Q29,Spain,3
http://www.wikidata.org/entity/Q64877546,Félix Íñiguez de Onzoño,http://www.wikidata.org/entity/Q29,Spain,3
http://www.wikidata.org/entity/Q65028590,Paul Dusart,http://www.wikidata.org/entity/Q142,France,3
http://www.wikidata.org/entity/Q65028639,Henri Armbruster,http://www.wikidata.org/entity/Q142,France,3
http://www.wikidata.org/entity/Q65032024,Vitaly Loginov,http://www.wikidata.org/entity/Q159,Russia,3
http://www.wikidata.org/entity/Q65047112,Alfred Runge,http://www.wikidata.org/entity/Q183,Germany,3
http://www.wikidata.org/entity/Q65088046,Karl Hart,http://www.wikidata.org/entity/Q218,Romania,3
http://www.wikidata.org/entity/Q65218060,Antal Károlyi,http://www.wikidata.org/entity/Q28,Hungary,3
http://www.wikidata.org/entity/Q65160401,Vladilen Krasilnikov,http://www.wikidata.org/entity/Q159,Russia,3
http://www.wikidata.org/entity/Q65215390,Kornél Baliga,http://www.wikidata.org/entity/Q28,Hungary,3
http://www.wikidata.org/entity/Q65507833,Siegfried Östreicher,http://www.wikidata.org/entity/Q183,Germany,3
http://www.wikidata.org/entity/Q66004039,Petr Hájek,http://www.wikidata.org/entity/Q213,Czech Republic,3
http://www.wikidata.org/entity/Q65731881,Ramón Montserrat Ballesté,http://www.wikidata.org/entity/Q29,Spain,3
http://www.wikidata.org/entity/Q66589991,Hala Wardé,http://www.wikidata.org/entity/Q142,France,3
http://www.wikidata.org/entity/Q66984372,Eugenio Soncini,http://www.wikidata.org/entity/Q38,Italy,3
http://www.wikidata.org/entity/Q66990522,Adam Caruso,http://www.wikidata.org/entity/Q145,United Kingdom,3
http://www.wikidata.org/entity/Q66993023,Ladislav Konopka,http://www.wikidata.org/entity/Q213,Czech Republic,3
http://www.wikidata.org/entity/Q66802677,Giovanni Tiella,http://www.wikidata.org/entity/Q38,Italy,3
