country,countryLabel,nummodel
http://www.wikidata.org/entity/Q1009,Cameroon,7
http://www.wikidata.org/entity/Q953,Zambia,2
http://www.wikidata.org/entity/Q962,Benin,1
http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,18
http://www.wikidata.org/entity/Q924,Tanzania,8
http://www.wikidata.org/entity/Q945,Togo,3
http://www.wikidata.org/entity/Q967,Burundi,1
http://www.wikidata.org/entity/Q1011,Cape Verde,1
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,2
http://www.wikidata.org/entity/Q1020,Malawi,1
http://www.wikidata.org/entity/Q963,Botswana,5
http://www.wikidata.org/entity/Q117,Ghana,16
http://www.wikidata.org/entity/Q954,Zimbabwe,2
http://www.wikidata.org/entity/Q1050,Eswatini,3
http://www.wikidata.org/entity/Q1041,Senegal,13
http://www.wikidata.org/entity/Q916,Angola,20
http://www.wikidata.org/entity/Q912,Mali,5
http://www.wikidata.org/entity/Q1044,Sierra Leone,2
http://www.wikidata.org/entity/Q1049,Sudan,2
http://www.wikidata.org/entity/Q1045,Somalia,10
http://www.wikidata.org/entity/Q986,Eritrea,1
http://www.wikidata.org/entity/Q1030,Namibia,7
http://www.wikidata.org/entity/Q114,Kenya,5
http://www.wikidata.org/entity/Q142,France,591
http://www.wikidata.org/entity/Q1028,Morocco,10
http://www.wikidata.org/entity/Q79,Egypt,35
http://www.wikidata.org/entity/Q958,South Sudan,9
http://www.wikidata.org/entity/Q262,Algeria,7
http://www.wikidata.org/entity/Q1006,Guinea,2
http://www.wikidata.org/entity/Q1037,Rwanda,2
http://www.wikidata.org/entity/Q971,Republic of the Congo,1
http://www.wikidata.org/entity/Q1033,Nigeria,87
http://www.wikidata.org/entity/Q258,South Africa,96
http://www.wikidata.org/entity/Q1000,Gabon,3
http://www.wikidata.org/entity/Q1014,Liberia,2
http://www.wikidata.org/entity/Q1036,Uganda,15
http://www.wikidata.org/entity/Q1005,The Gambia,1
http://www.wikidata.org/entity/Q948,Tunisia,13
http://www.wikidata.org/entity/Q115,Ethiopia,7
http://www.wikidata.org/entity/Q1027,Mauritius,13
http://www.wikidata.org/entity/Q1019,Madagascar,1
