Source.Name,event,eventLabel,country,sitelinks,countryLabel,Column1,pointtime,duration
buildings_by_countries.csv,1,Battle of Maiwand,,19,Afghanistan,,,
buildings_by_countries.csv,2,Battle of Saragarhi,,17,Afghanistan,,,
buildings_by_countries.csv,3,Battle of Parwan,,15,Afghanistan,,,
buildings_by_countries.csv,4,Battle of Oxus River,,8,Afghanistan,,,
buildings_by_countries.csv,5,Battle of Khyber pass,,8,Afghanistan,,,
buildings_by_countries.csv,6,Battle of Kandahar,,7,Afghanistan,,,
buildings_by_countries.csv,7,1221 siege of Bamiyan,,7,Afghanistan,,,
buildings_by_countries.csv,8,1221 siege of Bamiyan,,7,Afghanistan,,,
buildings_by_countries.csv,9,Battle of Herat,,7,Afghanistan,,,
buildings_by_countries.csv,10,Siege of Balkh,,7,Afghanistan,,,
buildings_by_countries.csv,11,Battle of Ghazni,,6,Afghanistan,,,
buildings_by_countries.csv,12,Tang campaign against Karakhoja,,6,Afghanistan,,,
buildings_by_countries.csv,13,Nader's Sindh Expedition,,6,Afghanistan,,,
buildings_by_countries.csv,14,Siege of Herat,,5,Afghanistan,,,
buildings_by_countries.csv,15,Siege of Herat,,5,Afghanistan,,,
buildings_by_countries.csv,16,Battle of Ghazni,,5,Afghanistan,,,
buildings_by_countries.csv,17,Battle of Herat,,5,Afghanistan,,,
buildings_by_countries.csv,18,Battle of Charasiab,,4,Afghanistan,,,
buildings_by_countries.csv,19,Battle of the Baggage,,4,Afghanistan,,,
buildings_by_countries.csv,20,Battle of Actium,,65,Albania,,,
buildings_by_countries.csv,21,Battle of Lissa,,32,Albania,,,
buildings_by_countries.csv,22,Serbo-Bulgarian War,,32,Albania,,,
buildings_by_countries.csv,23,Battle of Preveza,,32,Albania,,,
buildings_by_countries.csv,24,Battle of Dyrrhachium,,28,Albania,,,
buildings_by_countries.csv,25,Serbian Revolution,,27,Albania,,,
buildings_by_countries.csv,26,Battle of Dyrrhachium,,23,Albania,,,
buildings_by_countries.csv,27,Great Eastern Crisis,,18,Albania,,,
buildings_by_countries.csv,28,Battle of Savra,,15,Albania,,,
buildings_by_countries.csv,29,Battle of the Strait of Otranto,,15,Albania,,,
buildings_by_countries.csv,30,Battle of the Strait of Otranto,,15,Albania,,,
buildings_by_countries.csv,31,Battle of Lissa,,14,Albania,,,
buildings_by_countries.csv,32,Albanian Revolt of 1912,,14,Albania,,,
buildings_by_countries.csv,33,Battle of the Aous,,13,Albania,,,
buildings_by_countries.csv,34,Siege of Pelium,,13,Albania,,,
buildings_by_countries.csv,35,Siege of Pelium,,13,Albania,,,
buildings_by_countries.csv,36,Uprising of Asen and Peter,,12,Albania,,,
buildings_by_countries.csv,37,Battle of Pirano,,12,Albania,,,
buildings_by_countries.csv,38,Battle of Albulena,,11,Albania,,,
buildings_by_countries.csv,39,Siege of Berat,,10,Albania,,,
buildings_by_countries.csv,40,Bombardment of Algiers (1816),,14,Algeria,,,
buildings_by_countries.csv,41,Battle of the Bagradas River,,13,Algeria,,,
buildings_by_countries.csv,42,Synod of Hippo,,11,Algeria,,,
buildings_by_countries.csv,43,Battle of Cirta,,9,Algeria,,,
buildings_by_countries.csv,44,Capture of Algiers,,9,Algeria,,,
buildings_by_countries.csv,45,Fall of Tlemcen 1518,,9,Algeria,,,
buildings_by_countries.csv,46,Conquest of Oran,,9,Algeria,,,
buildings_by_countries.csv,47,Battle of Vescera,,8,Algeria,,,
buildings_by_countries.csv,48,Battle of Suthul,,8,Algeria,,,
buildings_by_countries.csv,49,Capture of Béjaïa,,7,Algeria,,,
buildings_by_countries.csv,50,Capture of Mers-el-Kébir,,6,Algeria,,,
buildings_by_countries.csv,51,Battle of Macta,,6,Algeria,,,
buildings_by_countries.csv,52,Battle of the Smala,,6,Algeria,,,
buildings_by_countries.csv,53,Siege of Cirta,,5,Algeria,,,
buildings_by_countries.csv,54,Siege of Cirta,,5,Algeria,,,
buildings_by_countries.csv,55,Battle of Mazagran,,5,Algeria,,,
buildings_by_countries.csv,56,Treaty of Desmichels,,5,Algeria,,,
buildings_by_countries.csv,57,Bombardment of Algiers,,4,Algeria,,,
buildings_by_countries.csv,58,Capture of Béjaïa (1510),,4,Algeria,,,
buildings_by_countries.csv,59,Battle of Staouéli,,4,Algeria,,,
buildings_by_countries.csv,60,Battle of Guadalete,,39,Andorra,,,
buildings_by_countries.csv,61,Norwegian Crusade,,34,Andorra,,,
buildings_by_countries.csv,62,Paréage of Andorra 1278,,4,Andorra,,,
buildings_by_countries.csv,63,Q796795,,3,Andorra,,,
buildings_by_countries.csv,64,Battle of the Col de Panissars,,3,Andorra,,,
buildings_by_countries.csv,65,Battle of the Col de Panissars,,3,Andorra,,,
buildings_by_countries.csv,66,Q11938994,,2,Andorra,,,
buildings_by_countries.csv,67,Naulila battle,,6,Angola,,,
buildings_by_countries.csv,68,Capture of Luanda,,4,Angola,,,
buildings_by_countries.csv,69,Recapture of Angola,,3,Angola,,,
buildings_by_countries.csv,70,Q2909589,,1,Angola,,,
buildings_by_countries.csv,71,Battle of São Salvador,,1,Angola,,,
buildings_by_countries.csv,72,Action of 10 February 1809,,1,Antigua and Barbuda,,,
buildings_by_countries.csv,73,Action of 10 February 1809,,1,Antigua and Barbuda,,,
buildings_by_countries.csv,74,Battle of the Falkland Islands,,38,Argentina,,,
buildings_by_countries.csv,75,May Revolution,,37,Argentina,,,
buildings_by_countries.csv,76,Argentina at the 1900 Summer Olympics,,20,Argentina,,,
buildings_by_countries.csv,77,Conquest of the Desert,,20,Argentina,,,
buildings_by_countries.csv,78,Argentina at the 1928 Summer Olympics,,18,Argentina,,,
buildings_by_countries.csv,79,Argentina at the 1924 Summer Olympics,,18,Argentina,,,
