Source.Name,Column1,Column2,Column3
buildings_by_countries.csv,Instagram,458000000,United States of America
buildings_by_countries.csv,Cristiano Ronaldo,401000000,Portugal
buildings_by_countries.csv,Virat Kohli,177000000,India
buildings_by_countries.csv,Nicki Minaj,168000000,Trinidad and Tobago
buildings_by_countries.csv,Neymar,167000000,Brazil
buildings_by_countries.csv,Khaby Lame,124600000,Senegal
buildings_by_countries.csv,Rihanna,116000000,Barbados
buildings_by_countries.csv,Justin Bieber,114264755,Canada
buildings_by_countries.csv,PewDiePie,110000000,Sweden
buildings_by_countries.csv,Shakira,109548855,Colombia
buildings_by_countries.csv,Real Madrid CF,108000000,Spain
buildings_by_countries.csv,Kids Diana Show,80500000,Ukraine
buildings_by_countries.csv,Dua Lipa,77000000,United Kingdom
buildings_by_countries.csv,Lisa,71000000,Thailand
buildings_by_countries.csv,CZN Burak,55300000,Turkey
buildings_by_countries.csv,Rosé,51600000,South Korea
query (5).csv,Rosé,51600000,New Zealand
query (5).csv,Elon Musk,50430902,South Africa
query (5).csv,Dominik Lipa,47000000,Mexico
query (5).csv,Badabun,44500000,Mexico
buildings_by_countries.csv,Younes Zarou,44000000,Germany
buildings_by_countries.csv,Colours,41500000,Philippines
buildings_by_countries.csv,Niall Horan,40910748,Republic of Ireland
buildings_by_countries.csv,Jun'ya,40400000,Japan
query (5).csv,Rod Contreras,38400000,Mexico
buildings_by_countries.csv,Alina Kim,36100000,Kazakhstan
buildings_by_countries.csv,Kirya Kolesnikov,34300000,Russia
buildings_by_countries.csv,Vlad Bumaga,32300000,Belarus
query (5).csv,Paola Montserrat Pantoja Lizárraga,30800000,Mexico
query (5).csv,Brianda Deyanara,30200000,Mexico
query (5).csv,Darian Rojas,29600000,Mexico
buildings_by_countries.csv,Atta Halilintar,27600000,Indonesia
query (5).csv,Rod Contreras,24500000,Mexico
query (5).csv,Dominik Lipa,23600000,Mexico
query (5).csv,Rosé,21300000,New Zealand
buildings_by_countries.csv,David Guetta,20713291,France
buildings_by_countries.csv,Sia,19800000,Australia
buildings_by_countries.csv,Aaidh ibn Abdullah al-Qarni,19788601,Saudi Arabia
buildings_by_countries.csv,His Holiness the Dalai Lama 14 Tendzin Gyatso,19397905,People's Republic of China
buildings_by_countries.csv,Vatican City,18863146,Vatican City
buildings_by_countries.csv,Michele Maganza,18000000,Italy
buildings_by_countries.csv,Tom Hanks,16680670,Greece
buildings_by_countries.csv,Luis Suárez,16638945,Uruguay
query (5).csv,Marmok,16100000,Moldova
buildings_by_countries.csv,El Rubius,15881703,Norway
buildings_by_countries.csv,Jacqueline Fernandez,15559091,Bahrain
buildings_by_countries.csv,Jacqueline Fernandez,15559091,Sri Lanka
buildings_by_countries.csv,Elissa,15260472,Lebanon
buildings_by_countries.csv,Sergio Agüero,14698124,Argentina
buildings_by_countries.csv,Mishary Rashid Al-Afasy,14615539,Kuwait
buildings_by_countries.csv,Les Copaque Production ,14500000,Malaysia
buildings_by_countries.csv,Marialejandra Marrero,14400000,Venezuela
query (5).csv,Nikkie Tutorials,13800000,Netherlands
buildings_by_countries.csv,Mohamed Salah,13747728,Egypt
buildings_by_countries.csv,Imran Khan,13117509,Pakistan
buildings_by_countries.csv,Roger Federer,12724141,Switzerland
buildings_by_countries.csv,Camila Cabello,12189731,Cuba
query (5).csv,Juan de Dios Pantoja,11800000,Mexico
buildings_by_countries.csv,Germán Garmendia,11723484,Chile
buildings_by_countries.csv,Ludacris,11381218,Gabon
query (5).csv,Eugenio Derbez,11356438,Mexico
query (5).csv,Yuya,11107631,Mexico
query (5).csv,Paulina Rubio,11100060,Mexico
buildings_by_countries.csv,Mohamed Beiraghdary,10800000,United Arab Emirates
buildings_by_countries.csv,Ricardo Arjona,10505440,Guatemala
buildings_by_countries.csv,World Health Organization,10480952,Republic of the Congo
buildings_by_countries.csv,World Health Organization,10480952,Denmark
buildings_by_countries.csv,Queen Rania of Jordan,10447906,Jordan
buildings_by_countries.csv,Red Bull,10100000,Austria
query (5).csv,Ani,9917336,Mexico
