cityLabel,countryLabel,sitelinks
Banjul,The Gambia,152
Conakry,Guinea,149
Bissau,Guinea-Bissau,155
Monrovia,Liberia,147
Praia,Cape Verde,146
Damascus,Syria,212
Yamoussoukro,Côte d'Ivoire,145
Ouagadougou,Burkina Faso,155
Freetown,Sierra Leone,145
Abuja,Nigeria,170
Lomé,Togo,145
Porto-Novo,Benin,149
Amman,Jordan,175
Yaoundé,Cameroon,149
Malabo,Equatorial Guinea,144
Beirut,Lebanon,194
Libreville,Gabon,147
Muscat,Oman,151
Bangui,Central African Republic,149
Kinshasa,Democratic Republic of the Congo,182
Brazzaville,Republic of the Congo,158
Kigali,Rwanda,148
Doha,Qatar,169
Dodoma,Tanzania,143
Lilongwe,Malawi,139
Lusaka,Zambia,154
Maputo,Mozambique,151
Kampala,Uganda,162
Luanda,Angola,163
Moroni,Comoros,135
Mbabane,Eswatini,131
Maseru,Lesotho,141
Antananarivo,Madagascar,153
Gaborone,Botswana,151
Harare,Zimbabwe,156
Port Louis,Mauritius,140
São Tomé,São Tomé and Príncipe,132
Windhoek,Namibia,162
Victoria,Seychelles,132
Kabul,Afghanistan,196
Kabul,Islamic Emirate of Afghanistan,196
Seoul,South Korea,223
Thimphu,Bhutan,155
Bandar Seri Begawan,Brunei,144
Vientiane,Laos,158
Malé,Maldives,141
Bishkek,Kyrgyzstan,169
Dushanbe,Tajikistan,161
Ashgabat,Turkmenistan,165
Port-au-Prince,Haiti,139
Kingston,Jamaica,141
Santo Domingo,Dominican Republic,134
Kuwait City,Kuwait,155
Colombo,Sri Lanka,145
Saint John's,Antigua and Barbuda,120
Roseau,Dominica,113
Naypyidaw,Myanmar,135
Basseterre,Saint Kitts and Nevis,110
St. George's,Grenada,115
Castries,Saint Lucia,115
Sri Jayawardenepura Kotte,Sri Lanka,115
Kandahar,Islamic Emirate of Afghanistan,105
Lobamba,Eswatini,84
Aden,Yemen,98
Gitega,Burundi,81
