93,TURKEY,turkey,,1.09,Turkey,
94,MONGOLIA,mongolia,,1.09,Mongolia,
95,SYRIA,syria,,1.07,Syria,
96,BANGLADESH,bangladesh,,1.07,Bangladesh,
97,SURINAME,suriname,,1.07,Suriname,
98,GABON,gabon,,1.02,Gabon,
99,SAINT VINCENT,saint vincent,,1.02,Saint Vincent,
100,CONGO,congo,,1.01,Congo,
101,ITALY,italy,,1.01,Italy,
102,DR CONGO,dr congo,,1.00,Dr Congo,
103,GRENADA,grenada,,1.00,Grenada,
104,MYANMAR,myanmar,,0.99,Myanmar,
105,HAITI,haiti,,0.98,Haiti,
106,VIET NAM,viet nam,,0.97,Vietnam,
107,THAILAND,thailand,,0.96,Thailand,
108,TUNISIA,tunisia,,0.96,Tunisia,
109,NETHERLANDS,netherlands,,0.95,Netherlands,
110,HONDURAS,honduras,,0.94,Honduras,
111,COLOMBIA,colombia,,0.91,Colombia,
112,DOMINICAN REP.,dominican rep.,,0.88,Dominican Rep.,
113,SLOVAKIA,slovakia,,0.88,Slovakia,
114,BAHRAIN,bahrain,,0.87,Bahrain,
115,ETHIOPIA,ethiopia,,0.86,Ethiopia,
116,TRINIDAD/TOB.,trinidad/tob.,,0.86,Trinidad/Tob.,
117,SAINT LUCIA,saint lucia,,0.85,Saint Lucia,
118,BULGARIA,bulgaria,,0.85,Bulgaria,
119,MEXICO,mexico,,0.85,Mexico,
120,BRAZIL,brazil,,0.84,Brazil,
121,AFGHANISTAN,afghanistan,,0.82,Afghanistan,
122,GUINEA-BISSAU,guinea-bissau,,0.81,Guinea-Bissau,
123,SRI LANKA,sri lanka,,0.81,Sri Lanka,
124,URUGUAY,uruguay,,0.79,Uruguay,
125,ALBANIA,albania,,0.77,Albania,
126,COSTA RICA,costa rica,,0.76,Costa Rica,
127,PAKISTAN,pakistan,,0.75,Pakistan,
128,PHILIPPINES,philippines,,0.75,Philippines,
129,CENTRAL AFRICA,central africa,,0.74,Central Africa,
130,MAURITIUS,mauritius,,0.73,Mauritius,
131,QATAR,qatar,,0.73,Qatar,
132,NICARAGUA,nicaragua,,0.70,Nicaragua,
133,BELIZE,belize,,0.70,Belize,
134,PANAMA,panama,,0.69,Panama,
135,NEPAL,nepal,,0.68,Nepal,
136,ISRAEL,israel,,0.67,Israel,
137,VENEZUELA,venezuela,,0.66,Venezuela,
138,HUNGARY,hungary,,0.66,Hungary,
139,SERBIA,serbia,,0.66,Serbia,
140,PORTUGAL,portugal,,0.66,Portugal,
141,SAO TOME,sao tome,,0.63,Sao Tome,
142,BAHAMAS,bahamas,,0.62,Bahamas,
143,CHILE,chile,,0.60,Chile,
144,OMAN,oman,,0.58,Oman,
145,BOSNIA/HERZEG.,bosnia/herzeg.,,0.57,Bosnia and Herzegovina,
146,MICRONESIA,micronesia,,0.56,Micronesia,
147,CAMBODIA,cambodia,,0.55,Cambodia,
148,UGANDA,uganda,,0.53,Uganda,
149,DJIBOUTI,djibouti,,0.53,Djibouti,
150,EL SALVADOR,el salvador,,0.51,El Salvador,
151,COMOROS,comoros,,0.51,Comoros,
152,LAOS,laos,,0.51,Laos,
153,BURUNDI,burundi,,0.50,Burundi,
154,MALDIVES,maldives,,0.49,Maldives,
155,PARAGUAY,paraguay,,0.44,Paraguay,
156,TONGA,tonga,,0.42,Tonga,
157,TIMOR-LESTE,timor-leste,,0.42,Timor-Leste,
158,ERITREA,eritrea,,0.41,Eritrea,
159,INDONESIA,indonesia,,0.40,Indonesia,
160,SAMOA,samoa,,0.40,Samoa,
161,BURKINA FASO,burkina faso,,0.39,Burkina Faso,
162,FIJI,fiji,,0.39,Fiji,
163,RWANDA,rwanda,,0.38,Rwanda,
164,CUBA,cuba,,0.37,Cuba,
165,SOMALIA,somalia,,0.36,Somalia,
166,TANZANIA,tanzania,,0.36,Tanzania,
167,NO MACEDONIA,no macedonia,,0.36,North Macedonia,
168,EGYPT,egypt,,0.35,Egypt,
169,JAPAN,japan,,0.34,Japan,
170,SOLOMON ISL.,solomon isl.,,0.30,Solomon Isl.,
171,VANUATU,vanuatu,,0.28,Vanuatu,
172,JAMAICA,jamaica,,0.28,Jamaica,
173,NEW GUINEA,new guinea,,0.28,New Guinea,
174,BARBADOS,barbados,,0.26,Barbados,
175,MALAWI,malawi,,0.26,Malawi,
176,SOUTH SUDAN,south sudan,,0.26,South Sudan,
177,SINGAPORE,singapore,,0.25,Singapore,
178,MOZAMBIQUE,mozambique,,0.24,Mozambique,
179,ZAMBIA,zambia,,0.24,Zambia,
180,SOUTH KOREA,south korea,,0.24,South Korea,
181,MADAGASCAR,madagascar,,0.23,Madagascar,
182,BRUNEI,brunei,,0.22,Brunei,
183,KENYA,kenya,,0.18,Kenya,
