1,UKRAINE,ukraine,#NAME?,10.96,Ukraine,#NAME?
2,UNITED STATES,united states,,10.81,United States,
3,RUSSIA,russia,,10.73,Russia,
4,BELARUS,belarus,,8.23,Belarus,
5,ESTONIA,estonia,,7.19,Estonia,
6,NORWAY,norway,,6.40,Norway,
7,LITHUANIA,lithuania,,6.14,Lithuania,
8,FINLAND,finland,,5.49,Finland,
9,NIGERIA,nigeria,,5.29,Nigeria,
10,KAZAKHSTAN,kazakhstan,,4.66,Kazakhstan,
11,AUSTRALIA,australia,,4.55,Australia,
12,KYRGYZSTAN,kyrgyzstan,,4.06,Kyrgyzstan,
13,COTE D IVOIRE,cote d ivoire,,3.98,Cote D Ivoire,
14,IRELAND,ireland,,3.88,Ireland,
15,MOLDOVA,moldova,,3.87,Moldova,
16,CAMEROON,cameroon,,3.77,Cameroon,
17,CANADA,canada,,3.73,Canada,
18,UNITED KINGDOM,united kingdom,,3.72,United Kingdom,
19,SWEDEN,sweden,,3.62,Sweden,
20,ICELAND,iceland,,3.55,Iceland,
21,DENMARK,denmark,,3.38,Denmark,
22,EQU. GUINEA,equ. guinea,,3.05,Equ. Guinea,
23,CAPE VERDE,cape verde,,2.78,Cape Verde,
24,SIERRA LEONE,sierra leone,,2.73,Sierra Leone,
25,CHAD,chad,,2.73,Chad,
26,IRAN,iran,,2.68,Iran,
27,ZIMBABWE,zimbabwe,,2.60,Zimbabwe,
28,GHANA,ghana,,2.55,Ghana,
29,ROMANIA,romania,,2.42,Romania,
30,AUSTRIA,austria,,2.42,Austria,
31,GREECE,greece,,2.37,Greece,
32,NORTH KOREA,north korea,,2.32,North Korea,
33,PERU,peru,,2.25,Peru,
34,SWAZILAND,swaziland,,2.24,Swaziland,
35,NAMIBIA,namibia,,2.18,Namibia,
36,TOGO,togo,,2.13,Togo,
37,SWITZERLAND,switzerland,,2.09,Switzerland,
38,BOLIVIA,bolivia,,2.00,Bolivia,
39,GERMANY,germany,,2.00,Germany,
40,MAURITANIA,mauritania,,1.97,Mauritania,
41,BENIN,benin,,1.97,Benin,
42,LESOTHO,lesotho,,1.96,Lesotho,
43,LATVIA,latvia,,1.96,Latvia,
44,GUINEA,guinea,,1.94,Guinea,
45,IRAQ,iraq,,1.90,Iraq,
46,BELGIUM,belgium,,1.87,Belgium,
47,TAJIKISTAN,tajikistan,,1.87,Tajikistan,
48,MALI,mali,,1.86,Mali,
49,TURKMENISTAN,turkmenistan,,1.86,Turkmenistan,
50,GUATEMALA,guatemala,,1.85,Guatemala,
51,CHINA,china,,1.84,China,
52,MONTENEGRO,montenegro,,1.84,Montenegro,
53,SOUTH AFRICA,south africa,,1.82,South Africa,
54,BOTSWANA,botswana,,1.82,Botswana,
55,LIBYA,libya,,1.81,Libya,
56,JORDAN,jordan,,1.80,Jordan,
57,GUYANA,guyana,,1.78,Guyana,
58,CROATIA,croatia,,1.75,Croatia,
59,FRANCE,france,,1.70,France,
60,GAMBIA,gambia,,1.69,Gambia,
61,SEYCHELLES,seychelles,,1.65,Seychelles,
62,LEBANON,lebanon,,1.59,Lebanon,
63,AZERBAIJAN,azerbaijan,,1.57,Azerbaijan,
64,ARGENTINA,argentina,,1.55,Argentina,
65,KUWAIT,kuwait,,1.55,Kuwait,
66,CZECH REPUBLIC,czech republic,,1.53,Czech Republic,
67,SUDAN,sudan,,1.48,Sudan,
68,MALTA,malta,,1.45,Malta,
69,KIRIBATI,kiribati,,1.45,Kiribati,
70,ECUADOR,ecuador,,1.42,Ecuador,
71,NEW ZEALAND,new zealand,,1.41,New Zealand,
72,SENEGAL,senegal,,1.38,Senegal,
73,GEORGIA,georgia,,1.37,Georgia,
74,ARAB EMIRATES,arab emirates,,1.36,Arab Emirates,
75,SPAIN,spain,,1.30,Spain,
76,MALAYSIA,malaysia,,1.26,Malaysia,
77,YEMEN,yemen,,1.25,Yemen,
78,BHUTAN,bhutan,,1.25,Bhutan,
79,SAUDI ARABIA,saudi arabia,,1.24,Saudi Arabia,
80,LUXEMBOURG,luxembourg,,1.23,Luxembourg,
81,NIGER,niger,,1.23,Niger,
82,MOROCCO,morocco,,1.21,Morocco,
83,POLAND,poland,,1.21,Poland,
84,CYPRUS,cyprus,,1.20,Cyprus,
85,INDIA,india,,1.18,India,
86,ANTIGUA/BAR.,antigua/bar.,,1.17,Antigua/Bar.,
87,SLOVENIA,slovenia,,1.14,Slovenia,
88,LIBERIA,liberia,,1.14,Liberia,
89,UZBEKISTAN,uzbekistan,,1.14,Uzbekistan,
90,ARMENIA,armenia,,1.10,Armenia,
91,ALGERIA,algeria,,1.09,Algeria,
92,ANGOLA,angola,,1.09,Angola,
