,,
1,United States,"13,513"
2,Brazil,"4,093"
3,Mexico,"1,714"
4,Canada,"1,467"
5,Russia,"1,218"
6,Argentina,916
7,Bolivia,855
8,Colombia,836
9,Paraguay,799
10,Indonesia,673
11,Papua New Guinea,561
12,Germany,539
13,China,507
14,Chile,481
15,France,464
16,United Kingdom,460
17,Venezuela,444
18,Ecuador,432
19,Australia,418
20,South Africa,407
21,India,346
22,Iran,319
23,Guatemala,291
24,Philippines,247
25,Sweden,231
26,Saudi Arabia,214
27,"Congo, Democratic Republic of the",198
28,Kenya,197
29,Zimbabwe,196
30,Peru,191
31,Ukraine,187
32,Japan,175
33,Tanzania,166
34,Costa Rica,161
35,Pakistan,151
36,Algeria,149
37,Finland,148
38,Nicaragua,147
39,Libya,146
40,Spain,135
41,Uruguay,133
42,Cuba,133
43,Oman,132
44,Italy,129
45,Czech Republic,128
46,Poland,126
47,New Zealand,123
48,Panama,117
49,Guyana,117
50,Malaysia,114
51,Namibia,112
52,"Korea, South",111
53,Honduras,103
54,Iraq,102
55,Angola,102
56,Thailand,101
57,Turkey,98
58,Mozambique,98
59,Kazakhstan,96
60,Iceland,96
61,Norway,95
62,Syria,90
63,South Sudan,89
64,Zambia,88
65,Madagascar,83
66,Egypt,83
67,"Korea, North",82
68,Denmark,80
69,Greece,77
70,Botswana,74
71,Croatia,69
72,Bulgaria,68
73,El Salvador,68
74,Sudan,67
75,Belarus,65
76,Burma,64
77,Portugal,64
78,Switzerland,63
79,Lithuania,61
80,Chad,59
81,Ethiopia,57
82,Yemen,57
83,Suriname,55
84,Morocco,55
85,French Polynesia,54
86,"Bahamas, The",54
87,Nigeria,54
88,Uzbekistan,53
89,Somalia,52
90,Austria,50
91,Belize,47
92,Nepal,47
93,Uganda,47
94,Afghanistan,46
95,Vietnam,45
96,Romania,45
97,Gabon,44
98,Mongolia,44
99,United Arab Emirates,43
100,Latvia,42
101,Israel,42
102,Hungary,41
103,Laos,41
104,Belgium,41
105,Ireland,40
106,Central African Republic,39
107,Taiwan,37
108,Dominican Republic,36
109,Solomon Islands,36
110,Slovakia,35
111,Cameroon,33
112,Malawi,32
113,Vanuatu,31
114,Niger,30
115,Mauritania,30
116,Liberia,29
117,Netherlands,29
118,Puerto Rico,29
119,Tunisia,29
120,Kyrgyzstan,28
121,Jamaica,28
122,Fiji,28
123,"Congo, Republic of the",27
124,Turkmenistan,26
125,Serbia,26
126,New Caledonia,25
127,Mali,25
128,Lesotho,24
129,Bosnia and Herzegovina,24
130,Tajikistan,24
131,Burkina Faso,23
132,Azerbaijan,23
133,Georgia,22
134,Senegal,20
135,Kiribati,19
136,Jordan,18
137,Bangladesh,18
138,Sri Lanka,18
139,Estonia,18
140,Antarctica,17
141,Cambodia,16
142,Guinea,16
143,Slovenia,16
144,Marshall Islands,15
145,Greenland,15
146,Haiti,14
147,Seychelles,14
148,Swaziland,14
149,Eritrea,13
150,Djibouti,13
151,Cook Islands,11
152,Ghana,10
153,Macedonia,10
154,Cape Verde,9
155,Singapore,9
156,Maldives,9
157,Guinea-Bissau,8
158,Spratly Islands,8
159,Sierra Leone,8
160,Turks and Caicos Islands,8
161,Togo,8
162,Lebanon,8
163,Kuwait,7
164,Moldova,7
165,Equatorial Guinea,7
166,Falkland Islands (Islas Malvinas),7
167,Burundi,7
168,Armenia,7
169,Rwanda,7
170,Qatar,6
171,East Timor,6
172,Tonga,6
173,Saint Vincent and the Grenadines,6
174,Western Sahara,6
175,Benin,6
176,"Micronesia, Federated States of",6
177,Kosovo,6
178,Montenegro,5
179,Mauritius,5
180,Guam,5
181,Northern Mariana Islands,5
182,Comoros,4
183,Bahrain,4
184,French Southern and Antarctic Lands,4
185,British Virgin Islands,4
186,Samoa,4
187,Trinidad and Tobago,4
188,Svalbard,4
189,Palau,3
190,Grenada,3
191,American Samoa,3
192,Albania,3
193,Antigua and Barbuda,3
194,Cayman Islands,3
195,Dominica,2
196,Bhutan,2
197,Guernsey,2
198,Hong Kong,2
199,Luxembourg,2
200,Sao Tome and Principe,2
201,Saint Helena,2
202,Saint Pierre and Miquelon,2
203,Saint Kitts and Nevis,2
204,Saint Lucia,2
205,Virgin Islands,2
206,West Bank,2
207,Wallis and Futuna,2
208,Wake Island,1
209,Saint Barthelemy,1
210,Tuvalu,1
211,Saint Martin,1
212,Niue,1
213,Norfolk Island,1
214,Nauru,1
215,Paracel Islands,1
216,Macau,1
217,Montserrat,1
218,Malta,1
219,Christmas Island,1
220,Jan Mayen,1
221,Gaza Strip,1
222,Isle of Man,1
223,British Indian Ocean Territory,1
224,Jersey,1
225,"Gambia, The",1
226,Gibraltar,1
227,Brunei,1
228,Aruba,1
229,Barbados,1
230,Bermuda,1
231,Anguilla,1
232,Akrotiri,1
233,Faroe Islands,1
234,Cocos (Keeling) Islands,1
