Country,Amount,Date
"Bahrain","100",2013
"Laos","100",2013
"Malta","98.08",2014
"Estonia","96.59",2014
"Belarus","96.43",2013
"Slovenia","95.71",2014
"Croatia","95.26",2014
"Luxembourg","95",2013
"Brunei","94.44",2014
"Cyprus","93.97",2014
"Romania","93.27",2014
"South Korea","93.24",2014
"Taiwan","92.86",2014
"Germany","92.19",2014
"Portugal","91.1",2014
"Slovakia","90.91",2014
"United Arab Emirates","90.81",2014
"Iceland","90.79",2014
"Denmark","90.62",2014
"Lithuania","90.38",2014
"Japan","90.24",2014
"Spain","89.89",2014
"Hong Kong","89.77",2014
"Serbia","89.71",2014
"Georgia","89.52",2014
"Switzerland","89.42",2014
"Israel","89.34",2014
"Czech Republic","89.29",2014
"Ghana","88.89",2014
"Sri Lanka","88.46",2013
"Poland","88.19",2014
"Finland","87.76",2014
"Singapore","87.5",2014
"Bosnia and Herzegovina","87.5",2014
"Thailand","87.01",2014
"Saudi Arabia","85.89",2014
"China","85.71",2014
"Oman","85.71",2014
"Panama","85.53",2014
"Canada","84.64",2014
"Namibia","84.62",2014
"Qatar","84.52",2014
"Bulgaria","84.18",2014
"Austria","83.72",2014
"Moldova","83.33",2014
"Hungary","83.33",2014
"Republic of Macedonia","83.33",2014
"Ethiopia","83.33",2014
"Greece","83.18",2014
"Belgium","83.04",2014
"Netherlands","82.06",2014
"United Kingdom","81.85",2014
"New Zealand","81.79",2014
"Kuwait","81.25",2014
"Latvia","81.25",2014
"Australia","80.65",2014
"Norway","80.62",2014
"Jordan","80.47",2014
"Monaco","80",2014
"Paraguay","80",2013
"Turkey","79.91",2014
"Armenia","79.55",2013
"Sweden","79.33",2014
"Sudan","79.17",2014
"Cambodia","79.17",2014
"Italy","78.98",2014
"Chile","78.47",2014
"Azerbaijan","77.5",2014
"Indonesia","76.9",2014
"India","76.78",2014
"Ukraine","76.61",2014
"Lebanon","76.32",2014
"France","75.79",2014
"United States","75.24",2014
"Mauritius","75",2014
"Albania","75",2014
"Egypt","75",2014
"Philippines","74.86",2014
"Iran","74.67",2014
"Russia","73.15",2014
"Botswana","72.5",2014
"Libya","71.88",2014
"Kyrgyzstan","71.88",2013
"Uruguay","71.43",2014
"Fiji","70",2013
"Barbados","70",2013
"Nepal","69.64",2014
"Ireland","69.61",2014
"Nicaragua","69.44",2013
"Mexico","69.4",2014
"Angola","68.75",2013
"Tunisia","68.33",2014
"Vietnam","67.97",2014
"Argentina","67.61",2014
"Kazakhstan","65.91",2014
"Costa Rica","65.79",2014
"Peru","63.89",2014
"Algeria","62.5",2014
"Uganda","60.71",2014
"Colombia","60.12",2014
"Syria","59.38",2013
"Dominican Republic","58.75",2014
"Eritrea","56.25",2013
"Ecuador","56.03",2014
"Zimbabwe","55.56",2014
"Puerto Rico","55.26",2014
"Iraq","54.17",2013
"Bangladesh","53.75",2014
"Tanzania","53.12",2013
"Morocco","52",2014
"Trinidad and Tobago","51.47",2014
"Pakistan","50.8",2014
"Yemen","50",2014
"El Salvador","50",2013
"Uzbekistan","50",2013
"Malaysia","47.97",2014
"Brazil","47.36",2014
"Nigeria","45.31",2014
"Jamaica","45.31",2014
"Bolivia","45",2014
"Mongolia","45",2013
"South Africa","39.49",2014
"The Bahamas","39.29",2014
"Guatemala","38.64",2014
"Kenya","38.1",2014
"Maldives","35",2014
"Haiti","35",2013
"Papua New Guinea","29.17",2014
"Honduras","26.67",2014
"Venezuela","22.58",2014
"Afghanistan","14.29",2014
