91,Flag of Mauritania,Mauritania,28. 11. 1960,1960
92,Flag of Nigeria,Nigeria,1. 10. 1960,1960
93,Flag of Mali,Mali,22. 9. 1960,1960
94,Flag of Gabon,Gabon,17. 8. 1960,1960
95,Flag of Cyprus,Cyprus,16. 8. 1960,1960
96,Flag of Republic of the Congo,Republic of the Congo,15. 8. 1960,1960
97,Flag of Central African Republic,Central African Republic,13. 8. 1960,1960
98,Flag of Chad,Chad,11. 8. 1960,1960
99,Flag of Côte d'Ivoire (Ivory Coast),Côte d'Ivoire (Ivory Coast),7. 8. 1960,1960
100,Flag of Burkina Faso,Burkina Faso,5. 8. 1960,1960
101,Flag of Benin,Benin,1. 8. 1960,1960
102,Flag of Somalia,Somalia,1. 7. 1960,1960
103,Flag of DR Congo,DR Congo,30. 6. 1960,1960
104,Flag of Madagascar,Madagascar,26. 6. 1960,1960
105,Flag of Togo,Togo,27. 4. 1960,1960
106,Flag of Senegal,Senegal,4. 4. 1960,1960
107,Flag of Cameroon,Cameroon,1. 1. 1960,1960
108,Flag of Guinea,Guinea,2. 10. 1958,1958
109,Flag of Malaysia,Malaysia,31. 8. 1957,1957
110,Flag of Ghana,Ghana,6. 3. 1957,1957
111,Flag of Tunisia,Tunisia,20. 3. 1956,1956
112,Flag of Morocco,Morocco,2. 3. 1956,1956
113,Flag of Sudan,Sudan,1. 1. 1956,1956
114,Flag of Cambodia,Cambodia,9. 11. 1953,1953
115,Flag of Libya,Libya,24. 12. 1951,1951
116,Flag of Bhutan,Bhutan,8. 8. 1949,1949
117,Flag of Laos,Laos,19. 7. 1949,1949
118,Flag of Israel,Israel,14. 5. 1948,1948
119,Flag of Myanmar,Myanmar,4. 1. 1948,1948
120,Flag of India,India,15. 8. 1947,1947
121,Flag of Pakistan,Pakistan,14. 8. 1947,1947
122,Flag of Jordan,Jordan,25. 5. 1946,1946
123,Flag of Syria,Syria,17. 4. 1946,1946
124,Flag of Vietnam,Vietnam,2. 9. 1945,1945
125,Flag of Indonesia,Indonesia,17. 8. 1945,1945
126,Flag of North Korea,North Korea,15. 8. 1945,1945
127,Flag of South Korea,South Korea,15. 8. 1945,1945
128,Flag of Lebanon,Lebanon,22. 11. 1943,1943
129,Flag of Iraq,Iraq,3. 10. 1932,1932
130,Flag of Saudi Arabia,Saudi Arabia,23. 9. 1932,1932
131,Flag of Vatican City (Holy See),Vatican City (Holy See),11. 2. 1929,1929
132,Flag of Turkey,Turkey,29. 10. 1923,1923
133,Flag of Egypt,Egypt,28. 2. 1922,1922
134,Flag of Ireland,Ireland,6. 12. 1921,1921
135,Flag of Mongolia,Mongolia,11. 7. 1921,1921
136,Flag of Afghanistan,Afghanistan,19. 8. 1919,1919
137,Flag of Iceland,Iceland,1. 12. 1918,1918
138,Flag of Poland,Poland,11. 11. 1918,1918
139,Flag of Finland,Finland,6. 12. 1917,1917
140,Flag of Albania,Albania,28. 11. 1912,1912
141,Flag of South Africa,South Africa,31. 5. 1910,1910
142,Flag of New Zealand,New Zealand,26. 9. 1907,1907
143,Flag of Norway,Norway,7. 6. 1905,1905
144,Flag of Panama,Panama,3. 11. 1903,1903
145,Flag of Cuba,Cuba,20. 5. 1902,1902
146,Flag of Australia,Australia,1. 1. 1901,1901
147,Flag of Philippines,Philippines,12. 6. 1898,1898
148,Flag of Bulgaria,Bulgaria,3. 3. 1878,1878
149,Flag of Romania,Romania,9. 5. 1877,1877
150,Flag of Germany,Germany,18. 1. 1871,1871
151,Flag of Canada,Canada,1. 7. 1867,1867
152,Flag of Italy,Italy,17. 3. 1861,1861
153,Flag of Denmark,Denmark,1. 1. 1849,1849
154,Flag of Liberia,Liberia,26. 7. 1847,1847
155,Flag of Dominican Republic,Dominican Republic,27. 2. 1844,1844
156,Flag of Luxembourg,Luxembourg,1. 1. 1839,1839
157,Flag of Belgium,Belgium,4. 10. 1830,1830
158,Flag of Greece,Greece,1. 1. 1829,1829
159,Flag of Uruguay,Uruguay,25. 8. 1825,1825
160,Flag of Bolivia,Bolivia,6. 8. 1825,1825
161,Flag of Brazil,Brazil,7. 9. 1822,1822
162,Flag of Ecuador,Ecuador,24. 5. 1822,1822
163,Flag of Costa Rica,Costa Rica,15. 9. 1821,1821
164,Flag of El Salvador,El Salvador,15. 9. 1821,1821
165,Flag of Guatemala,Guatemala,15. 9. 1821,1821
166,Flag of Honduras,Honduras,15. 9. 1821,1821
