Entity,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number)
Afghanistan,61995
African Region (WHO),1085321
Albania,12904
Algeria,97931
American Samoa,125
Andorra,169
Angola,25724
Antigua and Barbuda,200
Argentina,101725
Armenia,13507
Australia,51615
Austria,32998
Azerbaijan,42138
Bahamas,869
Bahrain,1271
Bangladesh,324764
Barbados,905
Belarus,75339
Belgium,33627
Belize,464
Benin,11418
Bermuda,209
Bhutan,1208
Bolivia,15905
Bosnia and Herzegovina,18828
Botswana,3519
Brazil,397993
Brunei,508
Bulgaria,79119
Burkina Faso,22151
Burundi,10804
Cambodia,30313
Cameroon,26491
Canada,82644
Cape Verde,1073
Central African Republic,7210
Chad,13837
Chile,30115
China,4584273
Colombia,72629
Comoros,1143
Congo,7096
Cook Islands,58
Costa Rica,6664
Cote d'Ivoire,22376
Croatia,24721
Cuba,39755
Cyprus,3112
Czechia,51294
Democratic Republic of Congo,89906
Denmark,15330
Djibouti,1240
Dominica,242
Dominican Republic,27140
East Asia & Pacific (WB),6737347
Eastern Mediterranean Region (WHO),1374978
Ecuador,21464
Egypt,263873
El Salvador,9695
England,153285
Equatorial Guinea,960
Eritrea,6660
Estonia,8201
Eswatini,1519
Ethiopia,76975
Europe & Central Asia (WB),4185904
European Region (WHO),4213688
Fiji,2642
Finland,25383
France,166496
French Guiana,
French Polynesia,
G20,13333622
Gabon,2541
Gambia,2603
Georgia,29709
Germany,364285
Ghana,39650
Greece,55921
Greenland,123
Grenada,263
Guadeloupe,
Guam,474
Guatemala,15882
Guinea,14547
Guinea-Bissau,2214
Guyana,2430
Haiti,26468
Honduras,15015
Hong Kong,
Hungary,61818
Iceland,724
India,2574410
Indonesia,651481
Iran,173601
Iraq,79952
Ireland,10347
Israel,12393
Italy,236507
Jamaica,6457
Japan,372483
Jordan,11798
Kazakhstan,65391
Kenya,40611
Kiribati,349
Kosovo,
Kuwait,4119
Kyrgyzstan,17482
Laos,13523
Latin America & Caribbean (WB),1099697
Latvia,15779
Lebanon,16329
Lesotho,4028
Liberia,4299
Libya,12747
Lithuania,21301
Luxembourg,1332
Macau,
Madagascar,35397
Malawi,15650
Malaysia,58824
Maldives,522
Mali,19519
Malta,1491
Marshall Islands,156
Martinique,
Mauritania,3952
Mauritius,3309
Mexico,167535
Micronesia (country),331
Middle East & North Africa (WB),997507
Moldova,23438
Monaco,161
Mongolia,9806
Montenegro,3943
Morocco,117034
Mozambique,31692
Myanmar,138139
Namibia,3747
Nauru,23
Nepal,46501
Netherlands,42569
New Caledonia,
New Zealand,11948
Nicaragua,8202
Niger,17201
Nigeria,163496
Niue,8
North America (WB),1040308
North Korea,102586
North Macedonia,14023
Northern Ireland,5024
Northern Mariana Islands,116
Norway,12724
OECD Countries,3723313
Oman,4998
Pakistan,341108
Palau,65
Palestine,6710
Panama,5318
Papua New Guinea,15540
Paraguay,9912
Peru,29215
Philippines,204311
Poland,174736
Portugal,37353
Puerto Rico,8823
Qatar,1121
Region of the Americas (WHO),2130471
Romania,150427
Russia,1004931
Rwanda,11826
Saint Kitts and Nevis,157
Saint Lucia,446
Saint Vincent and the Grenadines,355
Samoa,539
San Marino,98
Sao Tome and Principe,273
Saudi Arabia,45837
Scotland,19285
Senegal,15981
Serbia,63769
Seychelles,242
Sierra Leone,9009
Singapore,6810
Slovakia,26796
Slovenia,7797
Solomon Islands,2285
Somalia,18521
South Africa,82661
South Asia (WB),3397086
South Korea,77481
South Sudan,7114
South-East Asia Region (WHO),4004479
Spain,131493
Sri Lanka,46577
Sub-Saharan Africa (WB),1080282
Sudan,74371
Suriname,1423
Sweden,36087
Switzerland,23969
Syria,45682
Taiwan,41061
Tajikistan,21856
Tanzania,54489
Thailand,115830
Timor,2459
Togo,8361
Tokelau,4
Tonga,178
Trinidad and Tobago,4016
Tunisia,35007
Turkey,176663
Turkmenistan,18323
Tuvalu,42
Uganda,28149
Ukraine,449376
United Arab Emirates,8621
United Kingdom,188113
United States,957455
United States Virgin Islands,501
Uruguay,10003
Uzbekistan,107394
Vanuatu,869
Venezuela,61510
Vietnam,240161
Wales,10519
Wallis and Futuna,
Western Pacific Region (WHO),5709784
Western Sahara,
World,18562510
World (excluding China),
World Bank High Income,3525196
World Bank Low Income,792037
World Bank Lower Middle Income,6291011
World Bank Upper Middle Income,7943909
Yemen,55752
Zambia,18157
Zimbabwe,17810
