country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q842,Oman,http://www.wikidata.org/entity/Q12250314,Haitham bin Tarik Al Said,1955-10-11T00:00:00Z
http://www.wikidata.org/entity/Q164819,Gagauzia,http://www.wikidata.org/entity/Q12731069,Irina Vlah,1974-02-26T00:00:00Z
http://www.wikidata.org/entity/Q863,Tajikistan,http://www.wikidata.org/entity/Q15222839,Kokhir Rasulzoda,1961-03-08T00:00:00Z
http://www.wikidata.org/entity/Q924,Tanzania,http://www.wikidata.org/entity/Q16193885,Samia Suluhu,1960-01-27T00:00:00Z
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q16202782,Lazarus Chakwera,1955-04-05T00:00:00Z
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q16669148,Patrice Talon,1958-05-01T00:00:00Z
http://www.wikidata.org/entity/Q945,Togo,http://www.wikidata.org/entity/Q16682496,Victoire Dogbé Tomegah,1959-12-23T00:00:00Z
http://www.wikidata.org/entity/Q953,Zambia,http://www.wikidata.org/entity/Q18352991,Edgar Lungu,1956-11-11T00:00:00Z
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q18618891,Mokgweetsi Masisi,1962-07-21T00:00:00Z
http://www.wikidata.org/entity/Q1029,Mozambique,http://www.wikidata.org/entity/Q19057400,Carlos Agostinho do Rosário,1954-10-26T00:00:00Z
http://www.wikidata.org/entity/Q34020,Niue,http://www.wikidata.org/entity/Q19876617,Dalton Tagelagi,1968-06-05T00:00:00Z
http://www.wikidata.org/entity/Q16644,Northern Mariana Islands,http://www.wikidata.org/entity/Q21863882,Ralph Torres,1979-08-06T00:00:00Z
http://www.wikidata.org/entity/Q21203,Aruba,http://www.wikidata.org/entity/Q23038705,Evelyn Wever-Croes,1966-12-05T00:00:00Z
http://www.wikidata.org/entity/Q1011,Cape Verde,http://www.wikidata.org/entity/Q23899522,Ulisses Correia e Silva,1962-06-04T00:00:00Z
http://www.wikidata.org/entity/Q971,Republic of the Congo,http://www.wikidata.org/entity/Q23928873,Clément Mouamba,1943-11-13T00:00:00Z
http://www.wikidata.org/entity/Q967,Burundi,http://www.wikidata.org/entity/Q27231038,Alain-Guillaume Bunyoni,1972-04-23T00:00:00Z
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q27654948,Abdalla Hamdok,1956-01-01T00:00:00Z
