0,1,2,3,4
-,-,-,,
-,-,-,,
Andre Geim,67,Kingdom of the Netherlands,,
-,-,-,,
Geert Wilders,68,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
Wesley Sneijder,74,Kingdom of the Netherlands,,
-,-,-,,
Jasper Cillessen,55,Kingdom of the Netherlands,,
Daley Blind,53,Kingdom of the Netherlands,,
Paul Verhoeven,56,Kingdom of the Netherlands,,
-,-,-,,
Jan Peter Balkenende,69,Kingdom of the Netherlands,,
Virgil van Dijk,59,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
Mark van Bommel,57,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
Willem-Alexander of the Netherlands,95,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
Rafael van der Vaart,64,Kingdom of the Netherlands,,
Ibrahim Afellay,57,Kingdom of the Netherlands,,
Frank Rijkaard,64,Kingdom of the Netherlands,,
Giovanni van Bronckhorst,55,Kingdom of the Netherlands,,
-,-,-,,
Ruud Gullit,66,Kingdom of the Netherlands,,
Marten Stekelenburg,54,Kingdom of the Netherlands,,
-,-,-,,
Tiﾃｫsto,55,Kingdom of the Netherlands,,
Ryan Babel,55,Kingdom of the Netherlands,,
Gerard 't Hooft,70,Kingdom of the Netherlands,,
Edgar Davids,54,Kingdom of the Netherlands,,
Dennis Bergkamp,70,Kingdom of the Netherlands,,
Nigel de Jong,53,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
Patrick Kluivert,57,Kingdom of the Netherlands,,
-,-,-,,
Famke Janssen,68,Kingdom of the Netherlands,,
Ronald Koeman,62,Kingdom of the Netherlands,,
-,-,-,,
Stefan de Vrij,51,Kingdom of the Netherlands,,
-,-,-,,
Louis van Gaal,68,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
Ayaan Hirsi Ali,67,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
Frank de Boer,53,Kingdom of the Netherlands,,
-,-,-,,
Rem Koolhaas,54,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
Erna Solberg,74,Norway,,
Dirk Kuyt,64,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jostein Gaarder,73,Norway,,
-,-,-,,
Ole Einar Bjﾃｸrndalen,57,Norway,,
John Arne Riise,56,Norway,,
Liv Ullmann,63,Norway,,
Ivar Giaever,61,Norway,,
-,-,-,,
Jo Nesbﾃｸ,53,Norway,,
-,-,-,,
-,-,-,,
Varg Vikernes,56,Norway,,
-,-,-,,
Armin van Buuren,56,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Ole Gunnar Solskjﾃｦr,61,Norway,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Anders Behring Breivik,88,Norway,,
-,-,-,,
Harald V of Norway,89,Norway,,
Jens Stoltenberg,92,Norway,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Memphis Depay,58,Kingdom of the Netherlands,,
