samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q1991387,http://www.wikidata.org/entity/Q347,Liechtenstein,Nikolaus Büchel,1
http://www.wikidata.org/entity/Q4612,http://www.wikidata.org/entity/Q41304,Germany,Marlene Dietrich,180
http://www.wikidata.org/entity/Q131259,http://www.wikidata.org/entity/Q20,Norway,Alexander Rybak,69
http://www.wikidata.org/entity/Q82110,http://www.wikidata.org/entity/Q403,Serbia,Steven Seagal,127
http://www.wikidata.org/entity/Q19508994,http://www.wikidata.org/entity/Q756617,Denmark,Nive Nielsen,15
http://www.wikidata.org/entity/Q103876,http://www.wikidata.org/entity/Q27,Ireland,Peter O'Toole,98
http://www.wikidata.org/entity/Q34529,http://www.wikidata.org/entity/Q28,Hungary,Bela Lugosi,65
http://www.wikidata.org/entity/Q291205,http://www.wikidata.org/entity/Q32,Luxembourg,Anne Fontaine,24
http://www.wikidata.org/entity/Q276186,http://www.wikidata.org/entity/Q33,Finland,Aki Kaurismäki,50
http://www.wikidata.org/entity/Q7546,http://www.wikidata.org/entity/Q34,Sweden,Ingmar Bergman,146
http://www.wikidata.org/entity/Q51552,http://www.wikidata.org/entity/Q36,Poland,Roman Polanski,101
http://www.wikidata.org/entity/Q460756,http://www.wikidata.org/entity/Q37,Lithuania,Maya Plisetskaya,63
http://www.wikidata.org/entity/Q36949,http://www.wikidata.org/entity/Q38,Italy,Robert De Niro,123
http://www.wikidata.org/entity/Q106529,http://www.wikidata.org/entity/Q39,Switzerland,Alain Delon,114
http://www.wikidata.org/entity/Q78516,http://www.wikidata.org/entity/Q40,Austria,Anna Netrebko,167
http://www.wikidata.org/entity/Q2263,http://www.wikidata.org/entity/Q41,Greece,Tom Hanks,118
http://www.wikidata.org/entity/Q315309,http://www.wikidata.org/entity/Q43,Turkey,İlhan Mansız,54
http://www.wikidata.org/entity/Q80424,http://www.wikidata.org/entity/Q45,Portugal,Nelly Furtado,85
http://www.wikidata.org/entity/Q4605,http://www.wikidata.org/entity/Q142,France,Sarah Bernhardt,171
http://www.wikidata.org/entity/Q882,http://www.wikidata.org/entity/Q145,United Kingdom,Charlie Chaplin,236
http://www.wikidata.org/entity/Q78516,http://www.wikidata.org/entity/Q159,Russia,Anna Netrebko,167
http://www.wikidata.org/entity/Q2680,http://www.wikidata.org/entity/Q183,Germany,Bruce Willis,112
http://www.wikidata.org/entity/Q40791,http://www.wikidata.org/entity/Q183,Germany,Sandra Bullock,112
http://www.wikidata.org/entity/Q23039005,http://www.wikidata.org/entity/Q184,Belarus,Zinaida Kupriyanovich,33
http://www.wikidata.org/entity/Q962283,http://www.wikidata.org/entity/Q189,Iceland,Stefán Karl Stefánsson,76
http://www.wikidata.org/entity/Q433003,http://www.wikidata.org/entity/Q191,Estonia,Birgit Õigemeel,64
http://www.wikidata.org/entity/Q295420,http://www.wikidata.org/entity/Q211,Latvia,Mikhail Baryshnikov,57
http://www.wikidata.org/entity/Q3874799,http://www.wikidata.org/entity/Q212,Ukraine,Volodymyr Zelenskyi,111
http://www.wikidata.org/entity/Q51525,http://www.wikidata.org/entity/Q213,Czech Republic,Miloš Forman,76
http://www.wikidata.org/entity/Q152461,http://www.wikidata.org/entity/Q214,Slovakia,Karolína Kurková,42
http://www.wikidata.org/entity/Q433039,http://www.wikidata.org/entity/Q217,Moldova,Natalia Gordienko,37
http://www.wikidata.org/entity/Q434291,http://www.wikidata.org/entity/Q215,Slovenia,Rade Šerbedžija,34
http://www.wikidata.org/entity/Q191132,http://www.wikidata.org/entity/Q218,Romania,Harvey Keitel,61
http://www.wikidata.org/entity/Q183439,http://www.wikidata.org/entity/Q219,Bulgaria,Nina Dobrev,72
http://www.wikidata.org/entity/Q434291,http://www.wikidata.org/entity/Q221,North Macedonia,Rade Šerbedžija,34
http://www.wikidata.org/entity/Q37944,http://www.wikidata.org/entity/Q222,Albania,Masiela Lusha,83
http://www.wikidata.org/entity/Q318158,http://www.wikidata.org/entity/Q224,Croatia,Goran Višnjić,56
http://www.wikidata.org/entity/Q83487,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Jasmila Žbanić,46
http://www.wikidata.org/entity/Q558799,http://www.wikidata.org/entity/Q227,Azerbaijan,Muslim Magomayev,42
http://www.wikidata.org/entity/Q275912,http://www.wikidata.org/entity/Q228,Andorra,Marta Roure,23
http://www.wikidata.org/entity/Q229606,http://www.wikidata.org/entity/Q229,Cyprus,Anna Vissi,36
http://www.wikidata.org/entity/Q321365,http://www.wikidata.org/entity/Q230,Georgia,Otar Iosseliani,36
http://www.wikidata.org/entity/Q45396,http://www.wikidata.org/entity/Q232,Kazakhstan,Roza Rymbayeva,21
http://www.wikidata.org/entity/Q3925,http://www.wikidata.org/entity/Q235,Monaco,Grace Kelly,110
http://www.wikidata.org/entity/Q1563176,http://www.wikidata.org/entity/Q236,Montenegro,Mima Karadžić,8
http://www.wikidata.org/entity/Q1604757,http://www.wikidata.org/entity/Q233,Malta,Joseph Calleia,16
http://www.wikidata.org/entity/Q885363,http://www.wikidata.org/entity/Q238,San Marino,Matteo Fiorini,11
http://www.wikidata.org/entity/Q213574,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Rutger Hauer,66
-,-,Spain,Penelope Cruz,113
.,-,Belgium,Audrey Hepburn,128
-,-,Nicaragua,Barbara Carrera,30
