0,1,2,3,4,5
Algeria,281st,Oum Walid,9.97M,1.3K,Arabic
Angola,"2,963rd",PlatinaLine,386K,5.2K,Tamil
Benin,"4,312th",Blue Diamond,243K,50,French
Botswana,"4,435th",Shree craft place,234K,537,English
Burkina Faso,"5,311th",Droit Libre TV,190K,1.05K,French
Burundi,"7,754th",Indundi TV,127K,2.9K,Shosa
Cabo Verde,"1,356th",كورف CORV,1.15M,19,Portuguese
Cameroon,"2,390th",Displore,524K,79,French
Central African Republic,"13,314th",翔,74.7K,76,Mandarin
Chad,"33,123rd",Sao Magazine TV,26.8K,1,Spanish
Comoros,"6,788th",bioInternet,145K,109,English
Congo-Brazzaville,"2,296th",africanews (en français),554K,15K,French
Congo-Kinshasa,"51,657th",Hamada number 1,587K,516,French
Côte d'Ivoire,"10,639th",video whatsapptube,1.68M,21,English
Djibouti,"295,060th",salsibiris1,63.9K,244,Italian
Egypt,607th,Mohamed Ramadan I محمد رمضان,12.6M,495,Arabic
Equatorial Guinea,"525,537th",smey HH,72K,178,Spanish
Eritrea,"144,920th",mursal,150K,441,Arabic
Eswatini,"200,891st",DuncanJax,106K,24,French
Ethiopia,"41,214th",Arada Movies1,594K,402,Amharic
Gabon,"77,450th",Direct Prod,329K,93,French
Ghana,"4,002nd",MotoGP,4.15M,5.3K,English
Guinea,"191,421st",Banlieuz'Art Officiel,125K,73,French
Guinea-Bissau,"368,053rd",Pablo Hasel,110K,819,Portuguese
Kenya,"8,119th",Kenya CitizenTV,2.6M,109K,English
Lesotho,"93,204th",giky[qglhc,239K,285,Russian
Madagascar,"245,118th",3GI,86K,153,English
Malawi,"106,166th",फनी मनोरंजन लाइव A,269K,2.3K,Hindi
Mali,"104,346th",Iba One,309K,151,French
Mauritania,"68,771st",BellewarMedia - بلوارميدي,336K,"18,512",Arabic
Mauritius,"54,165th",Xorks TV 2,421K,478,English
Mayotte,"451,531st",Ivan Rivera Jaquez,37K,10,Spanish
Morocco,604th,Saad Lamjarred | سعد لمجرد,11M,148,Arabic
Mozambique,"136,107th",Miramar,163K,"15,308",Portuguese
Namibia,"89,896th",Ocean Conservation Namibia,272K,144,English
Niger,"273,957th",Hiro GT,42.3K,107,English
Nigeria,"1,403rd",MarkAngelComedy,6.75M,327,English
Réunion,"58,491st",MrGreatStephen,390K,128,French
Rwanda,"60,868th",Kigali Today,380K,"2,125",English
São Tomé and Príncipe,"667,225th",ibrx,22.2K,10,English
Senegal,"15,083rd",Hussein and Zeinab,1.34M,140,Arabic
Seychelles,"301,873rd",rose pink,62K,428,English
Sierra Leone,"343,470th",BlackPearl,38K,135,English
Somalia,"29,325th",K'naan Warsame,752K,74,English
South Africa,"4,448th",Die Antwoord,3.25M,121,English
South Sudan,"481,484th",One Love Music Station TV S.Sudan,22.1K,735,English
St. Helena,"119,563rd",JoshRocksGuitarHero,183K,780,English
Sudan,"53,888th",المنهج السلفي بالسودان,427K,"4,137",Arabic
Tanzania,"3,073rd",Diamond Platinumz,4.16M,666,English
The Gambia,"41,520th",Cordylobia Anthropophaga,566k,123,English
Togo,"39,076th",Toofan,586K,81,French
Tunisia,"2,007th",Elhiwar Ettounsi,5.41M,"15,160",Arabic
Uganda,"14,397th",Eddy Kenzo,1.4M,429,English
Western Sahara,"131,011th",Piter Gaming,167K,12,Arabic
Zambia,"13,268th",Cartoon Club,1.44M,81,English
Zimbabwe,"68,540th",King Gryph,333K,721,English
Libya,"10,824th",Sofyan,807k,"1,000",Arabic
Antarctica,"2,400,904th",British Antarctic Survey,12k,150,English
Afghanistan,"10,612th",Muslim Speakers,855K,29,Arabic
Armenia,"12,381st",Arin أرين,1.56M,21,Arabic
Azerbaijan,"15,062nd",Uzeyir Mehdizade Official,1.33M,238,Azeri
Bahrain,"3,343rd",سبوكي,3.88M,734,Arabic
Bangladesh,"1,863rd",Eagle Music Video Station,5.77M,476,Bengali
Bhutan,"177,612th",GnysBoy,116K,46,Russian
British Indian Ocean Territory,"331,117th",Cater the DBXYZ Maker,66.4K,134,English
Brunei Darussalem,"98,843rd",Animalife,227K,8,English
Cambodia,"2,889th",Rasmey Hang Meas,4.31M,"3,621",Khmer
China,484th,李子柒 Liziqi,12.6M,119,Mandarin
Cyprus,9th,5-Minute Crafts,68.6M,"4,607",English
Georgia,"2,020th",Guka Family Show,5.34M,267,English
India,1st,T-Series,201M,"14,708",Hindi
Indonesia,100th,AH,25.7M,"1,032",Indonesian
Iran,"62,384th",PressTV,288K,"56,252",Urdu
Iraq,329th,الريماس - AlRemas,15M,"1,810",Arabic
Israel,,Inde Game,532K,545,Hebrew
Japan,973rd,Junya.じゅんや,10.4M,"2,058",Japanese
Jordan,164th,قناة طيور الجنة | toyoraljanahtv,21.1M,"2,782",Arabic
Kazakhstan,"7,358th",GAKKU TV,2.29M,"2,348",Macedonian
Kuwait,351st,AboFlah,16.8M,458,Arabic
Kyrgyzstan,"17,579th",Сань Янь,1.13M,84,Russian
Laos,"20,764th",DJ Taiy Remix ດີເຈ ຕ່າຍ ຣ …,1.01M,45,Lao
Lebanon,"3,697th",Nassif Zeytoun,3.66M,104,Arabic
Malaysia,548th,Les' Copaque Production,14.7M,"1,229",Malay
Maldives,"331,569th",Funny Face,55K,10,Hindi
Mongolia,"24,379th",The HU,903K,34,Mongolian
Myanmar,"16,099th",Mahar,1.32M,"1,063",Burmese
Nepal,"2,127th",Music Nepal,5.23M,"12,677",Nepalese
North Korea,"332,493",DPRK Video Archive,17.5k,188,Korean
Oman,"7,391st",قرية العجائب,2.3M,135,Arabic
Pakistan,284th,ARY Digital,23.6M,"30,930",Urdu
Palestine,"1,064th",Fozi Mozi,7.97M,914,Arabic
Philippines,76th,ABS-CBN Entertainment,29.8M,"148,470",English
