scientist,scientistLabel,sitelinks,countryLabel,deathdate
http://www.wikidata.org/entity/Q102822,Jacobus Henricus van 't Hoff,88,Kingdom of the Netherlands,1911-03-01T00:00:00Z
http://www.wikidata.org/entity/Q103835,Peter Debye,75,Kingdom of the Netherlands,1966-11-02T00:00:00Z
http://www.wikidata.org/entity/Q104104,Andre Geim,67,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q104779,Simon van der Meer,71,Kingdom of the Netherlands,2011-03-04T00:00:00Z
http://www.wikidata.org/entity/Q105338,Geert Wilders,68,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q107405,Lars Onsager,62,Kingdom of the Netherlands,1976-10-05T00:00:00Z
http://www.wikidata.org/entity/Q107609,Christiaan Eijkman,62,Kingdom of the Netherlands,1930-11-05T00:00:00Z
http://www.wikidata.org/entity/Q110968,Tjalling Koopmans,51,Kingdom of the Netherlands,1985-02-26T00:00:00Z
http://www.wikidata.org/entity/Q124086,Wesley Sneijder,74,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q125649,William III of the Netherlands,52,Kingdom of the Netherlands,1890-11-23T00:00:00Z
http://www.wikidata.org/entity/Q128719,Jasper Cillessen,55,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q128912,Daley Blind,53,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q129079,Paul Verhoeven,56,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q131721,Johannes Diderik van der Waals,91,Kingdom of the Netherlands,1923-03-08T00:00:00Z
http://www.wikidata.org/entity/Q133386,Jan Peter Balkenende,69,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q133903,Virgil van Dijk,59,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q135139,Paul Josef Crutzen,58,Kingdom of the Netherlands,2021-01-27T00:00:00Z
http://www.wikidata.org/entity/Q150747,Wilhelmina of the Netherlands,68,Kingdom of the Netherlands,1962-11-28T00:00:00Z
http://www.wikidata.org/entity/Q151803,Piet Mondrian,76,Kingdom of the Netherlands,1944-02-01T00:00:00Z
http://www.wikidata.org/entity/Q151853,Mark van Bommel,57,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q153890,Niko Tinbergen,56,Kingdom of the Netherlands,1988-12-21T00:00:00Z
http://www.wikidata.org/entity/Q154211,Multatuli,60,Kingdom of the Netherlands,1887-02-19T00:00:00Z
http://www.wikidata.org/entity/Q154946,Juliana of the Netherlands,59,Kingdom of the Netherlands,2004-03-20T00:00:00Z
http://www.wikidata.org/entity/Q154952,Willem-Alexander of the Netherlands,95,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q159840,Ruud Lubbers,51,Kingdom of the Netherlands,2018-02-14T00:00:00Z
http://www.wikidata.org/entity/Q160192,Hugo Marie de Vries,52,Kingdom of the Netherlands,1935-05-21T00:00:00Z
http://www.wikidata.org/entity/Q160422,Theo van Doesburg,53,Kingdom of the Netherlands,1931-03-07T00:00:00Z
http://www.wikidata.org/entity/Q163974,Rafael van der Vaart,64,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q165014,Ibrahim Afellay,57,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q169098,Frank Rijkaard,64,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q173360,Giovanni van Bronckhorst,55,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q173714,Max Euwe,70,Kingdom of the Netherlands,1981-11-26T00:00:00Z
http://www.wikidata.org/entity/Q173972,Ruud Gullit,66,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q182685,Marten Stekelenburg,54,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q183181,Jan Tinbergen,66,Kingdom of the Netherlands,1994-06-09T00:00:00Z
http://www.wikidata.org/entity/Q183508,Tiﾃｫsto,55,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q184218,Ryan Babel,55,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q184592,Gerard 't Hooft,70,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q185115,Edgar Davids,54,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q185389,Dennis Bergkamp,70,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q185650,Nigel de Jong,53,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q188293,Frits Zernike,68,Kingdom of the Netherlands,1966-03-10T00:00:00Z
http://www.wikidata.org/entity/Q189488,Willem Einthoven,71,Kingdom of the Netherlands,1927-09-29T00:00:00Z
http://www.wikidata.org/entity/Q189686,Patrick Kluivert,57,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q189987,Nicolaas Bloembergen,70,Kingdom of the Netherlands,2017-09-05T00:00:00Z
http://www.wikidata.org/entity/Q190794,Famke Janssen,68,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q192635,Ronald Koeman,62,Kingdom of the Netherlands,
http://www.wikidata.org/entity/Q192948,Gerard Kuiper,58,Kingdom of the Netherlands,1973-12-24T00:00:00Z
