Entity,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number)
Afghanistan,6929
African Region (WHO),324066
Albania,527
Algeria,6398
American Samoa,14
Andorra,27
Angola,8971
Antigua and Barbuda,24
Argentina,17792
Armenia,1720
Australia,6632
Austria,3237
Azerbaijan,3945
Bahamas,119
Bahrain,212
Bangladesh,41679
Barbados,113
Belarus,4188
Belgium,5662
Belize,103
Benin,3465
Bermuda,19
Bhutan,285
Bolivia,5832
Bosnia and Herzegovina,1235
Botswana,785
Brazil,78484
Brunei,61
Bulgaria,4507
Burkina Faso,6369
Burundi,3543
Cambodia,12188
Cameroon,7137
Canada,12872
Cape Verde,175
Central African Republic,2202
Chad,5147
Chile,8426
China,277142
Colombia,11497
Comoros,299
Congo,1722
Cook Islands,5
Costa Rica,1776
Cote d'Ivoire,6623
Croatia,2234
Cuba,4365
Cyprus,364
Czechia,4846
Democratic Republic of Congo,24531
Denmark,2684
Djibouti,357
Dominica,25
Dominican Republic,3915
East Asia & Pacific (WB),658249
Eastern Mediterranean Region (WHO),193249
Ecuador,6908
Egypt,69216
El Salvador,2432
England,27005
Equatorial Guinea,234
Eritrea,2491
Estonia,584
Eswatini,347
Ethiopia,35185
Europe & Central Asia (WB),449795
European Region (WHO),452555
Fiji,181
Finland,2589
France,29763
French Guiana,
French Polynesia,
G20,1642696
Gabon,603
Gambia,625
Georgia,2139
Germany,48420
Ghana,10229
Greece,4075
Greenland,24
Grenada,37
Guadeloupe,
Guam,45
Guatemala,8570
Guinea,3915
Guinea-Bissau,739
Guyana,393
Haiti,4384
Honduras,5662
Hong Kong,
Hungary,6413
Iceland,62
India,464914
Indonesia,126348
Iran,11482
Iraq,3656
Ireland,1170
Israel,2067
Italy,28523
Jamaica,536
Japan,60801
Jordan,1102
Kazakhstan,8896
Kenya,20749
Kiribati,52
Kosovo,
Kuwait,338
Kyrgyzstan,2482
Laos,2464
Latin America & Caribbean (WB),261701
Latvia,945
Lebanon,959
Lesotho,861
Liberia,1524
Libya,1122
Lithuania,1882
Luxembourg,212
Macau,
Madagascar,7189
Malawi,5845
Malaysia,10072
Maldives,49
Mali,6246
Malta,124
Marshall Islands,17
Martinique,
Mauritania,1026
Mauritius,398
Mexico,71124
Micronesia (country),34
Middle East & North Africa (WB),120748
Moldova,3513
Monaco,18
Mongolia,2185
Montenegro,153
Morocco,7422
Mozambique,7034
Myanmar,25895
Namibia,729
Nauru,2
Nepal,11323
Netherlands,6478
New Caledonia,
New Zealand,1088
Nicaragua,2237
Niger,6499
Nigeria,70077
Niue,1
North America (WB),142234
North Korea,9205
North Macedonia,593
Northern Ireland,876
Northern Mariana Islands,19
Norway,1409
OECD Countries,563124
Oman,350
Pakistan,62351
Palau,6
Palestine,522
Panama,935
Papua New Guinea,1368
Paraguay,1668
Peru,11649
Philippines,27945
Poland,18145
Portugal,5433
Puerto Rico,1654
Qatar,221
Region of the Americas (WHO),402205
Romania,14626
Russia,90887
Rwanda,4297
Saint Kitts and Nevis,24
Saint Lucia,58
Saint Vincent and the Grenadines,42
Samoa,55
San Marino,14
Sao Tome and Principe,66
Saudi Arabia,4819
Scotland,3535
Senegal,4374
Serbia,4245
Seychelles,51
Sierra Leone,2324
Singapore,592
Slovakia,2989
Slovenia,1124
Solomon Islands,192
Somalia,6018
South Africa,13356
South Asia (WB),592881
South Korea,17385
South Sudan,2713
South-East Asia Region (WHO),718114
Spain,23212
Sri Lanka,5350
Sub-Saharan Africa (WB),330000
Sudan,6314
Suriname,251
Sweden,3226
Switzerland,2972
Syria,2596
Taiwan,11756
Tajikistan,2657
Tanzania,14522
Thailand,32635
Timor,431
Togo,2330
Tokelau,0
Tonga,37
Trinidad and Tobago,465
Tunisia,2175
Turkey,14116
Turkmenistan,2749
Tuvalu,4
Uganda,9155
Ukraine,30240
United Arab Emirates,734
United Kingdom,33215
United States,129343
United States Virgin Islands,57
Uruguay,1546
Uzbekistan,15019
Vanuatu,92
Venezuela,8601
Vietnam,31306
Wales,1798
Wallis and Futuna,
Western Pacific Region (WHO),461645
Western Sahara,
World,2557689
World (excluding China),
World Bank High Income,501679
World Bank Low Income,204859
World Bank Lower Middle Income,1116675
World Bank Upper Middle Income,732989
Yemen,4877
Zambia,6528
Zimbabwe,4437
