0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,-1,,
,,,,,,,,,,,,,-1,,
China,Asia,No,,,,,,14.0,,14.0,14.0,18.0,14,18.0,[116][117][118]
Japan,Asia,No,,,,,13.0,13.0,13.0,13.0,18.0,18.0,18,18.0,[119][120][121]
Germany,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[122][123][124]
United Kingdom,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[125][126][124]
France,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[127][124]
India,Asia,No,,,,,,,,,18.0,18.0,18,18.0,[128][129][130][131]
Italy,Europe,No,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[132][124]
Brazil,South America,No,12.0,12.0,12.0,12.0,,,,,14.0,14.0,14,14.0,[133][134]
Canada,North America,No,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[135][136]
South Korea,Asia,No,13.0,13.0,13.0,13.0,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[137][138]
Russia,Europe,No,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[139][140][124]
Spain,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[141][142][124]
Indonesia,Asia,No,12.0,12.0,12.0,12.0,,,,,18.0,18.0,18,18.0,[143]
Netherlands,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[144][145][124]
Turkey,Europe,No,,,,,,,,,18.0,18.0,18,18.0,[146][124]
Switzerland,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[147][148][149][124]
Saudi Arabia,Asia,Yes,,,,,,,,,18.0,15.0,-1,,[150][151][152]
Sweden,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[153]
Niger,Africa,No,,,,,,,,,18.0,18.0,-1,,[154]
Poland,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[155][156][124]
Argentina,South America,No,,,,,13.0,13.0,13.0,13.0,18.0,18.0,18,18.0,[157]
Belgium,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[158][159][124]
Venezuela,South America,No,,,,,,,,,16.0,16.0,16,16.0,[160]
Norway,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[161][124]
Austria,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[162][163][164][124]
Iran,Asia,Yes,,,,,,,,,18.0,15.0,-1,,[165][166][167][168][169]
Thailand,Asia,No,15.0,15.0,15.0,15.0,,,,,18.0,18.0,18,18.0,[170][171]
United Arab Emirates,Asia,Yes,,,,,,,,,18.0,18.0,-1,,[172][173]
Colombia,South America,No,,,,,,,,,14.0,14.0,14,14.0,[174][175]
