,country,number,item,item_id,shortform,pageid,wikidata_description
1226,Guyana,14.0,Percival Davson,http://www.wikidata.org/entity/Q1897082,wd:Q1897082,26823622,British fencer and tennis player (1877-1959)
1227,Guyana,13.0,Andrew Watson,http://www.wikidata.org/entity/Q2846767,wd:Q2846767,995343,Scottish footballer (1857-1921)
1228,Guyana,12.0,Prince Randian,http://www.wikidata.org/entity/Q1226368,wd:Q1226368,2984303,sideshow performer
1229,Guyana,8.0,Walter Spence,http://www.wikidata.org/entity/Q3433056,wd:Q3433056,14853271,"Canadian and Guyanan swimmer, Olympic bronze medallist"
1230,Guyana,7.0,Kofi,http://www.wikidata.org/entity/Q441205,wd:Q441205,1140678,Guyanese rebel
1231,Guyana,5.0,Edgar Mittelholzer,http://www.wikidata.org/entity/Q181618,wd:Q181618,5492612,Guyanese writer
1232,Guyana,4.0,Robert Adams,http://www.wikidata.org/entity/Q7341351,wd:Q7341351,9421582,Guyanese Actor (1906-1965)
1233,Guyana,3.0,John Trim,http://www.wikidata.org/entity/Q6261274,wd:Q6261274,3860550,West Indian cricketer (1915-1960)
1234,Guyana,3.0,Cyril Christiani,http://www.wikidata.org/entity/Q5200666,wd:Q5200666,3853395,West Indian cricketer (1913-1938)
1235,Guyana,3.0,Vibart Wight,http://www.wikidata.org/entity/Q16006682,wd:Q16006682,3829406,Guyanese cricketer (1902-1969)
1236,Guyana,3.0,Charles Bean Euan-Smith,http://www.wikidata.org/entity/Q1063679,wd:Q1063679,36976707,British diplomat
1237,Guyana,3.0,Donald Charles Cameron,http://www.wikidata.org/entity/Q1239778,wd:Q1239778,26774858,British colonial governor (1872–1948)
1238,Guyana,2.0,John Edge,http://www.wikidata.org/entity/Q18936139,wd:Q18936139,43528551,British judge in India
1239,Guyana,2.0,George Learmond,http://www.wikidata.org/entity/Q5541611,wd:Q5541611,11038041,West Indian cricketer (1875-1918)
1240,Guyana,2.0,Henry Hutson,http://www.wikidata.org/entity/Q5723476,wd:Q5723476,37251551,English cricketer (1868-1916)
1241,Guyana,2.0,Valerie Rodway,http://www.wikidata.org/entity/Q86481780,wd:Q86481780,63222037,Guyanese composer
1242,Guyana,2.0,Robert Victor Evan Wong,http://www.wikidata.org/entity/Q21274946,wd:Q21274946,48349322,Asian member of the British Guiana legislature and Executive Council
1243,Guyana,2.0,John Cameron,http://www.wikidata.org/entity/Q19871860,wd:Q19871860,46594651,Australian politician (1845-1914)
1244,Guyana,1.0,Cecil Nascimento,http://www.wikidata.org/entity/Q102195960,wd:Q102195960,65909052,Guyanese cricketer (1903-1952)
1245,Haiti,66.0,John James Audubon,http://www.wikidata.org/entity/Q182882,wd:Q182882,16317,"American ornithologist, naturalist, and painter (1785-1851)"
1246,Haiti,57.0,François Duvalier,http://www.wikidata.org/entity/Q187697,wd:Q187697,70844,40th President of the Republic of Haiti (1907-1971)
1247,Haiti,57.0,Toussaint Louverture,http://www.wikidata.org/entity/Q205783,wd:Q205783,141986,Haitian general and revolutionary
1248,Haiti,48.0,Jean-Jacques Dessalines,http://www.wikidata.org/entity/Q212068,wd:Q212068,193872,leader of Haitian Revolution and first ruler of independent Haiti (1758-1806)
