0,1,2
France,101,Ir・Eｾ・E・Eｽｨne Joliot-Curie
Mali,19,Cheick Modibo Diarra
Egypt,14,Ali Moustafa Mosharafa
Morocco,8,Fouad Laroui
Nigeria,8,Olufunmilayo Olopade
South Africa,8,Patience Mthunzi
Algeria,7,Mustapha Ishak-Boushaki
Tanzania,6,Mwele Ntuli Malecela
Kenya,6,Gladys Ngetich
Ethiopia,6,Sossina M. Haile
Ghana,4,Lucy Campbell
Cﾃｴte d・E・EIvoire,4,Wadja Egnankou
Cameroon,4,Jacques Bonjawo
Cape Verde,4,Jo・Eｾ・E・Eｽ｣o V・Eｾ・E・Eｽ｡rio
Sierra Leone,4,Aisha Fofana Ibrahim
Gambia,3,Florence Mahoney
Niger,3,Fadji Maina
Uganda,3,Josephine Wapakabulo
Zimbabwe,2,Rachel Chikwamba
Madagascar,2,Achille P. Raselimanana
Mauritania,2,Mu・E・Eｻ・Eｽｸ・Eｽ･ammad al-Mu・E・Eｻ・Eｽｸ・Eｽｫtar Wuld-Abb・Eｾ・E・E・Eｻh
Somalia,2,Ahmed Mumin Warfa
Tunisia,1,Chokri Cherif
Zambia,1,Thandiwe Mweetwa
Mauritius,1,Q48955493
S・Eｾ・E・Eｽ｣o Tom・Eｾ・E・Eｽｩ and Pr・Eｾ・E・Eｽｭncipe,1,Maria de Jesus Trovoada
Senegal,1,Daniel Annerose
United States,287,Albert Einstein
Australia,62,Barry Marshall
New Zealand,22,Ronald Syme
Indonesia,18,Hary Gunarto
Samoa,2,Valerie Saena Tuia
Netherlands,75,Peter Debye
Canada,36,Oswald Avery
Mexico,25,Jos・Eｾ・E・Eｽｩ Horacio G・Eｾ・E・Eｽｳmez
Grenada,24,C・Eｾ・E・Eｽｩcile La Grenade
Cuba,11,Antonio S・Eｾ・E・Eｽ｡nchez de Bustamante y Sirven
El Salvador,6,Alice Lard・Eｾ・E・Eｽｩ de Venturino
Dominican Republic,5,Idelisa Bonnelly
Costa Rica,5,Rom・Eｾ・E・Eｽ｡n Macaya
Dominica,4,Kellyn George
Guatemala,3,Fernando Mazariegos Anleu
Antigua & Barbuda,3,Lydia Byam
Trinidad & Tobago,1,Joan Latchman
Brazil,51,Alberto Santos-Dumont
Colombia,37,Alberto Granado
Peru,19,Carlos I. Noriega
Uruguay,18,Jos・Eｾ・E・Eｽｩ Serrato
Venezuela,15,Jacinto Convit
Chile,8,Klaus von Storch
Bolivia,8,・Eｾ・E・E・Eｻscar Ichazo
Argentina,7,Jorge Sabato
Ecuador,7,Manuela Espejo
Suriname,4,Gerard Leckie
Sri Lanka,116,Arthur C. Clarke
Russia,81,Vitaly Ginzburg
Japan,63,Isamu Akasaki
Armenia,48,Levon Ter-Petrosyan
Iran,47,Abu al-Wafa Buzjani
Turkey,39,Ziya G・Eｾ・E・Eｽｶkalp
Israel,33,Moshe Arens
Syria,24,Al-・Eｾ・E・EｽｻIjliyyah
India,23,Soumya Swaminathan
United Arab Emirates,21,Sarah Amiri
Philippines,19,Antonio Luna
Pakistan,13,Farzana Aslam
Azerbaijan,13,Sahib・Eｾ・E・E・Eｻ Qafarova
Turkmenistan,12,Sarakhsi
Iraq,11,Mohammad Bahr al-Ulloum
China,11,Julius No
Cambodia,9,Nary Ly
Kazakhstan,8,Darkhan Kydyrali
Taiwan,7,Chou Kung-shin
Bangladesh,6,Saleemul Huq
Uzbekistan,6,Aziz ad-Din Nasafi
Malaysia,5,Awang Sariyan
Tajikistan,5,Rauf Baratof
Thailand,5,Boonruen Choonhavan
South Korea,5,Hyeon Taeg-hwan
Laos,4,Bountiem Phissamay
Saudi Arabia,4,Mohammed Al Mady
Afghanistan,4,Muhammad ibn Yusuf al-Harawi
Georgia,4,Vyacheslav Chkhikvadze
Yemen,3,Habib Abdulrab Sarori
Kyrgyzstan,3,Q20627005
Lebanon,3,Amin El Maalouf
Vietnam,3,Cao ・Eｾ・E・E・Eｻ・E・Eｻ・Eｽｻ・Eｽｩc Ph・Eｾ・E・Eｽ｡t
Mongolia,3,Baataryn Chadraa
Jordan,2,Zuhair Al-Karmi
Myanmar,2,Sein Tu
Nepal,2,Dayananda Bajracharya
Singapore,2,Desney Tan
Oman,0,Mona Al Habsi
Weimar Republic,287,Albert Einstein
Switzerland,287,Albert Einstein
Germany,287,Albert Einstein
United Kingdom,189,Margaret Thatcher
Italy,89,Rita Levi-Montalcini
Sweden,80,Emmanuel Swedenborg
Poland,76,Benoit Mandelbrot
Austria,64,Richard Adolf Zsigmondy
Albania,60,Bamir Topi
Spain,46,Mary Somerville
Bulgaria,32,Carl Djerassi
Norway,29,Kristian Birkeland
Crown of Aragon,26,Abraham Abulafia
Ireland,25,Richard Kirwan
Portugal,18,Abb・Eｾ・E・Eｽｩ Faria
Belgium,17,L・Eｾ・E・Eｽｩon Rosenfeld
Hungary,16,Cornelius Lanczos
Finland,16,Arvo Ylpp・Eｾ・E・Eｽｶ
Greece,14,Katerina Vitale
Croatia,12,Tomislav Toma・Eｾ・E・Eｽ｡evi・Eｾ・E・E・Eｻ
Romania,11,Robert Steinberg
Belarus,10,Uladzimir Levaneuski
Czech Republic,9,Eva Sykov・Eｾ・E・Eｽ｡
Latvia,8,J・Eｾ・E・E・Eｻnis Peive
Ukraine,8,Yuri Osmanov
Slovakia,6,Michal Wiezik
Estonia,5,Enn Kasak
Slovenia,5,Klemen Gro・Eｾ・E・Eｽ｡elj
Andorra,5,Elisenda Vives
Lithuania,4,Sara Ginaite
Iceland,4,J・Eｾ・E・Eｽｳn ・Eｾ・E・E・Eｻlafsson of Grunnav・Eｾ・E・Eｽｭk
Moldova,4,Boris G・Eｾ・E・E・Eｻin・Eｾ・E・E・Eｻ
North Macedonia,4,Vasil Tocinovski
Bosnia and Herzegovina,4,Taib ・Eｾ・E・E｣ｰari・Eｾ・E・E・Eｻ
Malta,4,Dmitry Volkov
Serbia,4,Milo・Eｾ・E・Eｽ｡ ・Eｾ・E・E・Eｻorlomanovi・Eｾ・E・E・Eｻ
Luxembourg,2,F・Eｾ・E・Eｽｩlix Heuertz
Montenegro,2,Obren Blagojevi・Eｾ・E・E・Eｻ
Denmark,66,Niels Ryberg Finsen
