0,1,2
Ancient Rome,271,Julius Caesar
South Africa,263,Nelson Mandela
France,239,Victor Hugo
Ottoman Empire,228,Mustafa Kemal Atat・Eｾ・E・Eｽｼrk
Libya,167,Muammar Gaddafi
Sultanate of Zanzibar,166,Freddie Mercury
Ghana,161,Kofi Annan
Kingdom of Egypt,147,Najib Mahfouz
Egypt,147,Najib Mahfouz
Sultanate of Egypt,147,Najib Mahfouz
Khedivate of Egypt,147,Najib Mahfouz
United Arab Republic,147,Najib Mahfouz
Republic of Egypt,147,Najib Mahfouz
Spanish Empire,146,Hern・Eｾ・E・Eｽ｡n Cort・Eｾ・E・Eｽｩs
Abbasid Caliphate,144,Al-Khwarizmi
Ancient Egypt,141,Cleopatra
Hafsid dynasty,140,Ibn Khaldun
Rashidun Caliphate,133,Al・Eｾ・E・Eｽｫ ibn Ab・Eｾ・E・Eｽｫ ・E・Eｻ・Eｽｹ・Eｽｬ・Eｾ・E・E・Eｻlib
Algeria,130,Zinedine Zidane
Gold Coast,129,Kwame Nkrumah
Zimbabwe,129,Robert Mugabe
Ancient Carthage,126,Hannibal
Achaemenid Empire,123,Cyrus the Great
Second Spanish Republic,112,Octavio Paz
Ethiopian Empire,106,Haile Selassie I
Kenya,106,Wangari Muta Maathai
Kenya Colony,106,Wangari Muta Maathai
Liberia,105,Ellen Johnson Sirleaf
Byzantine Empire,105,Justinian I
Uganda Protectorate,100,Idi Amin
Uganda,100,Idi Amin
Union of South Africa,97,Jacob Zuma
Mauritius,97,Jean-Marie Gustave Le Cl・Eｾ・E・Eｽｩzio
Nigeria,96,Wole Soyinka
Republic of the Congo,94,Patrice Lumumba
Zulu Kingdom,93,Shaka Zulu
Morocco,93,Mohammed VI
Colonial Nigeria,92,Chinua Achebe
Carthage,89,Terence
Crown of Castile,88,Isabella I of Castile
Gabon,88,Samuel L. Jackson
Sudan,88,Omar al-Bashir
Umayyad Caliphate,86,Aisha
Ethiopia,86,Abiy Ahmed Ali
Rwanda,82,Paul Kagame
Senegal,82,L・Eｾ・E・Eｽｩopold S・Eｾ・E・Eｽｩdar Senghor
Zaire,81,Mobutu Sese Seko
Cameroon,81,Samuel Eto'o
Cﾃｴte d・E・EIvoire,80,Didier Drogba
Almoravid dynasty,78,Muhammad al-Idrisi
Chad,78,Idriss D・Eｾ・E・Eｽｩby
Ptolemaic Kingdom,77,Ptolemy I Soter
Eswatini,77,Mswati III
Republic of Upper Volta,76,Thomas Sankara
Angola,76,Jos・Eｾ・E・Eｽｩ Eduardo dos Santos
Tanzania,76,Julius Nyerere
Burkina Faso,76,Thomas Sankara
Tunisia,75,Zine El Abidine Ben Ali
Democratic Republic of the Congo,75,Joseph Kabila
Burundi,74,Pierre Nkurunziza
Republic of the Congo,74,Denis Sassou-Nguesso
Central African Empire,73,Jean-Bedel Bokassa
Francoist Spain,73,Teodoro Obiang
Central African Republic,73,Jean-Bedel Bokassa
Equatorial Guinea,73,Teodoro Obiang
Algerian,71,Ibn Arabi
