0,1,2,3,4,5
Bulgaria,"1,808","1,123",5,5,Greece: 494ﾂkm (307ﾂmi)ﾂNorth Macedonia: 148ﾂkm (92ﾂmi)ﾂRomania: 608ﾂkm (378ﾂmi)ﾂSerbia: 318ﾂkm (198ﾂmi)ﾂTurkey: 240ﾂkm (150ﾂmi)
Burkina Faso,"3,193","1,984",6,6,"Benin: 306ﾂkm (190ﾂmi)ﾂCﾃｴte d'Ivoire: 584ﾂkm (363ﾂmi)ﾂGhana: 549ﾂkm (341ﾂmi)ﾂMali: 1,000ﾂkm (620ﾂmi)ﾂNiger: 628ﾂkm (390ﾂmi)ﾂTogo: 126ﾂkm (78ﾂmi)"
Burundi,974,605,3,3,Democratic Republic of the Congo: 233ﾂkm (145ﾂmi)ﾂRwanda: 290ﾂkm (180ﾂmi)ﾂTanzania: 451ﾂkm (280ﾂmi)
Cambodia,"2,572","1,598",3,3,"Laos: 541ﾂkm (336ﾂmi)ﾂThailand: 803ﾂkm (499ﾂmi)ﾂVietnam: 1,228ﾂkm (763ﾂmi)"
Cameroon,"4,591","2,853",6,6,"Central African Republic: 797ﾂkm (495ﾂmi)ﾂChad: 1,094ﾂkm (680ﾂmi)ﾂRepublic of the Congo: 523ﾂkm (325ﾂmi)ﾂEquatorial Guinea: 189ﾂkm (117ﾂmi)ﾂGabon: 298ﾂkm (185ﾂmi)ﾂNigeria: 1,690ﾂkm (1,050ﾂmi)"
Canada,"8,893","5,526",4,1,"United States (4): 8,893ﾂkm (5,526ﾂmi)[16]"
Cape Verde,0,0,0,0,
Central African Republic,"5,213","3,239",6,6,"Cameroon: 797ﾂkm (495ﾂmi)ﾂChad: 1,197ﾂkm (744ﾂmi)ﾂDemocratic Republic of the Congo: 1,577ﾂkm (980ﾂmi)ﾂRepublic of the Congo: 467ﾂkm (290ﾂmi)ﾂSouth Sudan: 682ﾂkm (424ﾂmi)ﾂSudan: 483ﾂkm (300ﾂmi)"
Chad,"5,968","3,708",6,6,"Cameroon: 1,094ﾂkm (680ﾂmi)ﾂCentral African Republic: 1,197ﾂkm (744ﾂmi)ﾂLibya: 1,055ﾂkm (656ﾂmi)ﾂNiger: 1,175ﾂkm (730ﾂmi)ﾂNigeria: 87ﾂkm (54ﾂmi)ﾂSudan: 1,360ﾂkm (850ﾂmi)"
Chile,"6,171","3,834",4,3,"Argentina (2): 5,300ﾂkm (3,300ﾂmi)[7]ﾂBolivia: 861ﾂkm (535ﾂmi)ﾂPeru: 160ﾂkm (99ﾂmi)"
