0,1,2,3,4
Afghanistan,11.0,Vida Samadzai,"Vida Samadzai (born 22 February 1978) is an Afghan-American actress, model and beauty pageant titleholder who was Miss Afghanistan in 2003. As the first Afghan woman to participate in an international beauty pageant since 1974, her appearance in a red bikini in the 2003 edition of Miss Earth pageant created controversy in her native country. She was a contestant on the popular reality show Bigg Boss in 2011.",https://en.wikipedia.org/wiki/Vida_Samadzai
Albania,18.0,Afërdita Dreshaj,"Afërdita Dreshaj (Albanian: ; born 19 July 1986) is an Albanian-American singer and model. Crowned as Miss Universe Kosovo 2011, Dreshaj represented the nation at the Miss Universe 2011 pageant and finished among the top 16.",https://en.wikipedia.org/wiki/Af%C3%ABrdita_Dreshaj
Algeria,65.0,Yves Saint Laurent,"Yves Henri Donat Mathieu-Saint-Laurent (, also UK: , US: , French: ; 1 August 1936 – 1 June 2008), referred to as Yves Saint-Laurent or YSL, was a French fashion designer who, in 1962, founded his eponymous fashion label. He is regarded as being among the foremost fashion designers of the twentieth century. In 1985, Caroline Milbank wrote, ""The most consistently celebrated and influential designer of the past twenty-five years, Yves Saint Laurent can be credited with both spurring the couture's rise from its 1960s ashes and with finally rendering ready-to-wear reputable."" He developed his style to accommodate the changes in fashion during that period. He approached his aesthetic from a different perspective by helping women find confidence by looking both comfortable and elegant at the same time. He is also credited with having introduced the ""Le Smoking"" tuxedo suit for women and was known for his use of non-European cultural references and of diverse models.

",https://en.wikipedia.org/wiki/Yves_Saint_Laurent_(designer)
Andorra,7.0,Merche Romero,Merche Romero Gomes (born 27 November 1976) is a Portuguese model and TV Presenter of Andorran descent. She is best known for once being the girlfriend of footballer Cristiano Ronaldo who was 9 years younger than her. She announced the end of her relationship with him on a Portuguese television show in 2006.,https://en.wikipedia.org/wiki/Merche_Romero
Angola,36.0,Leila Lopes,"Leila Luliana da Costa Vieira Lopes Umenyiora (born 26 February 1986) is an Angolan model and beauty pageant titleholder who was crowned Miss Universe 2011. She had previously won Miss Angola UK 2010 and Miss Angola 2010, and was the first woman from Angola to win Miss Universe.",https://en.wikipedia.org/wiki/Leila_Lopes
Antigua & Barbuda,4.0,Aaron Philip,"Aaron Rose Philip (pronounced A-ron, born March 15, 2001) is an Antiguan-American model.  In 2018, she became the first black, transgender, and physically disabled model to ever be represented by a major modeling agency and has since modeled in several major high fashion photo shoots and campaigns. In 2021, Philip debuted as an exclusive for Moschino’s spring/summer 2022 fashion show - making her the first model using a wheelchair to walk for a major luxury fashion brand.",https://en.wikipedia.org/wiki/Aaron_Rose_Philip
Argentina,21.0,Pampita,"Ana Carolina Ardohaín Dos Santos (born January 17, 1978) is an Argentine model, television personality, dancer, television host and actress. She is widely known by the nickname Pampita, a diminutive for La Pampa, the Argentine province where she was born.",https://en.wikipedia.org/wiki/Pampita
Armenia,12.0,David Gharibyan,"Davit Gharibyan (Armenian: Դավիթ Ղարիբյան, born May 29, 1990, Yerevan, Armenia) is an Armenian model, actor, director, host and publisher in music networks.",https://en.wikipedia.org/wiki/Davit_Gharibyan
Australia,63.0,Miranda Kerr,"Miranda May Kerr (; born 20 April 1983) is an Australian model and businesswoman. Kerr rose to prominence in 2007, as one of the Victoria's Secret Angels. Kerr was the first Australian Victoria's Secret model and also represented the Australian department store chain David Jones. Kerr has launched her own brand of organic skincare products, KORA Organics, and has written a self-help book.
Kerr began modelling in the fashion industry when she was 13, winning the 1997 Dolly magazine model search competition. Since 2008, Kerr has consistently ranked on the Forbes list of highest earning models.
Kerr was previously married to English actor Orlando Bloom, with whom she had her first son. Since 2017, she has been married to Snapchat CEO Evan Spiegel with whom she has two children.",https://en.wikipedia.org/wiki/Miranda_Kerr
Austria,56.0,Ivana Trump,"Ivana Marie Trump (née Zelníčková, Czech: ; born February 20, 1949) is a Czech-American businesswoman, media personality, fashion designer, author, and former model.  She lived in Canada in the 1970s before migrating to the United States, where she married Donald Trump in 1977. She held key managerial positions in The Trump Organization as vice president of interior design, as CEO and president of Trump's Castle casino resort, and as manager of the Plaza Hotel. 
Ivana's divorce from Donald Trump, finalized in 1992, was the subject of extensive media coverage in the 1990s. Following the divorce, she developed her own lines of clothing, fashion jewelry, and beauty products which were sold on QVC London and the Home Shopping Network. Ivana wrote an advice column for Globe called ""Ask Ivana"" from 1995 through 2010 and has published several books including works of fiction, self-help, and an autobiography.",https://en.wikipedia.org/wiki/Ivana_Trump
