0,1,2
Sri Lanka,42,Democratic Socialist Republic of Sri Lanka
Sudan,21,Republic of the Sudan
Suriname,20,Republic of Suriname
Sweden,17,Kingdom of Sweden
Switzerland,19,Swiss Confederation
Syria,20,Syrian Arab Republic
Taiwan,17,Republic of China
Tajikistan,22,Republic of Tajikistan
Tanzania,27,United Republic of Tanzania
Thailand,19,Kingdom of Thailand
Timor Leste,34,Democratic Republic of Timor-Leste
Togo,17,Togolese Republic
Tokelau,51,Tokelau (formerly Union Islands or Tokelau Islands)
Tonga,16,Kingdom of Tonga
Trinidad And Tobago,31,Republic of Trinidad and Tobago
Tunisia,19,Republic of Tunisia
Turkey,18,Republic of Turkey
Turkmenistan,12,Turkmenistan
Tuvalu,6,Tuvalu
Uganda,18,Republic of Uganda
Ukraine,7,Ukraine
United Arab Emirates,20,United Arab Emirates
United Kingdom,52,United Kingdom of Great Britain and Northern Ireland
United States,24,United States of America
Uruguay,58,Eastern Republic of Uruguay / Oriental Republic of Uruguay
Uzbekistan,22,Republic of Uzbekistan
Vanuatu,19,Republic of Vanuatu
Vatican City,18,Vatican City State
Venezuela,32,Bolivarian Republic of Venezuela
Vietnam,30,Socialist Republic of Viet Nam
Wallis And Futuna,42,Territory of the Wallis and Futuna Islands
Yemen,17,Republic of Yemen
Zambia,18,Republic of Zambia
Zimbabwe,20,Republic of Zimbabwe
