0,1,2
Benin,149000.0,Office de Radiodiffusion et Télévision du Bénin
Angola,142366.0,Isabel dos Santos
Bahamas,136587.0,Buddy Hield
Malawi,125499.0,Zodiak Broadcasting Station
Tonga,123275.0,Alipate Fifita
Myanmar,119196.0,Firebase
Liberia,113275.0,George Weah
Fiji,113054.0,Fiji national rugby union team
Guinea,97735.0,Robert Sarah
Turkmenistan,95400.0,Natavan Habibi
Bhutan,93434.0,Tshering Tobgay
Lesotho,91700.0,Zambezi Magic
Cape Verde,87230.0,Garry Mendes Rodrigues
North Korea,85045.0,Jong Tae-se
Chad,76599.0,Idriss Déby
Gambia,75899.0,Mathias Jørgensen
Papua New Guinea,63000.0,Justin Wellington
Liechtenstein,49764.0,Tina Weirather
Palau,43890.0,"Embassy of Japan, Koror"
Cambodia,37683.0,Neko Hiroshi
Samoa,27075.0,Samoa Rugby Union
Djibouti,12100.0,Shay Lia
Laos,10671.0,Amantaka
Micronesia,10359.0,.fm
Central African Republic,9959.0,Patrick O'Bryant
Vanuatu,8545.0,Jocelino Suta
Brunei,7972.0,Radio Televisyen Brunei
Kiribati,7175.0,University of the South Pacific
Marshall Islands,7175.0,University of the South Pacific
Nauru,7175.0,University of the South Pacific
Solomon Islands,7175.0,University of the South Pacific
Tuvalu,7175.0,University of the South Pacific
Comoros,7158.0,Chaker Alhadhur
Timor-Leste,1996.0,Fidelis Leite Magalhães
