0,1,2
UAE,3,AA
Albania,14,B+
Andorra,9,BBB
Angola,17,CCC+
Argentina,17,CCC+
Aruba,9,BBB
Australia,1,AAA
Austria,2,AA+
Azerbaijan,11,BB+
Bahamas,12,BB
Bahrain,14,B+
Bangladesh,13,BB-
Barbados,16,B-
Belarus,18,CCC
Belgium,3,AA
Belize,20,SD
Bermuda,5,A+
Bolivia,14,B+
Bosnia and Herzegovina,15,B
Botswana,8,BBB+
Brazil,13,BB-
Bulgaria,9,BBB
Burkina Faso,15,B
Cambodia,15,B
Cameroon,16,B-
Canada,1,AAA
Cape Verde,16,B-
Chile,6,A
China,5,A+
Colombia,11,BB+
"Congo, D. R.",17,CCC+
Congo-Brazzaville,17,CCC+
Cook Islands,14,B+
Costa Rica,15,B
Croatia,8,BBB+
Curacao,7,A-
Cyprus,10,BBB-
Czech Republic,4,AA-
Denmark,1,AAA
Dominican Republic,13,BB-
Ecuador,16,B-
Egypt,15,B
El Salvador,16,B-
Estonia,4,AA-
Ethiopia,17,CCC+
European Union,3,AA
Fiji,13,BB-
Finland,2,AA+
France,3,AA
Georgia,12,BB
Germany,1,AAA
Ghana,16,B-
Greece,11,BB+
Guatemala,13,BB-
Guernsey,4,AA-
Honduras,13,BB-
Hong Kong,2,AA+
Hungary,9,BBB
Iceland,6,A
India,10,BBB-
Indonesia,9,BBB
Iraq,16,B-
Ireland,4,AA-
Israel,4,AA-
Italy,9,BBB
Jamaica,14,B+
Japan,5,A+
Jersey,4,AA-
Jordan,14,B+
Kazakhstan,10,BBB-
Kenya,15,B
Kuwait,4,AA-
Latvia,5,A+
Lebanon,20,SD
Liechtenstein,1,AAA
Lithuania,5,A+
Luxembourg,1,AAA
Malaysia,7,A-
Malta,7,A-
Mexico,9,BBB
Mongolia,15,B
Montenegro,14,B+
Montserrat,10,BBB-
Morocco,10,BBB-
Mozambique,17,CCC+
Netherlands,1,AAA
New Zealand,2,AA+
Nicaragua,14,B+
Nigeria,16,B-
North Macedonia,13,BB-
Norway,1,AAA
Oman,14,B+
Pakistan,17,CCC+
Panama,9,BBB
Papua New Guinea,16,B-
Paraguay,12,BB
Peru,8,BBB+
Philippines,8,BBB+
Poland,7,A-
Portugal,8,BBB+
Qatar,4,AA-
Romania,10,BBB-
Russia,20,SD
Rwanda,14,B+
Saudi Arabia,5,A+
Senegal,14,B+
Serbia,11,BB+
Singapore,1,AAA
Slovakia,5,A+
Slovenia,4,AA-
South Africa,13,BB-
South Korea,3,AA
Spain,6,A
Sri Lanka,20,SD
Suriname,20,SD
Sweden,1,AAA
Switzerland,1,AAA
Taiwan,2,AA+
Thailand,8,BBB+
Trinidad and Tobago,10,BBB-
Turkey,15,B
Turks and Caicos Islands,8,BBB+
Uganda,15,B
Ukraine,16,B-
United Kingdom,3,AA
United States,2,AA+
Uruguay,9,BBB
Venezuela,20,SD
Vietnam,12,BB
Zambia,20,SD
