,country,number,item,item_id,shortform,pageid,wikidata_description
0,Afghanistan,75,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
1,Iran,75,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
2,Afghanistan,74,Abbas the Great,http://www.wikidata.org/entity/Q171349,wd:Q171349,299824,Shah of Safavid Iran (1571-1629)
3,Afghanistan,67,Humayun,http://www.wikidata.org/entity/Q486188,wd:Q486188,14055,2nd mughal emperor
4,Afghanistan,61,Mahmud of Ghazni,http://www.wikidata.org/entity/Q189271,wd:Q189271,651860,11th century Sultan of Ghazni
5,Afghanistan,60,Ahmed Shahe Durrani,http://www.wikidata.org/entity/Q46798,wd:Q46798,1560,"founder of the Durrani Empire, considered founder of the state of Afghanistan"
6,Afghanistan,60,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
7,Uzbekistan,60,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
8,Afghanistan,52,Jamal al-Din al-Afghani,http://www.wikidata.org/entity/Q298434,wd:Q298434,946750,Political activist and Islamic ideologist
9,Afghanistan,51,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
10,Tajikistan,51,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
11,Turkmenistan,51,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
12,Uzbekistan,51,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
13,Albania,74,Skanderbeg,http://www.wikidata.org/entity/Q160614,wd:Q160614,10780405,Albanian feudal lord and military commander (1405-1468)
14,Albania,57,Anastasius I,http://www.wikidata.org/entity/Q173470,wd:Q173470,25876,Byzantine emperor (430-518)
15,Albania,53,Flavius Valerius Severus,http://www.wikidata.org/entity/Q46814,wd:Q46814,168093,Roman emperor
16,Algeria,202,Augustine of Hippo,http://www.wikidata.org/entity/Q8018,wd:Q8018,2030,"early Christian theologian, philosopher and Church Father"
17,Algeria,90,Apuleius,http://www.wikidata.org/entity/Q170512,wd:Q170512,1789,"Latin-language prose writer, Platonist philosopher and rhetorician"
18,Algeria,74,Macrinus,http://www.wikidata.org/entity/Q1752,wd:Q1752,20633,Roman Emperor (164-218)
19,Algeria,67,Abdelkader El Djezairi,http://www.wikidata.org/entity/Q179825,wd:Q179825,413671,19th century Algerian religious and military leader (1808-1883)
20,Argentina,80,José de San Martín,http://www.wikidata.org/entity/Q134160,wd:Q134160,360387,Argentine general and independence leader (1778-1850)
21,Armenia,71,Tigranes the Great,http://www.wikidata.org/entity/Q201303,wd:Q201303,182966,King of Armenia
22,Australia,55,Edmund Barton,http://www.wikidata.org/entity/Q23342,wd:Q23342,146365,"Australian politician, first Prime Minister of Australia and founding justice of the High Court of Australia (1849-1920)"
23,Austria,250,Wolfgang Amadeus Mozart,http://www.wikidata.org/entity/Q254,wd:Q254,33163,Austrian composer of the Classical period
