,country,number,item,item_id,shortform,pageid,wikidata_description
0,Armenia,-34,Tigranes IV,http://www.wikidata.org/entity/Q2357126,wd:Q2357126,8612904,Armenian sovereign
1,Armenia,-19,Artavasdes III of Armenia,http://www.wikidata.org/entity/Q2864802,wd:Q2864802,9260853,Prince who served as King of Media Atropatene
2,Armenia,-15,Tigranes V of Armenia,http://www.wikidata.org/entity/Q2610351,wd:Q2610351,8220371,Roman Client King of Armenia (16 BC-36 AD) (r. 6 AD-12 AD)
3,People's Republic of China,-150,Shangguan Jie,http://www.wikidata.org/entity/Q3373903,wd:Q3373903,57791269,Chinese politician
4,Cyprus,-200,Hermodorus of Salamis,http://www.wikidata.org/entity/Q1035625,wd:Q1035625,17424172,Cypriot architect
5,Denmark,-500,Haraldskær Woman,http://www.wikidata.org/entity/Q273524,wd:Q273524,6676314,Iron Age bog body from Denmark
6,Egypt,-3500,Neheb,http://www.wikidata.org/entity/Q1989882,wd:Q1989882,30293169,Egyptian pharaoh
7,Egypt,-2750,Weneg,http://www.wikidata.org/entity/Q297258,wd:Q297258,2197495,ancient Egyptian ruler
8,Egypt,-2700,Djefatnebti,http://www.wikidata.org/entity/Q292501,wd:Q292501,26848268,Egyptian queen consort
9,Egypt,-2600,Itet,http://www.wikidata.org/entity/Q1559729,wd:Q1559729,26877414,Ancient Egyptian princess
10,Egypt,-1950,Khuwyt,http://www.wikidata.org/entity/Q16099840,wd:Q16099840,40628362,Egyptian musician
11,Egypt,-1550,Ineni,http://www.wikidata.org/entity/Q1097036,wd:Q1097036,546131,ancient Egyptian architect
12,Egypt,-1500,Rekhmire,http://www.wikidata.org/entity/Q650643,wd:Q650643,6672330,"ancient Egyptian official, was vizier of Egypt during the reigns of Thutmose III and Amenhotep II"
13,Egypt,-1400,Bek,http://www.wikidata.org/entity/Q792111,wd:Q792111,21975416,Ancient Egyptian sculptor
14,Egypt,-1399,Tjuyu,http://www.wikidata.org/entity/Q270376,wd:Q270376,2288182,"Ancient Egyptian noblewoman, mother-in-law of Amenhotep III"
15,Egypt,-1300,Merneptah,http://www.wikidata.org/entity/Q158043,wd:Q158043,1168295,fourth pharaoh of the 19th Dynasty of Egypt
16,Egypt,-1150,Ramesses X,http://www.wikidata.org/entity/Q4026,wd:Q4026,913788,ninth ruler of the 20th dynasty of Ancient Egypt
17,Egypt,-301,Harkhebi,http://www.wikidata.org/entity/Q1531412,wd:Q1531412,3312366,Ancient Egyptian astronomer
18,Egypt,-64,Didymus Chalcenterus,http://www.wikidata.org/entity/Q506540,wd:Q506540,78382,ancient Greek scholar
19,Egypt,-62,Didymus Chalcenterus,http://www.wikidata.org/entity/Q506540,wd:Q506540,78382,ancient Greek scholar
20,Egypt,-1,Alexander the Alabarch,http://www.wikidata.org/entity/Q1243557,wd:Q1243557,22623888,1st century AD Alexandrian Jewish aristocrat and Roman citizen
21,Ethiopia,-1000,Menelik I,http://www.wikidata.org/entity/Q365687,wd:Q365687,291517,Emperor of Ethiopia
