country,number,item,item_id
Angola,4,Aguinaldo Jaime,http://www.wikidata.org/entity/Q4694559
Angola,4,Pedro Luís da Fonseca,http://www.wikidata.org/entity/Q51120777
Angola,4,Tete António,http://www.wikidata.org/entity/Q100575931
Angola,2,Job Graça,http://www.wikidata.org/entity/Q23892775
Angola,2,Suzana Augusto de Melo,http://www.wikidata.org/entity/Q51883339
Angola,2,Maria Valente,http://www.wikidata.org/entity/Q51883409
Angola,2,José Ndele,http://www.wikidata.org/entity/Q54861215
Angola,2,Josefa Sacko,http://www.wikidata.org/entity/Q96181234
Angola,2,Laurinda Hoygaard,http://www.wikidata.org/entity/Q99050852
Angola,1,Alexandre Relvas,http://www.wikidata.org/entity/Q9602307
Angola,1,Manuel Neto da Costa,http://www.wikidata.org/entity/Q23892778
Angola,1,Pascoal Luvualo,http://www.wikidata.org/entity/Q114342772
Angola,1,Elvira Van-Dúnem,http://www.wikidata.org/entity/Q51883321
Angola,1,Ruth Adriano Mendes,http://www.wikidata.org/entity/Q51883335
Angola,1,Manuel Mira Godinho,http://www.wikidata.org/entity/Q10324389
Argentina,59,Josep Borrell,http://www.wikidata.org/entity/Q312901
Argentina,54,Queen Máxima of the Netherlands,http://www.wikidata.org/entity/Q460960
Argentina,48,Manuel Belgrano,http://www.wikidata.org/entity/Q315507
Argentina,26,Milan Stojadinović,http://www.wikidata.org/entity/Q648570
Argentina,26,Victorino de la Plaza,http://www.wikidata.org/entity/Q599235
Argentina,26,Juan Bautista Alberdi,http://www.wikidata.org/entity/Q722738
Argentina,25,Amado Boudou,http://www.wikidata.org/entity/Q452112
Argentina,24,Andrej Bajuk,http://www.wikidata.org/entity/Q434177
Argentina,20,Raúl Prebisch,http://www.wikidata.org/entity/Q982374
Argentina,17,Domingo Cavallo,http://www.wikidata.org/entity/Q908305
Argentina,17,Axel Kicillof,http://www.wikidata.org/entity/Q3754443
Argentina,16,Claudia Piñeiro,http://www.wikidata.org/entity/Q522543
Argentina,15,Aníbal Fernández,http://www.wikidata.org/entity/Q2857937
Argentina,14,Horacio Rodríguez Larreta,http://www.wikidata.org/entity/Q2843714
Argentina,13,Roberto Lavagna,http://www.wikidata.org/entity/Q2832959
Argentina,13,Graciela Chichilnisky,http://www.wikidata.org/entity/Q4516788
Argentina,13,William Alonso,http://www.wikidata.org/entity/Q1375975
Argentina,12,Antonio Cafiero,http://www.wikidata.org/entity/Q2347235
Argentina,12,Javier Milei,http://www.wikidata.org/entity/Q52395487
Argentina,11,Roberto Alemann,http://www.wikidata.org/entity/Q2159408
Argentina,11,Dalmacio Vélez Sársfield,http://www.wikidata.org/entity/Q437289
Argentina,11,Mercedes Marcó del Pont,http://www.wikidata.org/entity/Q3362887
Argentina,11,Jorge Capitanich,http://www.wikidata.org/entity/Q4837917
Argentina,10,Juan Larrea,http://www.wikidata.org/entity/Q2790355
Argentina,10,Felix Weil,http://www.wikidata.org/entity/Q1384432
Argentina,10,Cynthia Hotton,http://www.wikidata.org/entity/Q5795485
Argentina,9,Ricardo López Murphy,http://www.wikidata.org/entity/Q957748
Argentina,9,Luciana Pedraza,http://www.wikidata.org/entity/Q168460
Argentina,9,Guillermo Calvo,http://www.wikidata.org/entity/Q1326679
Argentina,9,Vjekoslav Vrančić,http://www.wikidata.org/entity/Q3514542
Argentina,9,Manuel Trajtenberg,http://www.wikidata.org/entity/Q6752919
Argentina,9,José Luis Espert,http://www.wikidata.org/entity/Q29019697
Argentina,9,Luis Caputo,http://www.wikidata.org/entity/Q28058800
Argentina,9,Martín Guzmán,http://www.wikidata.org/entity/Q77605455
Argentina,8,Felisa Miceli,http://www.wikidata.org/entity/Q285707
Argentina,8,Florencio Randazzo,http://www.wikidata.org/entity/Q963100
Argentina,8,Hipólito Vieytes,http://www.wikidata.org/entity/Q2607643
