country,number,item,item_id
Chile,57.0,Bernardo O'Higgins,http://www.wikidata.org/entity/Q28930
Chile,56.0,Víctor Jara,http://www.wikidata.org/entity/Q125133
Colombia,100.0,Pablo Escobar,http://www.wikidata.org/entity/Q187447
Colombia,96.0,Juan Manuel Santos,http://www.wikidata.org/entity/Q57311
Colombia,60.0,Felipe González,http://www.wikidata.org/entity/Q156799
Colombia,55.0,Álvaro Uribe Vélez,http://www.wikidata.org/entity/Q187413
Colombia,55.0,Iván Duque,http://www.wikidata.org/entity/Q17478000
Croatia,119.0,Josip Broz Tito,http://www.wikidata.org/entity/Q9161
Croatia,113.0,Garry Kasparov,http://www.wikidata.org/entity/Q28614
Croatia,106.0,Kolinda Grabar-Kitarović,http://www.wikidata.org/entity/Q3176299
Croatia,90.0,Diocletian,http://www.wikidata.org/entity/Q43107
Croatia,73.0,Franjo Tuđman,http://www.wikidata.org/entity/Q183703
Croatia,70.0,Stjepan Mesić,http://www.wikidata.org/entity/Q146496
Croatia,69.0,Ivo Josipović,http://www.wikidata.org/entity/Q57258
Croatia,66.0,Zoran Milanović,http://www.wikidata.org/entity/Q57687
Croatia,66.0,Otto von Habsburg,http://www.wikidata.org/entity/Q76343
Croatia,65.0,Valens,http://www.wikidata.org/entity/Q172471
Croatia,65.0,Julius Nepos,http://www.wikidata.org/entity/Q103860
Croatia,65.0,Marcus Vipsanius Agrippa,http://www.wikidata.org/entity/Q48174
Croatia,62.0,János Kádár,http://www.wikidata.org/entity/Q200850
Croatia,61.0,Quintillus,http://www.wikidata.org/entity/Q185844
Croatia,60.0,Andrej Plenković,http://www.wikidata.org/entity/Q11685764
Croatia,58.0,Ivo Sanader,http://www.wikidata.org/entity/Q56220
Croatia,54.0,Jadranka Kosor,http://www.wikidata.org/entity/Q57611
Denmark,120.0,Theodor Mommsen,http://www.wikidata.org/entity/Q25351
Denmark,102.0,Margrethe II of Denmark,http://www.wikidata.org/entity/Q102139
Denmark,85.0,Anders Fogh Rasmussen,http://www.wikidata.org/entity/Q46052
Denmark,75.0,Cnut the Great,http://www.wikidata.org/entity/Q134128
Denmark,71.0,Constantine II of Greece,http://www.wikidata.org/entity/Q151773
Denmark,70.0,Mette Frederiksen,http://www.wikidata.org/entity/Q5015
Denmark,67.0,Helle Thorning-Schmidt,http://www.wikidata.org/entity/Q57652
Denmark,66.0,Lars Løkke Rasmussen,http://www.wikidata.org/entity/Q182397
Denmark,66.0,Haakon VII of Norway,http://www.wikidata.org/entity/Q154927
Denmark,65.0,George I of Greece,http://www.wikidata.org/entity/Q17142
Denmark,62.0,Frederick IX of Denmark,http://www.wikidata.org/entity/Q151312
Denmark,62.0,Olav V of Norway,http://www.wikidata.org/entity/Q154912
Denmark,61.0,Christian IX of Denmark,http://www.wikidata.org/entity/Q151305
Denmark,59.0,Fredrik Bajer,http://www.wikidata.org/entity/Q191016
Denmark,58.0,Christian IV of Denmark,http://www.wikidata.org/entity/Q153586
Denmark,57.0,Margaret I of Denmark,http://www.wikidata.org/entity/Q202266
Denmark,57.0,Sweyn I of Denmark,http://www.wikidata.org/entity/Q181896
Denmark,57.0,Christian X of Denmark,http://www.wikidata.org/entity/Q156617
Denmark,57.0,Christian I of Denmark,http://www.wikidata.org/entity/Q153940
Denmark,56.0,Queen Alexandra of the United Kingdom,http://www.wikidata.org/entity/Q152260
Denmark,54.0,Frederick V of Denmark,http://www.wikidata.org/entity/Q156187
Denmark,54.0,Harald Bluetooth,http://www.wikidata.org/entity/Q201041
Denmark,53.0,Hjalmar Schacht,http://www.wikidata.org/entity/Q151691
Denmark,53.0,Frederick III of Denmark,http://www.wikidata.org/entity/Q157812
Denmark,53.0,Frederik VIII of Denmark,http://www.wikidata.org/entity/Q152756
Denmark,53.0,Harthacanute,http://www.wikidata.org/entity/Q190091
Denmark,52.0,Christian VII of Denmark,http://www.wikidata.org/entity/Q156572
Denmark,52.0,Frederick VII of Denmark,http://www.wikidata.org/entity/Q94941
Denmark,52.0,Maria Feodorovna (Dagmar of Denmark),http://www.wikidata.org/entity/Q153601
Denmark,51.0,Christian II of Denmark,http://www.wikidata.org/entity/Q154460
