0,1,2
Namibia,49,Sam Nujoma
Laos,48,Choummaly Sayasone
Fiji,42,Frank Bainimarama
Comoros,40,Azali Assoumani
Kiribati,40,Anote Tong
Samoa,40,Tuila'epa Sa'ilele Malielegaoi
Guyana,38,Bharrat Jagdeo
Papua New Guinea,38,Michael Somare
Sao Tome and Principe,37,Manuel Pinto da Costa
Grenada,36,Kirani James
Antigua & Barbuda,34,Winston Baldwin Spencer
