0,1,2,3,4,5
Afghanistan,204,18.9,19.5,19.4,19.5
Albania,92,32.9,34.3,32.9,35.7
Algeria,141,28.1,28.9,28.6,29.3
Samoa,151,25.5,27.2,26.7,27.7
Andorra,6,44.3,46.2,46.3,46.1
Angola,228,15.9,15.9,15.4,16.4
Anguilla,82,34.8,35.7,33.7,37.6
Antigua and Barbuda,107,31.9,32.7,30.7,34.4
Argentina,111,31.7,32.4,31.1,33.6
Armenia,79,35.1,36.6,35.1,38.3
Aruba,54,39.3,39.9,38.2,41.5
Australia,70,38.7,37.5,36.5,38.5
Austria,14,44,44.5,43.1,45.8
Azerbaijan,109,32.3,32.6,31.1,34.2
Bahamas,105,32,32.8,31.7,34
Bahrain,103,32.3,32.9,34.4,30.3
Bangladesh,145,26.7,27.9,27.1,28.6
Barbados,56,38.6,39.5,38.4,40.7
Belarus,49,40,40.9,38,43.9
Belgium,45,41.4,41.6,40.4,42.8
Belize,174,22.7,23.9,23,24.8
Benin,221,18.2,17,16.4,17.6
Bermuda,24,43.4,43.6,41.6,45.7
Bhutan,138,27.6,29.1,29.6,28.6
Bolivia,162,24.3,25.3,24.5,26
Bosnia and Herzegovina,28,42.1,43.3,41.6,44.8
Botswana,159,24.5,25.7,24.5,26.7
Brazil,102,34.3,33.2,32.3,34.1
British Virgin Islands,72,36.5,37.2,37,37.5
Brunei,117,30.2,31.1,30.5,31.8
Bulgaria,21,42.7,43.7,41.9,45.6
Burkina Faso,219,17.3,17.9,17,18.7
Burma,135,28.2,29.2,28.3,30
Burundi,220,17,17.7,17.4,18
Cabo Verde,153,25.4,26.8,25.9,27.6
Cambodia,155,25.3,26.4,25.6,27.2
Cameroon,212,18.5,18.5,18.2,18.8
Canada,41,42.2,41.8,40.6,42.9
Cayman Islands,52,40,40.5,39.7,41.2
Central African Republic,197,19.7,20,19.7,20.3
Chad,226,17.8,16.1,15.6,16.5
Chile,84,34.4,35.5,34.3,36.7
China,63,37.4,38.4,37.5,39.4
Colombia,116,30,31.2,30.2,32.2
Comoros,191,19.9,20.9,20.2,21.5
Democratic Republic of the Congo,225,18.6,16.7,16.5,16.8
Republic of the Congo,205,19.7,19.5,19.3,19.7
Cook Islands,65,36.5,38.3,37.8,38.7
Costa Rica,110,31.3,32.6,32.1,33.1
Cote d'Ivoire,193,20.9,20.3,20.3,20.3
Croatia,19,43,43.9,42,45.9
Cuba,38,41.5,42.1,40.2,43.8
Curacao,78,36.1,36.7,34.4,39.5
Cyprus,66,36.8,37.9,36.7,39.4
Czech Republic,29,42.1,43.3,42,44.7
Denmark,39,42.2,42,40.9,43.1
Djibouti,165,23.9,24.9,23,26.4
Dominica,88,33.5,34.9,34.4,35.5
Dominica,146,28.1,27.9,27.8,28.1
Ecuador,142,27.7,28.8,28,29.6
Egypt,168,23.9,24.1,23.8,24.5
El Salvador,147,27.1,27.7,26.2,29.3
Guinea,194,19.8,20.3,19.9,20.7
Eritrea,195,19.7,20.3,19.7,20.8
Estonia,22,42.7,43.7,40.4,47
Eswatini,176,21.7,23.7,22.5,24.7
Ethiopia,200,17.9,19.8,19.6,20.1
EU,18,42.9,44,42.6,45.5
Faroe Islands,73,37.6,37.2,36.9,37.7
Fiji,127,28.9,29.9,29.7,30.1
Finland,32,42.5,42.8,41.3,44.4
France,44,41.4,41.7,40,43.4
French Polynesia,99,31.9,33.3,33,33.5
Gabon,189,18.6,21,21.4,20.6
Gambia,184,21,21.8,21.5,22.2
Palestine (Gaza Strip),216,17.2,18,17.7,18.4
Georgia,61,38.1,38.6,35.9,41.4
Germany,4,47.1,47.8,46.5,49.1
Ghana,187,21.1,21.4,21,21.9
Gibraltar,85,34.7,35.5,34.4,36.6
Greece,9,44.5,45.3,43.7,46.8
Greenland,93,34,34.3,35.1,33.4
Grenada,100,31.5,33.3,33.1,33.4
Guam,132,29,29.4,28.7,30.2
Guatemala,180,22.1,23.2,22.6,23.8
Guernsey,17,43.8,44.3,43,45.6
Guinea,217,20.1,18,17.4,18.6
Guinea,208,18.9,19.1,18.9,19.4
Guyana,148,26.2,27.5,27.2,27.9
Haiti,169,23,24.1,23.8,24.3
Honduras,167,23,24.4,23.5,25.2
Hong Kong,7,44.4,45.6,44.2,46.5
Hungary,25,42.3,43.6,41.5,45.5
Iceland,75,36.5,37.1,36.6,37.7
India,143,28.1,28.7,28,29.5
Indonesia,118,30.2,31.1,30.5,31.8
Iran,114,30.3,31.7,31.5,32
Iraq,188,20,21.2,20.8,21.6
