0,1,2,3,4,5,6,7
36,Italy,"March 20, 1985",Bolzano[28],600,(source: McDonald's 2021),102500,See McDonald's Italy
37,Netherlands,"April 4, 1985",Oranjestad,4,(source: 2016),26316,See McDonald's Aruba and Curaﾃｧao
38,Luxembourg,"July 17, 1985",Luxembourg City,10,(source: 2013),57600,See McDonald's Luxembourg
39,Venezuela,"August 31, 1985",Caracas,133,(source: 2018 website),240451,See McDonald's Venezuela
40,Mexico,"October 29, 1985",Mexico City,402[16],"(source: World Atlas January 12, 2018)",321393,See McDonald's Mexico
41,Cuba,"April 24, 1986",Guantanamo Bay,1,(source: Dec. 2012),11480000,Guantanamo Bay; open only to military personnel. Not accessible for Cuban citizens.
42,Turkey,"October 24, 1986",Istanbul,253[16],(source: McDonald's 2019),312980,"First outlet opened in East Thrace; outlets in Anatolia would open later. Also first outlet in the Turkic-speaking world, with Azerbaijan coming second at 1999. See McDonald's Turkey"
43,Argentina,"November 24, 1986","Belgrano, Buenos Aires",222,(source: Jun. 2018),199414,See McDonald's Argentina
44,Macau( Portuguese Macau at the time),"April 11, 1987","Rua do Campo, Cathedral Parish, Macau Peninsula",27,(source: Dec. 2012),23058,Then Portuguese territory; McDonald's would only open a restaurant in Portugal itself 4 years later. see List of restaurants.
45,Serbia,"March 24, 1988","Slavija Square, Belgrade",30,(source: McDonald's 2020)[29],234067,First outlet in a communist country (not communist anymore) and first outlet in the Balkans. See McDonald's Serbia
46,South Korea,"March 29, 1988","Gangnam District, Seoul",447[24],(source: McDonald's 2019),115145,See McDonald's South Korea
47,Hungary,"April 13, 1988",Budapest[30],92,(source: McDonald's 2019)[31],111341,"Second communist country, first Warsaw Pact member, thus first outlet behind the Iron Curtain. Locally known as Meki. See McDonald's Hungary"
48,Russia(part of ﾂSoviet Union at the time),"January 31, 1990","Pushkin Square, Moscow",755[24],(source: September 2020),195911,"First outlet in the Soviet Union itself, which then disintegrated 23 months after its opening. See McDonald's Russia"
49,China,"October 8, 1990","Dongmen, Luohu District, Shenzhen","2,700[7]","(source: Investopedia November 15, 2018)",513333,See McDonald's China
50,Chile,"November 19, 1990",Santiago,77,(source: Dec. 2012),234416,See McDonald's Chile
51,Indonesia,"February 23, 1991","Sarinah, Jakarta (CLOSED)",224,(source: February 2020),1552941,First branch in Sarinah closed in 2020 due to refurbishment of Sarinah itself.[32] See McDonald's Indonesia
52,Portugal,"May 23, 1991","CascaiShopping, Cascais",175,(source: May 2020),69662,See McDonald's Portugal
53,Greece,"November 12, 1991",Athens Syntagma Square,25,(source: McDonald's 2019),448750,See McDonald's Greece
54,Uruguay,"November 18, 1991","Montevideo Shopping, Montevideo",25,(source: 2021)[33],164619,See McDonald's Uruguay
55,France,"December 16, 1991",Fort-de-France,9,(source: 2016),40484,See McDonald's French Antilles
56,Czech Republic,"March 20, 1992","Vodiﾄ・kova street, Prague",102,"(source: McDonald's CZ, Nov 2020)",106868,First McDonald's outlet to open after the Cold War. See McDonald's Czech Republic
57,France,"April 8, 1992",,8,(source: 2016),47838,See McDonald's French Antilles
58,Poland,"June 16, 1992","Marszaﾅ・kowska Street, Warsaw in department store ""ezam""D",470[34],(source: McDonald's 2021),86894,See McDonald's Poland
59,Monaco,"November 20, 1992",Monte Carlo,2,?,19348,
60,Brunei,"December 12, 1992",Bandar Seri Begawan,3,(source: 2018),142899,See McDonald's Brunei
61,Morocco,"December 18, 1992",Casablanca,53,[35],750553,First outlet in Africa and the first outlet in the Arab World; McDonald's is now present in all continents except Antarctica. See McDonald's Morocco
62,Northern Mariana Islands(territory of ﾂUnited States),"March 18, 1993",Saipan,2,(source:August 2011),27572,First outlet opened on the island of Saipan; second outlet opened in 1997
63,Israel (details),"October 14, 1993","Ayalon Mall, Ramat Gan",185,(source: 2016),47092,First outlet in the Middle East. See McDonald's Israel.
64,Slovenia,"December 2, 1993","ﾄ・opova Street, Ljubljana",23,(source: McDonald's 2021),103300,See McDonald's Slovenia
65,Saudi Arabia,"December 8, 1993",Riyadh,304,(source: McDonald's 2019),125247,First outlet in the Arabian Peninsula. See McDonald's Saudi Arabia McDonald's Saudi Arabia
66,Kuwait,"June 15, 1994",Kuwait City (CLOSED),77,(source: McDonald's 2019),57458,
67,France,"July 26, 1994",Noumﾃｩa,2,(source: 2012),140230,
68,Oman,"July 30, 1994",Salalah,24,(source: McDonald's 2019),201565,See McDonald's Oman
69,Egypt,"October 20, 1994",Cairo,114,(source: McDonald's 2019),937981,See McDonald's Egypt
70,Bulgaria,"December 10, 1994",Plovdiv,35 (excl. seasonal restaurants) 40 (including seasonal and mobile restaurants),(source: McDonald's 2019),200001,See McDonald's Bulgaria
71,Bahrain,"December 15, 1994",Manama,23,(source: McDonald's 2019),64913,See McDonald's Bahrain
72,Latvia,"December 15, 1994",Riga,13,(source: McDonald's 2019)[36],147690,First outlet in the Baltics. See McDonald's Latvia
73,United Arab Emirates,"December 21, 1994",Dubai[37],172,(source: McDonald's 2019),56970,See McDonald's UAE
74,Estonia,"April 29, 1995",Tallinn,10,(source: McDonald's 2019)[38],132482,See McDonald's Estonia
75,Romania,"June 16, 1995",Bucharest,84,(source: McDonald's 2020),280571,See McDonald's Romania
76,Malta,"July 7, 1995",Valletta,9,"(source: McDonald's 2020, 1 in Malta, 1 in Gozo)",46023,See McDonald's Malta
77,Colombia,"July 14, 1995","Centro Andino, Bogota",185,(source: August 2021),605803,See McDonald's Colombia
78,Slovakia,"October 14, 1995",Banskﾃ｡ Bystrica,35,"(source: McDonald's SK, Nov 2020)",181167,See McDonald's Slovakia
79,South Africa,"November 11, 1995","Blackheath, Gauteng",275[16],(source: McDonald's 2019),252089,First outlet in Southern Africa. See McDonald's South Africa
80,Qatar,"December 13, 1995",Doha,46,(source: McDonald's 2019),62833,See McDonald's Qatar
81,Honduras,"December 14, 1995",Tegucigalpa,10,(source: McDonald's 2019),842273,See McDonald's Honduras
82,Netherlands,"December 15, 1995",Philipsburg,3,(source: December 2013),13703,
83,Croatia,"February 2, 1996",Zagreb,39,(source: September 2021)[39],104512,See McDonald's Croatia
84,Samoa(named Western Samoa at the time),"March 2, 1996",Apia,1,?,196440,
85,Fiji,"May 1, 1996",Suva,4,(source: 2001),226376,"As of April 2012, Fiji was the only country in the world to still use the 2003 ""i'm lovin' it"" packaging as the other countries are using the 2008 packaging for meals and items. See McDonald's Fiji"
86,Liechtenstein,"May 3, 1996",Triesen,1,(source: 2018),37810,See McDonald's Switzerland
87,Lithuania,"May 31, 1996",Vilnius,17,(source: 2020),199586,See McDonald's Lithuania
88,India,"October 13, 1996[40]",Delhi,300[16],(source: 2018),5617241,First outlet in South Asia. See McDonald's India
89,Peru,"October 18, 1996",Lima,40,(source: 2014),804250,See McDonald's Peru
90,Jordan,"November 7, 1996",Amman,31,(source: 2018),312968,
91,Paraguay,"November 21, 1996",Asuncion,19,(source: 2018),358474,See McDonald's Paraguay
92,Dominican Republic,"November 30, 1996",Santo Domingo,31,?,347419,"Country with the second most locations of McDonald's in the Caribbean, after Puerto Rico. See McDonald's Dominican Republic"
93,France,"December 10, 1996",Tahiti,6,?,47167,
94,Belarus,"December 10, 1996",Minsk,21,,633867,"First McDonald's in a non-Baltic former Soviet republic (not including Russia)
The company claimed this as McDonald's ""100th country"" although this calculation included many non-sovereign territories. See McDonald's Belarus"
95,Trinidad and Tobago,"May 6, 1997",The Falls at West Mall,6,?,228167,"McDonald's previously had stores in Trinidad (May 6, 1997 ・・ October 25, 2003) but closed due to low sales. Re-opened at The Falls at West Mall in 2011 and has expanded to 5 other locations.[41]"
96,Ukraine,"May 24, 1997",Kyiv,101,(source: December 2019),451612,All three restaurants in the peninsula of Crimea were closed in 2014. See McDonald's Ukraine
97,Cyprus,"June 12, 1997",Larnaca,18,(source: 2016),47489,See McDonald's Cyprus
98,Guernsey and the ﾂJersey ( British Crown dependency),"August 1, 1997",Saint Helier,1,?,100080,
99,Ecuador,"October 9, 1997","Centro Comercial Iﾃｱaquito (CCI), Quito",30,(source: 2020),566667,See McDonald's Ecuador
100,France,"December 14, 1997",Saint-Denis,4,(source: 2018),216627,
101,Isle of Man ( British Crown dependency),"December 15, 1997",Douglas,1,?,84287,
102,Suriname,"December 18, 1997",Paramaribo,3,(source: 2021),192000,
103,Moldova,"April 30, 1998",Chiﾈ・inﾄ・u,5,(source: 2018),710000,See McDonald's Moldova
104,Nicaragua,"July 11, 1998",Managua,6,(source: June 2010),1036333,"McDonald's outlets ceased operation during the Nicaraguan Civil War and re-established a presence in 1998 after an absence of two decades. During the civil war one continued operating as ""Donald's"".[42] See McDonald's Nicaragua"
