0,1,2,3,4
1,Denmark,Greenland,2130800,It is thought that beneath the ice sheet Greenland may be three separate islands.[1]
2,Madagascar,Madagascar,587713,
3,Canada,Baffin Island,507451,
4,Indonesia,Sumatra,443066,
5,Japan,Honshu,225800,
6,United Kingdom,Great Britain,209331,
7,New Zealand,South Island,145836,
8,Philippines,Luzon,109965,
9,Cuba,Cuba,105806,
10,Iceland,Iceland,101826,
11,Russia,Sakhalin,72493,
12,Sri Lanka,Sri Lanka,65610,
13,Australia,Tasmania,65022,
14,Brazil,Marajó,40100,World's largest fluvial island.
15,Norway,Spitsbergen,38981,
16,Taiwan,Taiwan,35883,
17,Guinea,New Britain,35145,
18,China,Hainan,33210,
19,Italy,Sicily,25662,
20,France,Grande Terre,16372,
21,Jamaica,Jamaica,11190,
22,United States,Hawaii,10434,
23,Fiji,Viti Levu,10388,
24,Cyprus,Cyprus,9251,
,Puerto Rico,Puerto Rico,8897,
26,France,Corsica,8741,
27,Chile,Chiloé,8478,
28,Greece,Crete,8350,
29,Denmark,Zealand (Sjælland),7031,Largest Danish island not a part of Greenland.
30,Falkland Islands,East Falkland,6605,
31,Solomon Islands,Guadalcanal,5353,
32,Trinidad and Tobago,Trinidad,5009,
33,Ecuador,Isabela Island,4711,
34,Vanuatu,Espiritu Santo,3956,
35,Spain,Majorca,3667,
36,Yemen,Socotra,3607,
37,Bahamas,North Andros Island,3439,
38,Sweden,Gotland,2994,
39,Estonia,Saaremaa,2672,
40,Colombia,Margarita Island,2100,
41,Guinea,Bioko,1935,
42,Slovakia,Žitný ostrov,1886,Largest fluvial island in Europe.
43,Mauritius,Mauritius,1874,
44,South Korea,Jejudo,1826,
45,Samoa,Savai'i,1718,
46,Finland,Soisalo,1635,
47,Tanzania,Unguja,1575,
48,India,Middle Andaman Island,1523,
49,Iran,Qeshm,1488,
50,Romania,Letea,1480,
51,Bangladesh,Bhola Island,1441,
52,Myanmar,Ramree Island,1350,
53,Senegal,Morfil,1250,
54,Mexico,Tiburón Island,1190,
55,France,Tahiti,1069,
56,Venezuela,Margarita Island,1020,
57,Comoros,Grand Comoro,1013,
58,Cape Verde,Santiago,991,
59,Netherlands,Flevopolder,970,World biggest Artificial island.
60,Germany,Rügen,926.4,
61,Kuwait,Bubiyan,863,
62,Guadeloupe,Basse-Terre Island,847.8,
63,São Tomé and Príncipe,Sao Tome,845,
64,Thailand,Phuket,800,
66,Eritrea,Dahlak Kebir,754.9,
67,Portugal,São Miguel Island,754,
68,Dominica,Dominica,750,
69,Singapore,Ujong Island,719.9,
70,Haiti,Gonâve Island,700,
71,Oman,Masirah,658,
72,Saint Lucia,Saint Lucia,622,
73,Bahrain,Bahrain Island,604,
74,Sierra Leone,Sherbro Island,600,
75,Vietnam,Phu Quoc,546,
76,Guam,Guam,543.9,
77,Argentina,Isla de los Estados,534,
78,Tunisia,Djerba,510,
79,DR Congo,Sumba,500,
80,Panama,Coiba,494,
82,Netherlands,Curacao,444,
83,Malaysia,Banggi,441,
84,Barbados,Barbados,431,
85,Croatia,Krk/Cres,405.78,
86,Saudi Arabia,Farasan al Kabir,395,
87,Kiribati,Kiritimati,388,
88,Hungary,Szigetköz,375,
,Denmark,Streymoy,373,
91,Palau,Babeldaob,370,
94,Saint Vincent and the Grenadines,Saint Vincent,345,
95,Mozambique,Inhacamba,340,
96,Micronesia,Pohnpei,334,
97,Grenada,Grenada,306,
97,United Arab Emirates,Abu al Abyad,306,
99,South Africa,Marion Island,290,
100,Turkey,Imbros,279.2,
101,Antigua and Barbuda,Antigua,279,
102,Nicaragua,Ometepe,276,
103,Uganda,Bugala Island,275,
104,Tonga,Tongatapu,256,
105,Malta,Malta,246,
106,Poland,Wolin,246,
107,Guinea,ÁEle Tristao,226,
,France,Miquelon,215,
,U.S. Virgin Islands,Saint Croix,212,
,French Guiana,Cayenne Island,206.91,
,Cayman Islands,Grand Cayman,196,
113,Ghana,Island in south end of Lake Volta[citation needed],190,
,Aruba,Aruba,180,
114,Congo,Mbamu,180,
,Northern Mariana Islands,Saipan,180,
117,Kenya,Pate,170,
,Netherlands,Texel,160.9,
119,Mauritania,Tidra,156,
120,Honduras,Roatan,155,
121,Ireland,Achill,146,
122,Seychelles,Mahe,145,
,Samoa,Tutuila,142.3,
124,Guinea,Formosa,140,
,Christmas Island,Christmas Island,135,
126,Belize,Ambergris Caye,119,
127,Laos,Khong Island,110,
127,Dominica,Saona Island,110,
129,East Timor,Atauro Island,105,
130,Sudan,Mograt Island,104,
131,Cambodia,Koh Kong,100,
132,Angola,Tigres Island,98,
,Anguilla,Anguilla,91,
134,Zambia,Mbabala Island,80,
135,Afghanistan,island in Pyandzh River,75,
,Cook Islands,Rarotonga,67,
,Guernsey,Guernsey,63.4,
138,Serbia,Ostrvo,60,
138,Turkmenistan,Ogurja Ada,60,
138,Ukraine,Dzharylgach,60,
,British Virgin Islands,Tortola,55.7,
142,Lithuania,RusnāEs Sala,55.6,
143,North Korea,Sinmido,52,
144,Egypt,Shakir?,41,
144,Bulgaria,Belene Island,41,
,India,Diego Garcia,30,
147,El Salvador,Espiritu Santo,25,
148,Costa Rica,Cocos Island,23.85,
149,Tajikistan,Severnyy,22,
150,Nauru,Nauru,21.3,
149,Latvia,Doles Sala,21,
150,Uruguay,Isla del Queguay Grande,19.16,
