0,1,2,3,4,5,6,7,8
Comoros,7,National Museum of Comoros,http://www.wikidata.org/entity/Q18379552,wd:Q18379552,,
Costa Rica,13,National Museum of Costa Rica,http://www.wikidata.org/entity/Q1968698,wd:Q1968698,23396252,"national museum in San José, Costa Rica"
Croatia,25,Museum of Broken Relationships,http://www.wikidata.org/entity/Q1954595,wd:Q1954595,32057600,"specialized museum in Zagreb, Croatia"
Cuba,20,Museum of the Revolution,http://www.wikidata.org/entity/Q1781364,wd:Q1781364,2602099,"museum dedicated to history of the revolution on Cuba, located in Havana"
Cyprus,21,Cyprus Museum,http://www.wikidata.org/entity/Q1148462,wd:Q1148462,10247416,Archaeological museum in Cyprus
Czech Republic,36,"Národní Muzeum (National Museum, Prague)",http://www.wikidata.org/entity/Q188112,wd:Q188112,2574869,Czech museum institution
Democratic Republic of the Congo,7,National Museum of the Democratic Republic of Congo,http://www.wikidata.org/entity/Q65600754,wd:Q65600754,61300090,museum for art and ethnography in DR Congo
Denmark,30,Statens Museum for Kunst,http://www.wikidata.org/entity/Q671384,wd:Q671384,3809124,"Art Museum in Copenhagen, Denmark"
Djibouti,2,Djibouti Museum,http://www.wikidata.org/entity/Q18208004,wd:Q18208004,,
Dominica,6,The Dominica Museum,http://www.wikidata.org/entity/Q2652249,wd:Q2652249,32171777,National museum of Dominica
Dominican Republic,8,Museo de las Casas Reales,http://www.wikidata.org/entity/Q1954296,wd:Q1954296,20031645,Dominican historical monument
East Timor,6,Timorese Resistance Archive and Museum,http://www.wikidata.org/entity/Q16493993,wd:Q16493993,55414316,"museum in Dili, East Timor"
Ecuador,5,La Capilla del Hombre,http://www.wikidata.org/entity/Q5640065,wd:Q5640065,21302039,"art museum in Quito, Ecuador"
Egypt,60,Egyptian Museum,http://www.wikidata.org/entity/Q201219,wd:Q201219,187781,museum in Cairo
El Salvador,6,Museo de la Palabra y la Imagen,http://www.wikidata.org/entity/Q1541926,wd:Q1541926,10929786,"War museum in San Salvador, El Salvador"
Equatorial Guinea,4,Museum of Modern Art Equatorial Guinea,http://www.wikidata.org/entity/Q6034159,wd:Q6034159,,
Eritrea,12,National Museum of Eritrea,http://www.wikidata.org/entity/Q1968666,wd:Q1968666,6933595,museum in Eritrea
Estonia,27,Kumu,http://www.wikidata.org/entity/Q919611,wd:Q919611,2901669,"art museum in Tallinn, Estonia"
Eswatini,2,Indingilizi Gallery,http://www.wikidata.org/entity/Q1960512,wd:Q1960512,,
Ethiopia,19,National Museum of Ethiopia,http://www.wikidata.org/entity/Q2652168,wd:Q2652168,10916162,"museum in Addis Ababa, Ethiopia"
Federated States of Micronesia,2,Kosrae State Museum,http://www.wikidata.org/entity/Q106861934,wd:Q106861934,67664854,museum in Federated States of Micronesia
Fiji,9,Fiji Museum,http://www.wikidata.org/entity/Q2652153,wd:Q2652153,13489453,museum of Fijian artifacts
Finland,30,Ateneum,http://www.wikidata.org/entity/Q754507,wd:Q754507,4954509,"art museum in Helsinki, Finland"
France,158,Louvre Museum,http://www.wikidata.org/entity/Q19675,wd:Q19675,17546,"art and archeology museum in Paris, France"
Gabon,1,Q109037363,http://www.wikidata.org/entity/Q109037363,wd:Q109037363,,
Georgia,22,Joseph Stalin Museum,http://www.wikidata.org/entity/Q2563760,wd:Q2563760,4330895,"museum in Gori, Georgia (country)"
Germany,55,Deutsches Museum,http://www.wikidata.org/entity/Q131617,wd:Q131617,228044,"museum in Munich, Germany"
Ghana,10,National Museum of Ghana,http://www.wikidata.org/entity/Q1967472,wd:Q1967472,2871348,material cultural heritage site in Ghana
Greece,36,National Archaeological Museum of Athens,http://www.wikidata.org/entity/Q637187,wd:Q637187,2983991,museum in Athens
Grenada,4,Grenada National Museum,http://www.wikidata.org/entity/Q15222142,wd:Q15222142,39936092,"Historic building in St George's, Grenada"
Guatemala,5,Guatemala City Railway Museum,http://www.wikidata.org/entity/Q5614217,wd:Q5614217,24020469,museum in Guatemala
Guinea,6,Conakry National Museum,http://www.wikidata.org/entity/Q2586343,wd:Q2586343,31204219,national museum
Guinea-Bissau,3,Museu Etnográfico Nacional da Guiné-Bissau,http://www.wikidata.org/entity/Q20065189,wd:Q20065189,46845245,museum in Bissau
Guyana,5,Walter Roth Museum of Anthropology,http://www.wikidata.org/entity/Q2586716,wd:Q2586716,,
Haiti,7,Haitian National Pantheon Museum,http://www.wikidata.org/entity/Q2586373,wd:Q2586373,32931400,places of historical and cultural works of Haiti
Honduras,2,Museum for National Identity,http://www.wikidata.org/entity/Q6034587,wd:Q6034587,,
Hungary,36,"Museum of Fine Arts, Budapest",http://www.wikidata.org/entity/Q840886,wd:Q840886,2673462,"art museum in Budapest, Hungary"
Iceland,40,Icelandic Phallological Museum,http://www.wikidata.org/entity/Q177174,wd:Q177174,1397955,"museum in Reykjavík, Iceland"
India,27,Sabarmati Ashram,http://www.wikidata.org/entity/Q1410702,wd:Q1410702,1146980,residence of Mahatma Gandhi (1917–1930)
Indonesia,23,National Museum of Indonesia,http://www.wikidata.org/entity/Q1467125,wd:Q1467125,9036122,"an archaeological, historical, ethnological, and geographical museum located in Jakarta"
Iran,30,National Museum of Iran,http://www.wikidata.org/entity/Q1631008,wd:Q1631008,1836625,"museum in Tehran, Iran"
Iraq,31,National Museum of Iraq,http://www.wikidata.org/entity/Q521251,wd:Q521251,209846,historical museum in Baghdad
Israel,86,Israel Museum,http://www.wikidata.org/entity/Q46815,wd:Q46815,1340538,national museum of the state of Israel in Jerusalem
Italy,73,Uffizi Gallery,http://www.wikidata.org/entity/Q51252,wd:Q51252,45854,"museum building in Florence, Italy"
Ivory Coast,4,Museum of Civilizations in Ivory Coast,http://www.wikidata.org/entity/Q16888110,wd:Q16888110,39060802,"museum in Abidjan, Ivory Coast."
Jamaica,11,Bob Marley Museum,http://www.wikidata.org/entity/Q650517,wd:Q650517,5094796,biographical museum
Japan,48,Tokyo National Museum,http://www.wikidata.org/entity/Q653433,wd:Q653433,1743486,"National Museum in Tokyo, Japan"
Jordan,12,Jordan Archaeological Museum,http://www.wikidata.org/entity/Q1444552,wd:Q1444552,17597817,"art museum, design/textile museum, historic site in Amman, Jordan"
Kazakhstan,12,Central State Museum of Kazakhstan,http://www.wikidata.org/entity/Q190456,wd:Q190456,14164332,"museum in Almaty, Kazakhstan"
Kenya,13,National Museums of Kenya,http://www.wikidata.org/entity/Q3330879,wd:Q3330879,6639878,"state corporation that manages museums, sites and monuments in Kenya"
Kiribati,10,Te Umanibong,http://www.wikidata.org/entity/Q2398223,wd:Q2398223,17227441,museum in Kiribati
Kosovo,12,Kosovo Museum,http://www.wikidata.org/entity/Q16854755,wd:Q16854755,42693258,"national museum of Kosovo, in Pristina"
Kuwait,9,Kuwait National Museum,http://www.wikidata.org/entity/Q2498040,wd:Q2498040,24976720,National Museum
Kyrgyzstan,8,State History Museum (Bishkek),http://www.wikidata.org/entity/Q4221185,wd:Q4221185,,
Laos,5,Champasak Provincial Museum,http://www.wikidata.org/entity/Q3014008,wd:Q3014008,15258307,"museum in Pakse, Laos"
Latvia,24,Latvian National Museum of Art,http://www.wikidata.org/entity/Q1370465,wd:Q1370465,4086076,museum in Latvia
Lebanon,22,National Museum of Beirut,http://www.wikidata.org/entity/Q2915627,wd:Q2915627,10382620,museum in Lebanon
Lesotho,3,Morija Museum & Archives,http://www.wikidata.org/entity/Q2498194,wd:Q2498194,13495232,muesum of Lesotho
Liberia,4,Liberian National Museum,http://www.wikidata.org/entity/Q1345859,wd:Q1345859,17262930,national museum
Libya,10,Red Castle Museum,http://www.wikidata.org/entity/Q2498401,wd:Q2498401,22879569,"national museum in Tripoli, Libya"
Liechtenstein,18,Kunstmuseum Liechtenstein,http://www.wikidata.org/entity/Q1792561,wd:Q1792561,7333494,art museum in Vaduz
Lithuania,15,Žmuidzinavičius Museum,http://www.wikidata.org/entity/Q2305235,wd:Q2305235,7521810,"museum in Kaunas, Lithuania"
Luxembourg,15,National Museum of History and Art,http://www.wikidata.org/entity/Q2585886,wd:Q2585886,8703664,"museum in Luxembourg City, Luxembourg"
Madagascar,5,Museum of Ethnology and Paleontology,http://www.wikidata.org/entity/Q2498460,wd:Q2498460,22029575,"ethnology museum, Paleontology museum in Tsimbazaza, Antananarivo"
Malawi,7,Chichiri Museum,http://www.wikidata.org/entity/Q1488889,wd:Q1488889,17407307,national museum
Malaysia,17,National Museum of Malaysia,http://www.wikidata.org/entity/Q917630,wd:Q917630,1784374,museum in Kuala Lumpur
Maldives,8,National Museum,http://www.wikidata.org/entity/Q6974433,wd:Q6974433,7193378,museum in Maldives
Mali,11,National Museum of Mali,http://www.wikidata.org/entity/Q1867505,wd:Q1867505,3463494,Museum in Mali
Malta,14,National Museum of Archaeology,http://www.wikidata.org/entity/Q2898298,wd:Q2898298,22013021,"archaeology museum in Valletta, Malta"
Mauritania,11,National Museum of Mauritania,http://www.wikidata.org/entity/Q2370438,wd:Q2370438,31144763,"national museum in Nouakchott, Mauritania"
Mauritius,8,Blue Penny Museum,http://www.wikidata.org/entity/Q495247,wd:Q495247,10963815,"stamp museum in Port Louis, capital of Mauritius"
Mexico,38,National Museum of Anthropology,http://www.wikidata.org/entity/Q524249,wd:Q524249,4009849,national museum of Mexico
Moldova,9,National Museum of Fine Arts,http://www.wikidata.org/entity/Q6974468,wd:Q6974468,28337645,"art museum in Chișinău, Moldova"
Monaco,29,Musée océanographique de Monaco,http://www.wikidata.org/entity/Q851527,wd:Q851527,1835511,museum of marine sciences
Mongolia,10,Mongolian Natural History Museum,http://www.wikidata.org/entity/Q2154359,wd:Q2154359,,
Montenegro,20,National Museum of Montenegro,http://www.wikidata.org/entity/Q2265459,wd:Q2265459,11717944,"Musem in Cetinje, Montenegro"
Morocco,11,Marrakech Museum,http://www.wikidata.org/entity/Q3090631,wd:Q3090631,2879095,"art museum in Marrakesh, Morocco"
Mozambique,6,Natural History Museum of Mozambique,http://www.wikidata.org/entity/Q2944171,wd:Q2944171,,
Myanmar,9,National Museum (Yangon),http://www.wikidata.org/entity/Q2756611,wd:Q2756611,12326906,One of the National Museums in Myanmar
Namibia,4,Independence Memorial Museum,http://www.wikidata.org/entity/Q28196088,wd:Q28196088,52257242,"history museum in Windhoek, Namibia"
Nauru,3,Nauru Museum,http://www.wikidata.org/entity/Q106510196,wd:Q106510196,67403641,museum in Nauru
Nepal,22,Narayanhity Palace Museum,http://www.wikidata.org/entity/Q1050042,wd:Q1050042,15662077,"palace in Kathmandu, Nepal"
Netherlands,65,Rijksmuseum,http://www.wikidata.org/entity/Q190804,wd:Q190804,26230,"museum in Amsterdam, Netherlands"
New Zealand,28,Museum of New Zealand Te Papa Tongarewa,http://www.wikidata.org/entity/Q915603,wd:Q915603,1225932,national museum of New Zealand
Nicaragua,3,Museum of Traditions and Legends,http://www.wikidata.org/entity/Q6941035,wd:Q6941035,,
Niger,8,Musée National Boubou Hama,http://www.wikidata.org/entity/Q1989844,wd:Q1989844,49246899,museum in Niamey
Nigeria,14,"Nigerian National Museum, Lagos",http://www.wikidata.org/entity/Q1311732,wd:Q1311732,26150369,national museum in Nigeria
North Korea,17,Korean Revolution Museum,http://www.wikidata.org/entity/Q1326244,wd:Q1326244,39002226,North Korean architectural structure & museum
North Macedonia,15,Museum of Contemporary Art Skopje,http://www.wikidata.org/entity/Q3329592,wd:Q3329592,32296327,"museum in Skopje, North Macedonia"
Norway,35,Munch Museum,http://www.wikidata.org/entity/Q844926,wd:Q844926,175070,"art museum in Oslo, Norway"
Oman,10,The National Museum - Sultanate of Oman,http://www.wikidata.org/entity/Q2158194,wd:Q2158194,21145279,"national museum in Old Muscat, Oman"
Pakistan,18,Lahore Museum,http://www.wikidata.org/entity/Q1640876,wd:Q1640876,2458049,"museum in Lahore, Pakistan"
Palau,7,Belau National Museum,http://www.wikidata.org/entity/Q4881995,wd:Q4881995,21329310,"national museum in Koror, Palau"
Panama,6,Panama Canal Museum,http://www.wikidata.org/entity/Q3330421,wd:Q3330421,31606866,"museum located in Panama City, Panama"
Papua New Guinea,6,Papua New Guinea National Museum and Art Gallery,http://www.wikidata.org/entity/Q55628557,wd:Q55628557,57715582,"museum in Port Moresby, Papua New Guinea"
Paraguay,8,Casa de la Independencia Museum,http://www.wikidata.org/entity/Q3300187,wd:Q3300187,17039785,"museum in Asunción, Paraguay"
People's Republic of China,38,National Museum of China,http://www.wikidata.org/entity/Q1074318,wd:Q1074318,4478888,"museum in Beijing, China"
Peru,15,Larco Museum,http://www.wikidata.org/entity/Q1954240,wd:Q1954240,12280531,"archaeological museum in Lima, Peru"
Philippines,21,National Museum of the Philippines,http://www.wikidata.org/entity/Q1667156,wd:Q1667156,13548286,Museum instutition in the Philippines
Poland,32,National Museum in Warsaw,http://www.wikidata.org/entity/Q153306,wd:Q153306,5465011,"national museum in Warsaw, Poland"
Portugal,24,National Museum of Ancient Art,http://www.wikidata.org/entity/Q212459,wd:Q212459,4430455,"museum in Lisboa, Portugal"
Qatar,24,Museum of Islamic Art,http://www.wikidata.org/entity/Q1148353,wd:Q1148353,6618006,"art museum in Doha, Qatar"
Republic of Ireland,28,National Gallery of Ireland,http://www.wikidata.org/entity/Q2018379,wd:Q2018379,1332060,art museum in Dublin
Republic of the Congo,2,African Circle Museum of Pointe-Noire,http://www.wikidata.org/entity/Q59485217,wd:Q59485217,,
Romania,17,Romanian Peasant Museum,http://www.wikidata.org/entity/Q623662,wd:Q623662,587049,ethnographic and historic museum in Bucharest
Russia,82,Hermitage Museum,http://www.wikidata.org/entity/Q132783,wd:Q132783,175403,"art museum in St. Petersburg, Russia"
Rwanda,8,Ethnographic Museum,http://www.wikidata.org/entity/Q2110810,wd:Q2110810,18236230,National ethnographic museum of Rwanda in Butare
Saint Kitts and Nevis,4,National Museum of Saint Kitts,http://www.wikidata.org/entity/Q41575364,wd:Q41575364,55437870,"museum in Saint George Basseterre, Saint Kitts and Nevis"
Samoa,1,Museum of Samoa,http://www.wikidata.org/entity/Q106628284,wd:Q106628284,67508107,Samoa's national museum
San Marino,6,Sammarinese Museum of Ancient Arms,http://www.wikidata.org/entity/Q1424199,wd:Q1424199,25587808,military museum
São Tomé and Príncipe,10,São Sebastião Museum,http://www.wikidata.org/entity/Q2110836,wd:Q2110836,30691326,"national museum in São Tomé Island, São Tomé and Príncipe"
Saudi Arabia,13,National Museum of Saudi Arabia,http://www.wikidata.org/entity/Q1343912,wd:Q1343912,21309739,national museum
Senegal,10,Museum of Black Civilizations,http://www.wikidata.org/entity/Q59521062,wd:Q59521062,59471988,"museum in Dakar, Senegal"
Serbia,29,National Museum of Serbia,http://www.wikidata.org/entity/Q1277393,wd:Q1277393,5249121,"museum in Belgrade, Serbia"
Seychelles,5,Seychelles Natural History Museum,http://www.wikidata.org/entity/Q17560817,wd:Q17560817,,
Sierra Leone,5,Sierra Leone National Museum,http://www.wikidata.org/entity/Q3330698,wd:Q3330698,43574258,National museum of Sierra Leone
Singapore,18,National Museum of Singapore,http://www.wikidata.org/entity/Q632689,wd:Q632689,6244699,national museum of Singapore
Slovakia,22,Slovak National Museum,http://www.wikidata.org/entity/Q1093925,wd:Q1093925,10983473,national museum of the Slovak Republic
Slovenia,18,National Gallery of Slovenia,http://www.wikidata.org/entity/Q1953536,wd:Q1953536,16380956,art museum in Ljubljana
Solomon Islands,1,Solomon Islands National Museum,http://www.wikidata.org/entity/Q106512453,wd:Q106512453,67408905,museum in Honiara
Somalia,8,National Museum of Somalia,http://www.wikidata.org/entity/Q2033310,wd:Q2033310,32433797,building in Africa
South Africa,13,Apartheid Museum,http://www.wikidata.org/entity/Q617810,wd:Q617810,2244597,history museum
South Korea,34,National Museum of Korea,http://www.wikidata.org/entity/Q494407,wd:Q494407,5016590,"Museum located in Seoul, Republic of Korea"
South Sudan,1,South Sudan National Museum,http://www.wikidata.org/entity/Q18379793,wd:Q18379793,,
Spain,76,Museo del Prado,http://www.wikidata.org/entity/Q160112,wd:Q160112,230962,"Spanish national art museum in Madrid, Spain"
Sri Lanka,20,National Museum of Colombo,http://www.wikidata.org/entity/Q2033487,wd:Q2033487,9852458,Sri Lankan museum
State of Palestine,13,Islamic Museum,http://www.wikidata.org/entity/Q3407496,wd:Q3407496,19623898,museum in Jerusalem
Sudan,14,National Museum of Sudan,http://www.wikidata.org/entity/Q643453,wd:Q643453,14473045,Museum for the history of Sudan
Suriname,6,Surinaams Museum,http://www.wikidata.org/entity/Q1960505,wd:Q1960505,,
Sweden,38,Vasa Museum,http://www.wikidata.org/entity/Q901371,wd:Q901371,833528,"museum in Stockholm, Sweden"
Switzerland,29,Olympic Museum,http://www.wikidata.org/entity/Q598646,wd:Q598646,856061,museum in Lausanne (Switzerland)
Syria,25,National Museum in Damascus,http://www.wikidata.org/entity/Q617254,wd:Q617254,8703194,"museum in Damascus, Syria"
Taiwan,43,National Palace Museum,http://www.wikidata.org/entity/Q540668,wd:Q540668,66184,"ancient Chinese imperial artifacts and artworks museum in Taipei, Taiwan"
Tajikistan,14,Tajikistan National Museum,http://www.wikidata.org/entity/Q1962119,wd:Q1962119,6389536,Museum in Tajikistan
Tanzania,10,National Museum of Tanzania,http://www.wikidata.org/entity/Q1960827,wd:Q1960827,29360614,consortium of five Tanzanian museums
Thailand,21,Bangkok National Museum,http://www.wikidata.org/entity/Q1255815,wd:Q1255815,12068538,"museum in Bangkok, Thailand"
The Bahamas,4,National Art Gallery of The Bahamas,http://www.wikidata.org/entity/Q2912593,wd:Q2912593,14423826,art gallery in The Bahamas
The Gambia,9,Gambia National Museum,http://www.wikidata.org/entity/Q1967468,wd:Q1967468,17407086,"prehistory, culture, history, and natural history museum in Banjul, the Gambia in the city centre"
Togo,6,Togo National Museum,http://www.wikidata.org/entity/Q1960688,wd:Q1960688,15263571,"Museum in Maritime, Togo"
Trinidad and Tobago,7,National Museum and Art Gallery,http://www.wikidata.org/entity/Q6974436,wd:Q6974436,,
Tunisia,32,Bardo National Museum,http://www.wikidata.org/entity/Q1429003,wd:Q1429003,17407281,"national museum in Tunis, Tunisia"
Turkey,34,Museum of Anatolian Civilizations,http://www.wikidata.org/entity/Q754322,wd:Q754322,4344879,"museum in Ankara, Turkey"
Turkmenistan,12,Turkmen Carpet Museum,http://www.wikidata.org/entity/Q1835821,wd:Q1835821,23442765,"Museums in Ashgabat, Turkmenistan"
Uganda,6,Uganda Museum,http://www.wikidata.org/entity/Q7877613,wd:Q7877613,23375454,"museum in Kampala, Uganda"
Ukraine,32,National Art Museum of Ukraine,http://www.wikidata.org/entity/Q1189277,wd:Q1189277,9771863,art museum in Ukraine
United Arab Emirates,31,Louvre Abu Dhabi,http://www.wikidata.org/entity/Q3176133,wd:Q3176133,13651538,"art museum in Abu Dhabi, United Arab Emirates"
United Kingdom,97,British Museum,http://www.wikidata.org/entity/Q6373,wd:Q6373,4675,national museum in the Bloomsbury area of London
United States of America,79,Metropolitan Museum of Art,http://www.wikidata.org/entity/Q160236,wd:Q160236,37535,"art museum in New York City, United States"
Uruguay,14,National Museum of Visual Arts,http://www.wikidata.org/entity/Q1786577,wd:Q1786577,28344768,museum in Montevideo
Uzbekistan,17,Nukus Museum of Art,http://www.wikidata.org/entity/Q597055,wd:Q597055,14846351,"Museum in Nukus, Karakalpakstan, Uzbekistan"
Vanuatu,9,Vanuatu Cultural Centre,http://www.wikidata.org/entity/Q1835725,wd:Q1835725,23613874,national cultural institution of Vanuatu
Vatican City,60,Vatican Museums,http://www.wikidata.org/entity/Q182955,wd:Q182955,229765,museums of the Vatican City
Venezuela,13,Caracas Museum of Fine Arts,http://www.wikidata.org/entity/Q2630111,wd:Q2630111,41872463,art museum in Venezuela
Vietnam,17,War Remnants Museum,http://www.wikidata.org/entity/Q703871,wd:Q703871,9821917,military museum in Vietnam
Yemen,5,National Museum of Yemen,http://www.wikidata.org/entity/Q1837324,wd:Q1837324,22872526,"museum in Sana'a, Yemen"
Zambia,10,Lusaka National Museum,http://www.wikidata.org/entity/Q3267774,wd:Q3267774,17406692,"museum in Lusaka, Zambia"
Zimbabwe,10,National Gallery of Zimbabwe,http://www.wikidata.org/entity/Q4113712,wd:Q4113712,14053454,contemporary art museum
