0,1,2,3,4,5,6,7,8
Afghanistan,28,National Museum of Afghanistan,http://www.wikidata.org/entity/Q715467,wd:Q715467,987183,museum
Albania,20,Gjergj Kastrioti Skënderbeu National Museum,http://www.wikidata.org/entity/Q3303191,wd:Q3303191,17611807,museum in Krujë
Algeria,8,Museum of Modern Art of Algiers,http://www.wikidata.org/entity/Q663776,wd:Q663776,32955504,museum
Andorra,7,Farga Rossell,http://www.wikidata.org/entity/Q2912615,wd:Q2912615,,
Angola,10,National Museum of Slavery,http://www.wikidata.org/entity/Q868140,wd:Q868140,26344832,"museum in Luanda,Angola"
Antigua and Barbuda,20,Nelson's Dockyard,http://www.wikidata.org/entity/Q1435206,wd:Q1435206,3265791,cultural heritage site and marina in Antigua
Argentina,20,National Museum of Fine Arts,http://www.wikidata.org/entity/Q1848918,wd:Q1848918,10172590,"National and art museum in Buenos Aires, Argentina"
Armenia,33,National Gallery of Armenia,http://www.wikidata.org/entity/Q2087788,wd:Q2087788,13921338,"art museum in Yerevan, Armenia"
Australia,31,National Gallery of Victoria,http://www.wikidata.org/entity/Q1464509,wd:Q1464509,66104,"art museum in Melbourne, Australia"
Austria,51,Kunsthistorisches Museum,http://www.wikidata.org/entity/Q95569,wd:Q95569,1010262,"art museum in Vienna, Austria"
Azerbaijan,45,National Art Museum of Azerbaijan,http://www.wikidata.org/entity/Q2559128,wd:Q2559128,16783121,аrt museum in Baku
Bahrain,21,Beit Al Quran,http://www.wikidata.org/entity/Q630922,wd:Q630922,4724215,library
Bangladesh,19,Bangladesh National Museum,http://www.wikidata.org/entity/Q51876,wd:Q51876,2072416,national museum of Bangladesh
Barbados,4,Barbados Museum & Historical Society,http://www.wikidata.org/entity/Q2912644,wd:Q2912644,,
Belarus,20,Belarusian National Arts Museum,http://www.wikidata.org/entity/Q2584571,wd:Q2584571,22576463,museum in Minsk
Belgium,38,Museum Plantin-Moretus,http://www.wikidata.org/entity/Q595802,wd:Q595802,3547510,museum in Antwerp
Belize,4,Museum of Belize,http://www.wikidata.org/entity/Q16979616,wd:Q16979616,23290402,History museum in Belize
Benin,8,Royal Palace Museum,http://www.wikidata.org/entity/Q2784858,wd:Q2784858,32086298,museum in Benin
Bhutan,10,National Museum of Bhutan,http://www.wikidata.org/entity/Q4315025,wd:Q4315025,11311892,Museum in Asia
Bolivia,6,National Mint of Bolivia,http://www.wikidata.org/entity/Q847038,wd:Q847038,14704134,mint located in the city of Potosí in Bolivia
Bosnia and Herzegovina,23,National Museum of Bosnia and Herzegovina,http://www.wikidata.org/entity/Q568938,wd:Q568938,4284936,national museum in Bosnia and Herzegovina
Botswana,7,Botswana National Museum,http://www.wikidata.org/entity/Q859613,wd:Q859613,17407533,"museum in Gaborone, Botswana"
Brazil,64,São Paulo Museum of Art,http://www.wikidata.org/entity/Q82941,wd:Q82941,650105,"art museum in São Paulo, Brazil"
Brunei,18,Brunei Museum,http://www.wikidata.org/entity/Q2756903,wd:Q2756903,15185509,national museum of Brunei
Bulgaria,20,National Historical Museum,http://www.wikidata.org/entity/Q1968325,wd:Q1968325,4413003,museum in Bulgaria
Burkina Faso,7,Musée de Manega,http://www.wikidata.org/entity/Q1127493,wd:Q1127493,15382433,"museum in the village of Manega, Burkina Faso, that specializes in the arts and musical instruments of the country"
Burundi,11,National Museum of Gitega,http://www.wikidata.org/entity/Q2688645,wd:Q2688645,17407654,Museum in Gitega
Cambodia,19,National Museum of Cambodia,http://www.wikidata.org/entity/Q1929750,wd:Q1929750,4598990,"art museum, archaeology,and history in Phnom Penh, Cambodia"
Cameroon,7,Doual'art,http://www.wikidata.org/entity/Q1051789,wd:Q1051789,16617421,art gallery in Cameroon
Canada,33,Royal Ontario Museum,http://www.wikidata.org/entity/Q649250,wd:Q649250,338359,"museum of world culture and natural history in Toronto, Ontario, Canada"
Cape Verde,7,Museu Etnográfico da Praia,http://www.wikidata.org/entity/Q3330560,wd:Q3330560,50004190,"ethnographic Museum in Santiago, Cape Verde"
Central African Republic,6,Boganda National Museum,http://www.wikidata.org/entity/Q2688029,wd:Q2688029,17407878,National museum of the Central African Republic
Chad,11,Chad National Museum,http://www.wikidata.org/entity/Q2684769,wd:Q2684769,9974674,National museum of Chad in N'Djaména
Chile,17,Chilean National Museum of Fine Arts,http://www.wikidata.org/entity/Q775376,wd:Q775376,13664106,national monument of Chile
Colombia,22,Museum of Gold,http://www.wikidata.org/entity/Q1109031,wd:Q1109031,1365949,"museum in Bogota, Colombia"
