country,number,item,rank,item_id,shortform,pageid,wikidata_description
Afghanistan,556205,Herat,3,http://www.wikidata.org/entity/Q45313,wd:Q45313,14128,"capital of Herat Province, Afghanistan"
Albania,126777,Kamëz,3,http://www.wikidata.org/entity/Q605160,wd:Q605160,18030919,city in Albania
Algeria,852000,Oran,3,http://www.wikidata.org/entity/Q131818,wd:Q131818,145335,city in Algeria
Angola,665564,Huambo,3,http://www.wikidata.org/entity/Q207322,wd:Q207322,448688,city in Angola
Argentina,1193605,Rosario,3,http://www.wikidata.org/entity/Q52535,wd:Q52535,592784,city in Argentina
Armenia,1190,Dvin,3,http://www.wikidata.org/entity/Q429059,wd:Q429059,4997140,ancient capital of early medieval Armenia.
Australia,2360241,Brisbane,3,http://www.wikidata.org/entity/Q34932,wd:Q34932,192093,"capital city of Queensland, Australia"
Austria,204846,Linz,3,http://www.wikidata.org/entity/Q41329,wd:Q41329,55856,"capital city of Upper Austria, Austria"
Azerbaijan,331400,Ganja,3,http://www.wikidata.org/entity/Q131290,wd:Q131290,661551,city in Azerbaijan
Bahrain,75000,Muharraq,3,http://www.wikidata.org/entity/Q270500,wd:Q270500,1293335,city; former capital of Bahrain
Bangladesh,1400689,Khulna,3,http://www.wikidata.org/entity/Q243325,wd:Q243325,956919,city of Bangladesh
Belarus,360419,Vitebsk,3,http://www.wikidata.org/entity/Q102217,wd:Q102217,160979,city and capital of the Vitebsk region in northeastern Belarus
Belgium,262219,Ghent,3,http://www.wikidata.org/entity/Q1296,wd:Q1296,12341,"city in East Flanders, Belgium"
Belize,16977,San Ignacio,3,http://www.wikidata.org/entity/Q724815,wd:Q724815,172798,town in western Belize
Bolivia,842378,El Alto,3,http://www.wikidata.org/entity/Q30996,wd:Q30996,3475756,second-largest city in Bolivia
Bosnia and Herzegovina,114663,Bijeljina,3,http://www.wikidata.org/entity/Q207801,wd:Q207801,552802,city in Bosnia and Herzegovina
Botswana,57067,Maun,3,http://www.wikidata.org/entity/Q170732,wd:Q170732,963369,town in Botswana
Brazil,3015268,Brasília,3,http://www.wikidata.org/entity/Q2844,wd:Q2844,4752,capital city of Brazil
Bulgaria,368237,Varna,3,http://www.wikidata.org/entity/Q6506,wd:Q6506,86762,city in Bulgaria
Burkina Faso,160207,Koudougou,3,http://www.wikidata.org/entity/Q460697,wd:Q460697,1190595,town in Burkina Faso
Burundi,39884,Ngozi,3,http://www.wikidata.org/entity/Q929689,wd:Q929689,11365154,city of Burundi
Cape Verde,12026,Assomada,3,http://www.wikidata.org/entity/Q490573,wd:Q490573,3121537,city
Cambodia,139722,Koh Kong Province,3,http://www.wikidata.org/entity/Q466000,wd:Q466000,493454,Province in Cambodia
Cameroon,1750000,Garoua,3,http://www.wikidata.org/entity/Q157915,wd:Q157915,1560657,city in Cameroon
Canada,934243,Ottawa,3,http://www.wikidata.org/entity/Q1930,wd:Q1930,22219,capital city of Canada
Central African Republic,76918,Berbérati,3,http://www.wikidata.org/entity/Q544701,wd:Q544701,1805747,city
Chad,108061,Sarh,3,http://www.wikidata.org/entity/Q337530,wd:Q337530,791775,city
Chile,348517,Antofagasta,3,http://www.wikidata.org/entity/Q3612,wd:Q3612,901189,city in northern Chile
People's Republic of China,20937757,Chengdu,3,http://www.wikidata.org/entity/Q30002,wd:Q30002,170375,"the capital of Sichuan Province, China"
Colombia,2471474,Cali,3,http://www.wikidata.org/entity/Q51103,wd:Q51103,283965,capital of the Colombian department of Valle del Cauca
Comoros,7235,Mitsamihuli,3,http://www.wikidata.org/entity/Q3109029,wd:Q3109029,3405311,settlement in Comoros
Democratic Republic of the Congo,1786397,Lubumbashi,3,http://www.wikidata.org/entity/Q187593,wd:Q187593,517943,second largest city in Democratic Republic of the Congo
