country,number,item,item_id,shortform,pageid,wikidata_description
Saudi Arabia,93,Aisha,http://www.wikidata.org/entity/Q4730963,wd:Q4730963,21552009,Muhammad's third wife (c. 613/4 – 678)
Senegal,45,Phillis Wheatley,http://www.wikidata.org/entity/Q257911,wd:Q257911,38932,American poet
Serbia,38,Nadežda Petrović,http://www.wikidata.org/entity/Q264453,wd:Q264453,2948009,Serbian artist (1873-1915)
Seychelles,3,Josephine Cafrine,http://www.wikidata.org/entity/Q43249380,wd:Q43249380,55806613,Seychellois leper (1874-1907)
Sierra Leone,4,Madam Yoko,http://www.wikidata.org/entity/Q6726243,wd:Q6726243,23130204,Leader of the Mende people in Sierra Leone
Singapore,10,Agnes Joaquim,http://www.wikidata.org/entity/Q4056987,wd:Q4056987,46978920,owner of a garden in tanjong pagar
Slovakia,56,Elizabeth of Hungary,http://www.wikidata.org/entity/Q159862,wd:Q159862,414393,Christian saint
Slovenia,35,Barbara of Cilli,http://www.wikidata.org/entity/Q231334,wd:Q231334,916272,"Queen Consort of Hungary, Germany, Bohemia and Empress Consort of Holy Roman Empire"
Somalia,5,Dada Masiti,http://www.wikidata.org/entity/Q17421644,wd:Q17421644,43030558,Ashraf poet
South Africa,33,Olive Schreiner,http://www.wikidata.org/entity/Q151180,wd:Q151180,7576321,South African author and pacifist (1855-1920)
South Korea,33,Empress Myeongseong,http://www.wikidata.org/entity/Q464503,wd:Q464503,426049,Empress Consort of Korea (1851–1895)
Spain,97,Teresa of Ávila,http://www.wikidata.org/entity/Q174880,wd:Q174880,43583,Roman Catholic saint (1515-1582)
Sri Lanka,4,Gajaman Nona,http://www.wikidata.org/entity/Q5517541,wd:Q5517541,25979740,Sri Lankan poet (1746-1815)
State of Palestine,65,Saint Anne,http://www.wikidata.org/entity/Q164294,wd:Q164294,143102,mother of Virgin Mary in Christian and Islamic traditions; unnamed in the New Testament or Quran
Suriname,7,Elisabeth Samson,http://www.wikidata.org/entity/Q4976659,wd:Q4976659,39810510,Afro-Surinamese coffee plantation owner
Sweden,84,Sofia Kovalevskaya,http://www.wikidata.org/entity/Q184535,wd:Q184535,105587,19th-century Russian mathematician
Switzerland,73,Isabelle de Charrière,http://www.wikidata.org/entity/Q123386,wd:Q123386,1463135,Dutch French-language writer and composer
Syria,59,Zenobia,http://www.wikidata.org/entity/Q189705,wd:Q189705,43382,3rd-century Queen of the Palmyrene Empire
Taiwan,9,Wen Qimei,http://www.wikidata.org/entity/Q4120370,wd:Q4120370,3324385,mother of Mao Zedong (1867-1919)
Tajikistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Thailand,22,Sunandha Kumariratana,http://www.wikidata.org/entity/Q449452,wd:Q449452,6779095,Queen consort of Thailand (1860-1880)
The Bahamas,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
The Gambia,45,Phillis Wheatley,http://www.wikidata.org/entity/Q257911,wd:Q257911,38932,American poet
Togo,18,Sara Forbes Bonetta,http://www.wikidata.org/entity/Q7421624,wd:Q7421624,156887,West African princess
Tonga,10,Lavinia Veiongo Fotu,http://www.wikidata.org/entity/Q13631663,wd:Q13631663,51604915,Queen Consort of Tonga
Trinidad and Tobago,14,Dido Elizabeth Belle,http://www.wikidata.org/entity/Q3027251,wd:Q3027251,4080735,British heiress and member of the Lindsay family of Evelix
Tunisia,31,Fatima al-Fihri,http://www.wikidata.org/entity/Q182363,wd:Q182363,17408791,founder of the al-Qarawiyyin mosque
Turkey,69,Helena Augusta,http://www.wikidata.org/entity/Q170164,wd:Q170164,148645,"Roman empress as the first wife of Constantius Chlorus, and mother of Emperor Constantine the Great (250-330)"
Turkmenistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Ukraine,72,Lesya Ukrainka,http://www.wikidata.org/entity/Q298033,wd:Q298033,1298494,Ukrainian poet and writer (1871-1913)
United Arab Emirates,25,Hind bint Utbah,http://www.wikidata.org/entity/Q1093767,wd:Q1093767,30863821,wife of Abu Sufyan
United Kingdom,181,Jane Austen,http://www.wikidata.org/entity/Q36322,wd:Q36322,15782,English novelist (1775–1817)
United States of America,136,Emily Dickinson,http://www.wikidata.org/entity/Q4441,wd:Q4441,159275,American poet (1830-1886)
Uruguay,37,Delmira Agustini,http://www.wikidata.org/entity/Q239458,wd:Q239458,2769722,Uruguayan writer
Uzbekistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Venezuela,23,Teresa Carreño,http://www.wikidata.org/entity/Q241494,wd:Q241494,1445166,Venezuelan classical pianist
Vietnam,24,Ho Xuan Huong,http://www.wikidata.org/entity/Q465259,wd:Q465259,1858914,Vietnamese poet
Yemen,25,Hind bint Utbah,http://www.wikidata.org/entity/Q1093767,wd:Q1093767,30863821,wife of Abu Sufyan
Zimbabwe,6,Nehanda Charwe Nyakasikana,http://www.wikidata.org/entity/Q6987768,wd:Q6987768,3315256,Zimbabwean rebel
