scientist,scientistLabel,sitelinks,countryLabel,deathdate
http://www.wikidata.org/entity/Q7747,Vladimir Putin,264,Russia,
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi,257,India,1948-01-30T00:00:00Z
http://www.wikidata.org/entity/Q5152,Mustafa Kemal Atatﾃｼrk,228,Turkey,1938-11-10T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,201,People's Republic of China,1976-09-09T00:00:00Z
http://www.wikidata.org/entity/Q217096,Naruhito,190,Japan,
http://www.wikidata.org/entity/Q4688112,Sung Jae-gi,189,South Korea,2013-07-26T00:00:00Z
http://www.wikidata.org/entity/Q5676,Matsuo Bashﾅ・,184,Japan,1694-11-28T00:00:00Z
http://www.wikidata.org/entity/Q30547,Mother Teresa,178,India,1997-09-05T00:00:00Z
http://www.wikidata.org/entity/Q5208,Huang Xianfan,170,People's Republic of China,1982-01-18T00:00:00Z
http://www.wikidata.org/entity/Q30487,Mikhail Gorbachev,170,Russia,
http://www.wikidata.org/entity/Q78516,Anna Netrebko,167,Russia,
http://www.wikidata.org/entity/Q1047,Jawaharlal Nehru,164,India,1964-05-27T00:00:00Z
http://www.wikidata.org/entity/Q1317,Osama bin Laden,162,Saudi Arabia,2011-05-02T00:00:00Z
http://www.wikidata.org/entity/Q39259,Recep Tayyip Erdoﾄ・an,160,Turkey,
http://www.wikidata.org/entity/Q23530,Dmitry Medvedev,160,Russia,
http://www.wikidata.org/entity/Q17293,His Holiness the Dalai Lama 14 Tendzin Gyatso,158,People's Republic of China,
http://www.wikidata.org/entity/Q8006,Akira Kurosawa,157,Japan,1998-09-06T00:00:00Z
http://www.wikidata.org/entity/Q13909,Angelina Jolie,154,Cambodia,
http://www.wikidata.org/entity/Q5586,Katsushika Hokusai,153,Japan,1849-05-10T00:00:00Z
http://www.wikidata.org/entity/Q36970,Jackie Chan,153,People's Republic of China,
http://www.wikidata.org/entity/Q56226,Kim Jong-un,152,North Korea,
http://www.wikidata.org/entity/Q15031,Xi Jinping,151,People's Republic of China,
http://www.wikidata.org/entity/Q1058,Narendra Modi,150,India,
http://www.wikidata.org/entity/Q1149,Indira Gandhi,150,India,1984-10-31T00:00:00Z
http://www.wikidata.org/entity/Q36740,Aung San Suu Kyi,149,Myanmar,
http://www.wikidata.org/entity/Q41117,Kim Il-sung,148,North Korea,1994-07-08T00:00:00Z
http://www.wikidata.org/entity/Q7176,Najib Mahfouz,147,Egypt,2006-08-30T00:00:00Z
http://www.wikidata.org/entity/Q1362169,Agnez Mo,147,Indonesia,
http://www.wikidata.org/entity/Q81731,Murasaki Shikibu,145,Japan,1016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q34453,Boris Yeltsin,145,Russia,2007-04-23T00:00:00Z
http://www.wikidata.org/entity/Q1253,Ban Ki-moon,143,South Korea,
http://www.wikidata.org/entity/Q855252,Bhumibol Adulyadej,142,Thailand,2016-10-13T00:00:00Z
http://www.wikidata.org/entity/Q34474,Aleksandr Solzhenitsyn,142,Russia,2008-08-03T00:00:00Z
http://www.wikidata.org/entity/Q34448,Mahmoud Ahmadinejad,138,Iran,
http://www.wikidata.org/entity/Q34211,Yasser Arafat,137,Jordan,2004-11-11T00:00:00Z
http://www.wikidata.org/entity/Q34479,Hirohito,136,Japan,1989-01-07T00:00:00Z
http://www.wikidata.org/entity/Q43723,Benjamin Netanyahu,136,Israel,
http://www.wikidata.org/entity/Q32927,Valery Leontiev,135,Russia,
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,133,India,1956-12-06T00:00:00Z
http://www.wikidata.org/entity/Q1463,Ferdinand Marcos,132,Philippines,1989-09-28T00:00:00Z
http://www.wikidata.org/entity/Q34105,Hosni Mubarak,132,Egypt,2020-02-25T00:00:00Z
http://www.wikidata.org/entity/Q132345,Shinzﾅ・ Abe,131,Japan,
http://www.wikidata.org/entity/Q34413,Benazir Bhutto,131,Pakistan,2007-12-27T00:00:00Z
http://www.wikidata.org/entity/Q32732,Malala Yousafzai,129,Pakistan,
http://www.wikidata.org/entity/Q241248,Orhan Pamuk,129,Turkey,
http://www.wikidata.org/entity/Q44329,Bashar al-Assad,128,Syria,
http://www.wikidata.org/entity/Q16574,Chiang Kai-shek,128,Taiwan,1975-04-05T00:00:00Z
http://www.wikidata.org/entity/Q82110,Steven Seagal,127,Russia,
http://www.wikidata.org/entity/Q10665,Kim Jong-il,126,North Korea,2011-12-17T00:00:00Z
http://www.wikidata.org/entity/Q8873,Satyajit Ray,122,India,1992-04-23T00:00:00Z
http://www.wikidata.org/entity/Q37876,Natalie Portman,121,Israel,
http://www.wikidata.org/entity/Q37001,Toshirﾅ・ Mifune,120,Japan,1997-12-24T00:00:00Z
http://www.wikidata.org/entity/Q57410,Shimon Peres,120,Israel,2016-09-28T00:00:00Z
http://www.wikidata.org/entity/Q16977,Deng Xiaoping,120,People's Republic of China,1997-02-19T00:00:00Z
http://www.wikidata.org/entity/Q37979,Akihito,119,Japan,
http://www.wikidata.org/entity/Q37610,David Ben-Gurion,119,Israel,1973-12-01T00:00:00Z
http://www.wikidata.org/entity/Q348144,Hassan Rouhani,117,Iran,
http://www.wikidata.org/entity/Q38823,Ruhollah Khomeini,117,Iran,1989-06-03T00:00:00Z
http://www.wikidata.org/entity/Q42992,Golda Meir,116,Israel,1978-12-08T00:00:00Z
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,116,Sri Lanka,2008-03-19T00:00:00Z
http://www.wikidata.org/entity/Q9535,Shah Rukh Khan,116,India,
http://www.wikidata.org/entity/Q39464,Pol Pot,116,Cambodia,1998-04-15T00:00:00Z
http://www.wikidata.org/entity/Q43736,Yasunari Kawabata,114,Japan,1972-04-16T00:00:00Z
http://www.wikidata.org/entity/Q15029,Hu Jintao,114,People's Republic of China,
http://www.wikidata.org/entity/Q57371,Ilham Aliyev,114,Azerbaijan,
http://www.wikidata.org/entity/Q134798,Haruki Murakami,113,Japan,
http://www.wikidata.org/entity/Q9570,Amitabh Bachchan,113,India,
http://www.wikidata.org/entity/Q159577,Jet Li,113,People's Republic of China,
http://www.wikidata.org/entity/Q159577,Jet Li,113,Singapore,
http://www.wikidata.org/entity/Q42013,Anwar Sadat,112,Egypt,1981-10-06T00:00:00Z
http://www.wikidata.org/entity/Q60206,Ariel Sharon,111,Israel,2014-01-11T00:00:00Z
