country,countryLabel,numberofvolcanos
http://www.wikidata.org/entity/Q17,Japan,294
http://www.wikidata.org/entity/Q36,Poland,2
http://www.wikidata.org/entity/Q29,Spain,146
http://www.wikidata.org/entity/Q189,Iceland,75
http://www.wikidata.org/entity/Q774,Guatemala,59
http://www.wikidata.org/entity/Q159,Russia,696
http://www.wikidata.org/entity/Q298,Chile,215
http://www.wikidata.org/entity/Q685,Solomon Islands,9
http://www.wikidata.org/entity/Q30,United States of America,182
http://www.wikidata.org/entity/Q739,Colombia,31
http://www.wikidata.org/entity/Q928,Philippines,64
http://www.wikidata.org/entity/Q691,Papua New Guinea,71
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,17
http://www.wikidata.org/entity/Q805,Yemen,20
http://www.wikidata.org/entity/Q252,Indonesia,192
http://www.wikidata.org/entity/Q881,Vietnam,6
http://www.wikidata.org/entity/Q20,Norway,2
http://www.wikidata.org/entity/Q96,Mexico,335
http://www.wikidata.org/entity/Q750,Bolivia,38
http://www.wikidata.org/entity/Q218,Romania,5
http://www.wikidata.org/entity/Q851,Saudi Arabia,10
http://www.wikidata.org/entity/Q414,Argentina,146
http://www.wikidata.org/entity/Q38,Italy,39
http://www.wikidata.org/entity/Q801,Israel,40
http://www.wikidata.org/entity/Q858,Syria,92
http://www.wikidata.org/entity/Q736,Ecuador,73
http://www.wikidata.org/entity/Q792,El Salvador,17
http://www.wikidata.org/entity/Q114,Kenya,18
http://www.wikidata.org/entity/Q811,Nicaragua,39
http://www.wikidata.org/entity/Q419,Peru,52
http://www.wikidata.org/entity/Q43,Turkey,11
http://www.wikidata.org/entity/Q686,Vanuatu,33
http://www.wikidata.org/entity/Q142,France,152
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,2
http://www.wikidata.org/entity/Q1019,Madagascar,12
http://www.wikidata.org/entity/Q145,United Kingdom,16
http://www.wikidata.org/entity/Q16,Canada,37
http://www.wikidata.org/entity/Q1009,Cameroon,19
http://www.wikidata.org/entity/Q664,New Zealand,61
http://www.wikidata.org/entity/Q183,Germany,20
http://www.wikidata.org/entity/Q884,South Korea,6
http://www.wikidata.org/entity/Q115,Ethiopia,44
http://www.wikidata.org/entity/Q794,Iran,6
http://www.wikidata.org/entity/Q977,Djibouti,6
http://www.wikidata.org/entity/Q1036,Uganda,6
http://www.wikidata.org/entity/Q155,Brazil,4
http://www.wikidata.org/entity/Q800,Costa Rica,26
http://www.wikidata.org/entity/Q399,Armenia,11
http://www.wikidata.org/entity/Q1033,Nigeria,2
http://www.wikidata.org/entity/Q1011,Cape Verde,5
http://www.wikidata.org/entity/Q148,People's Republic of China,19
http://www.wikidata.org/entity/Q986,Eritrea,22
http://www.wikidata.org/entity/Q678,Tonga,8
http://www.wikidata.org/entity/Q45,Portugal,7
http://www.wikidata.org/entity/Q784,Dominica,10
http://www.wikidata.org/entity/Q224,Croatia,2
http://www.wikidata.org/entity/Q408,Australia,15
http://www.wikidata.org/entity/Q711,Mongolia,8
http://www.wikidata.org/entity/Q41,Greece,11
http://www.wikidata.org/entity/Q212,Ukraine,3
http://www.wikidata.org/entity/Q258,South Africa,3
http://www.wikidata.org/entity/Q192184,"Saint Helena, Ascension and Tristan da Cunha",2
http://www.wikidata.org/entity/Q869,Thailand,2
http://www.wikidata.org/entity/Q683,Samoa,8
http://www.wikidata.org/entity/Q230,Georgia,8
http://www.wikidata.org/entity/Q865,Republic of China (Taiwan),6
http://www.wikidata.org/entity/Q833,Malaysia,2
http://www.wikidata.org/entity/Q55,Netherlands,6
http://www.wikidata.org/entity/Q213,Czech Republic,4
http://www.wikidata.org/entity/Q717,Venezuela,4
http://www.wikidata.org/entity/Q836,Myanmar,2
http://www.wikidata.org/entity/Q1029,Mozambique,2
http://www.wikidata.org/entity/Q35086,South Georgia and the South Sandwich Islands,6
http://www.wikidata.org/entity/Q712,Fiji,2
http://www.wikidata.org/entity/Q924,Tanzania,8
http://www.wikidata.org/entity/Q983,Equatorial Guinea,2
http://www.wikidata.org/entity/Q34,Sweden,3
http://www.wikidata.org/entity/Q262,Algeria,4
http://www.wikidata.org/entity/Q1032,Niger,2
http://www.wikidata.org/entity/Q1049,Sudan,2
http://www.wikidata.org/entity/Q423,North Korea,5
http://www.wikidata.org/entity/Q912,Mali,2
http://www.wikidata.org/entity/Q227,Azerbaijan,8
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,3
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,1
http://www.wikidata.org/entity/Q769,Grenada,2
http://www.wikidata.org/entity/Q804,Panama,1
http://www.wikidata.org/entity/Q783,Honduras,10
http://www.wikidata.org/entity/Q657,Chad,2
http://www.wikidata.org/entity/Q970,Comoros,1
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,1
http://www.wikidata.org/entity/Q843,Pakistan,1
http://www.wikidata.org/entity/Q214,Slovakia,1
http://www.wikidata.org/entity/Q574,Timor-Leste,2
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,1
http://www.wikidata.org/entity/Q1028,Morocco,3
http://www.wikidata.org/entity/Q1037,Rwanda,1
http://www.wikidata.org/entity/Q27,Republic of Ireland,1
http://www.wikidata.org/entity/Q28,Hungary,2
