head,country,headLabel,countryLabel,followers,numsitelinks
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q16,Elizabeth II,Canada,862000,211
http://www.wikidata.org/entity/Q78869,http://www.wikidata.org/entity/Q40,Alexander Van der Bellen,Austria,229459,82
http://www.wikidata.org/entity/Q29032,http://www.wikidata.org/entity/Q213,Miloš Zeman,Czech Republic,7832,86
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q691,Elizabeth II,Papua New Guinea,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q242,Elizabeth II,Belize,862000,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q16,Elizabeth II,Canada,4364350,211
http://www.wikidata.org/entity/Q727132,http://www.wikidata.org/entity/Q222,Ilir Meta,Albania,20175,55
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q242,Elizabeth II,Belize,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q145,Elizabeth II,United Kingdom,862000,211
http://www.wikidata.org/entity/Q15967423,http://www.wikidata.org/entity/Q221,Stevo Pendarovski,North Macedonia,13141,55
http://www.wikidata.org/entity/Q21294765,http://www.wikidata.org/entity/Q790,Jovenel Moïse,Haiti,392188,68
http://www.wikidata.org/entity/Q172388,http://www.wikidata.org/entity/Q30747910,Ashraf Ghani,Islamic Republic of Afghanistan,775995,87
http://www.wikidata.org/entity/Q18352991,http://www.wikidata.org/entity/Q953,Edgar Lungu,Zambia,116842,50
http://www.wikidata.org/entity/Q105319569,http://www.wikidata.org/entity/Q1016,Abdulhamid Dbeibeh,Libya,67277,15
http://www.wikidata.org/entity/Q317556,http://www.wikidata.org/entity/Q30747910,Abdullah Abdullah,Islamic Republic of Afghanistan,804492,49
http://www.wikidata.org/entity/Q27917049,http://www.wikidata.org/entity/Q1005,Adama Barrow,The Gambia,27716,55
http://www.wikidata.org/entity/Q29032770,http://www.wikidata.org/entity/Q974,Félix Tshisekedi,Democratic Republic of the Congo,17729,55
http://www.wikidata.org/entity/Q367825,http://www.wikidata.org/entity/Q851,Salman of Saudi Arabia,Saudi Arabia,9443848,92
http://www.wikidata.org/entity/Q510523,http://www.wikidata.org/entity/Q954,Emmerson Mnangagwa,Zimbabwe,653250,66
http://www.wikidata.org/entity/Q3318398,http://www.wikidata.org/entity/Q1032,Mohamed Bazoum,Niger,59012,21
http://www.wikidata.org/entity/Q361567,http://www.wikidata.org/entity/Q1033,Muhammadu Buhari,Nigeria,3897848,72
http://www.wikidata.org/entity/Q17712353,http://www.wikidata.org/entity/Q792,Nayib Bukele,El Salvador,3310300,51
http://www.wikidata.org/entity/Q28122455,http://www.wikidata.org/entity/Q804,Laurentino Cortizo,Panama,299498,34
http://www.wikidata.org/entity/Q85317569,http://www.wikidata.org/entity/Q796,Mustafa Al-Kadhimi,Iraq,754906,33
http://www.wikidata.org/entity/Q505200,http://www.wikidata.org/entity/Q766,Andrew Holness,Jamaica,182924,30
http://www.wikidata.org/entity/Q477828,http://www.wikidata.org/entity/Q30747910,Amrullah Saleh,Islamic Republic of Afghanistan,597584,40
http://www.wikidata.org/entity/Q57363,http://www.wikidata.org/entity/Q1019,Andry Rajoelina,Madagascar,106208,49
http://www.wikidata.org/entity/Q16149892,http://www.wikidata.org/entity/Q750,Luis Arce,Bolivia,184710,51
http://www.wikidata.org/entity/Q1740843,http://www.wikidata.org/entity/Q1036,Ruhakana Rugunda,Uganda,267298,21
http://www.wikidata.org/entity/Q3401447,http://www.wikidata.org/entity/Q1027,Pravind Jugnauth,Mauritius,15873,24
http://www.wikidata.org/entity/Q18618891,http://www.wikidata.org/entity/Q963,Mokgweetsi Masisi,Botswana,106899,49
http://www.wikidata.org/entity/Q55614252,http://www.wikidata.org/entity/Q826,Ibrahim Mohamed Solih,Maldives,120992,37
http://www.wikidata.org/entity/Q1231345,http://www.wikidata.org/entity/Q1037,Paul Kagame,Rwanda,2241844,82
http://www.wikidata.org/entity/Q808173,http://www.wikidata.org/entity/Q796,Barham Salih,Iraq,1014782,48
http://www.wikidata.org/entity/Q39318,http://www.wikidata.org/entity/Q801,Naftali Bennett,Israel,41500,72
http://www.wikidata.org/entity/Q57438,http://www.wikidata.org/entity/Q1041,Macky Sall,Senegal,1584920,62
http://www.wikidata.org/entity/Q4790529,http://www.wikidata.org/entity/Q843,Arif Alvi,Pakistan,2949779,48
http://www.wikidata.org/entity/Q57521,http://www.wikidata.org/entity/Q1000,Ali Bongo Ondimba,Gabon,210216,61
http://www.wikidata.org/entity/Q57429,http://www.wikidata.org/entity/Q786,Danilo Medina,Dominican Republic,741832,43
http://www.wikidata.org/entity/Q363392,http://www.wikidata.org/entity/Q822,Michel Aoun,Lebanon,370750,61
http://www.wikidata.org/entity/Q558575,http://www.wikidata.org/entity/Q1045,Mohamed Abdullahi Farmajo,Somalia,505278,51
http://www.wikidata.org/entity/Q38188115,http://www.wikidata.org/entity/Q1037,Édouard Ngirente,Rwanda,17206,21
http://www.wikidata.org/entity/Q39318,http://www.wikidata.org/entity/Q801,Naftali Bennett,Israel,286756,72
