samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q5105,http://www.wikidata.org/entity/Q16,Canada,Celine Dion,140
http://www.wikidata.org/entity/Q214959,http://www.wikidata.org/entity/Q766,Jamaica,Harry Belafonte,61
http://www.wikidata.org/entity/Q104049,http://www.wikidata.org/entity/Q778,The Bahamas,Sidney Poitier,92
http://www.wikidata.org/entity/Q4732865,http://www.wikidata.org/entity/Q769,Grenada,Allister Bain,2
http://www.wikidata.org/entity/Q336788,http://www.wikidata.org/entity/Q774,Guatemala,Oscar Isaac,52
http://www.wikidata.org/entity/Q190162,http://www.wikidata.org/entity/Q786,Dominican Republic,Zoe Saldana,69
http://www.wikidata.org/entity/Q1043065,http://www.wikidata.org/entity/Q783,Honduras,Carlos Mencia,60
http://www.wikidata.org/entity/Q28549730,http://www.wikidata.org/entity/Q784,Dominica,Alphonsia Emmanuel,3
http://www.wikidata.org/entity/Q213574,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Rutger Hauer,66
http://www.wikidata.org/entity/Q7022636,http://www.wikidata.org/entity/Q784,Dominica,Ngozi Paul,3
http://www.wikidata.org/entity/Q348649,http://www.wikidata.org/entity/Q800,Costa Rica,Harry Shum,31
http://www.wikidata.org/entity/Q202663,http://www.wikidata.org/entity/Q790,Haiti,Wyclef Jean,46
http://www.wikidata.org/entity/Q2980097,http://www.wikidata.org/entity/Q792,El Salvador,Imanol Uribe,13
http://www.wikidata.org/entity/Q230827,http://www.wikidata.org/entity/Q804,Panama,Jordana Brewster,52
http://www.wikidata.org/entity/Q9960,http://www.wikidata.org/entity/Q30,United States of America,Ronald Reagan,300
http://www.wikidata.org/entity/Q19508994,http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,Nive Nielsen,15
http://www.wikidata.org/entity/Q23880,http://www.wikidata.org/entity/Q96,Mexico,Lila Downs,115
http://www.wikidata.org/entity/Q957454,http://www.wikidata.org/entity/Q242,Belize,Arlen Escarpeta,13
http://www.wikidata.org/entity/Q189415,http://www.wikidata.org/entity/Q241,Cuba,Andy Garcia,60
http://www.wikidata.org/entity/Q36844,http://www.wikidata.org/entity/Q244,Barbados,Rihanna,136
http://www.wikidata.org/entity/Q27045579,http://www.wikidata.org/entity/Q754,Trinidad and Tobago,Winston Duke,28
