0,1,2
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Franﾃｧois Hollande,211,France
-,-,-
-,-,-
-,-,-
-,-,-
Nicolas Sarkozy,180,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Emmanuel Macron,160,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Anggun,147,France
-,-,-
-,-,-
-,-,-
Elon Musk,143,South Africa
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Avril Lavigne,133,France
-,-,-
-,-,-
-,-,-
-,-,-
Brigitte Bardot,130,France
-,-,-
-,-,-
Zinedine Zidane,130,France
Zinedine Zidane,130,Algeria
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sophia Loren,119,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Alain Delon,114,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
J. M. Coetzee,109,South Africa
Charlize Theron,107,South Africa
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Ellen Johnson Sirleaf,105,Liberia
Marine Le Pen,104,France
-,-,-
Gao Xingjian,102,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Milan Kundera,101,France
French,101,France
-,-,-
Roman Polanski,101,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Abdel Fattah el-Sisi,99,Egypt
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Jean-Marie Gustave Le Clﾃｩzio,97,France
Michel Platini,97,France
-,-,-
Jean-Marie Gustave Le Clﾃｩzio,97,Mauritius
Jacob Zuma,97,South Africa
-,-,-
-,-,-
Patrick Modiano,96,France
Wole Soyinka,96,Nigeria
Thierry Henry,95,France
-,-,-
Thabo Mbeki,95,South Africa
-,-,-
-,-,-
-,-,-
Karim Benzema,94,France
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Gﾃｩrard Depardieu,93,France
Mohammed VI,93,Morocco
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Arsﾃｨne Wenger,89,France
-,-,-
Jean-Luc Godard,88,France
Samuel L. Jackson,88,Gabon
Omar al-Bashir,88,Sudan
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Antoine Griezmann,87,France
-,-,-
-,-,-
-,-,-
Paul Pogba,86,France
-,-,-
-,-,-
Abiy Ahmed Ali,86,Ethiopia
-,-,-
George Weah,86,Liberia
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Franck Ribﾃｩry,84,France
David Guetta,84,France
-,-,-
David Guetta,84,Morocco
