samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q230827,http://www.wikidata.org/entity/Q804,Panama,Jordana Brewster,52
http://www.wikidata.org/entity/Q229613,http://www.wikidata.org/entity/Q77,Uruguay,Carlos Gardel,58
http://www.wikidata.org/entity/Q12897,http://www.wikidata.org/entity/Q155,Brazil,Pelé,146
http://www.wikidata.org/entity/Q125133,http://www.wikidata.org/entity/Q298,Chile,Víctor Jara,55
http://www.wikidata.org/entity/Q17515,http://www.wikidata.org/entity/Q414,Argentina,Diego Maradona,159
http://www.wikidata.org/entity/Q239030,http://www.wikidata.org/entity/Q419,Peru,Yma Sumac,43
http://www.wikidata.org/entity/Q289662,http://www.wikidata.org/entity/Q717,Venezuela,Dayana Mendoza,36
http://www.wikidata.org/entity/Q434585,http://www.wikidata.org/entity/Q736,Ecuador,Mike Judge,30
http://www.wikidata.org/entity/Q27489535,http://www.wikidata.org/entity/Q734,Guyana,Letitia Wright,37
http://www.wikidata.org/entity/Q153040,http://www.wikidata.org/entity/Q733,Paraguay,Larissa Riquelme,28
http://www.wikidata.org/entity/Q832582,http://www.wikidata.org/entity/Q730,Suriname,Bettina Campbell,13
http://www.wikidata.org/entity/Q34424,http://www.wikidata.org/entity/Q739,Colombia,Shakira,130
http://www.wikidata.org/entity/Q2881214,http://www.wikidata.org/entity/Q750,Bolivia,Ximena Herrera,13
