0,1
,entered
 Egypt,2007
 Ethiopia,2022
 Ghana,2018
 Ivory Coast,2015
 Kenya,2016
 Mauritius,2021
 Morocco,2011
 Nigeria,2021
 South Africa,2013
 Tunisia,2019
Country/territory,Year
,entered
 Armenia,2017
,
 Azerbaijan,2018
 Bahrain,?
 Bangladesh,2016
 Brunei,2014
 Cambodia,2013
 China,2005
,
 East Timor,2013[39]
 Hong Kong,1979
,
 India,2014
 Indonesia,1986
,
,
 Israel,2016
,
,
 Japan,2007
,
 Jordan,?
 Iraq,2019
 Kuwait,1990
,
 Kazakhstan,2012
,
 Lebanon,2001
,
 Malaysia,1997
 Maldives,2013
 Macau,2007
 Mongolia,2015
 Myanmar,2016
 Oman,2010
,
 Pakistan,2013
 Philippines,1997
 Qatar,1996[58]
 South Korea,1984
,
 Saudi Arabia,1992[63]
,
 Singapore,1982
,
 Sri Lanka,2013
 Taiwan,1989
,
 Thailand,1994
 United Arab Emirates,1993[72]
,
 Vietnam,2011
Country/territory,Year
,entered
 Albania,2019
 Andorra,1981
 Austria,2000
 Belarus,2015
 Belgium,2017
 Bulgaria,2008
 Croatia,2014
 Cyprus,2003
 Czech Republic,2008
 Denmark,1977
 Estonia,2020
 Faroe Islands,?
 Finland,"1982–85, 2013"
 France,"1980-1998, 2012"
 Georgia,2013
 Germany,1976
 Gibraltar,?
 Greece,2018
 Hungary,1991
 Ireland,1981
 Italy,1999
 Jersey,2016
 Kosovo,2018
 Latvia,2020
 Lithuania,2020
 Luxembourg,2017
 North Macedonia,2011
 Malta,1995
 Montenegro,2022
 Netherlands,1981
 Norway,1988
 Poland,1992
 Portugal,2001[113]
 Romania,2008
 Russia,2010
,
 Serbia,2022
 Slovakia,"2010-2011,"
,returned in 2018
 Spain,1975
,
 Sweden,1976
 Switzerland,1981
 Turkey,1995
 Northern Cyprus,2019
 United Kingdom,1977
Country/territory,Year
,entered
 Antigua and Barbuda,2012
 Aruba,1981
 Bahamas,1966[135]
 Barbados,2013
 Canada,1968
 Cayman Islands,1982[138]
 Costa Rica,1991
 Curaçao,2008
 Dominican Republic,1994
 El Salvador,1994
 Guatemala,1989
 Honduras,1990
 Jamaica,1985
 Nicaragua,?
 Mexico,1991
 Panama,1981
 Puerto Rico,1963
 Saint Lucia,?
 Saint Kitts and Nevis,2017
 Sint Maarten,?
 Trinidad and Tobago,2008
 United States,1954
,1957
Country/territory,Year
,entered
 Australia,1971
 Guam,?
 Fiji,2015
 New Caledonia,2017[157]
 New Zealand,1993
,
,
Country/territory,Year
,entered
 Argentina,1989
 Bolivia,1999
 Brazil,2006
 Colombia,2008
 Chile,1994
 Ecuador,1982[164]
 French Guiana,?
 Guyana,2017
 Paraguay,1995
 Peru,1993[167]
 Suriname,2008
 Uruguay,2008
 Venezuela,1980
Country/territory,Year
,entered
 Australia,1997 (by name)
,
,
 Afghanistan,?
 Costa Rica,1992
 Finland,1982
 France,1980
 Iceland,2004
 Iraq,2003
 Israel,1994
,
 Nicaragua,?
 Romania,2008
 Serbia,1991
 Slovakia,2010
 Slovenia,2011
 Ukraine,2006
 U.S. Virgin Islands,1983
