0,1,2,3,4,5,6,7,8
Afghanistan,7,Somaya Faruqi,http://www.wikidata.org/entity/Q102271635,wd:Q102271635,67549518.0,Afghanistan robotics expert,"Somaya Faruqi (also spelled Farooqi) (born 2002) is an Afghan student and engineer, and the captain of the Afghan Girls Robotics Team, also known as the ""Afghan Dreamers."" She was named to the BBC's 100 Women in 2020 and was featured by UNICEF in 2020 as well as the UN Women Generation Equality campaign in 2021. During the COVID-19 pandemic in 2020, her team designed a prototype ventilator to help fight the coronavirus in Afghanistan.",https://en.wikipedia.org/wiki/Somaya_Faruqi
Albania,9,Lara Colturi,http://www.wikidata.org/entity/Q114350597,wd:Q114350597,71890695.0,Italian-born Albanian alpine skier,"Lara Colturi (born 15 November 2006) is an Italian-Albanian World Cup alpine skier competing from 2022 for Albania in technical and speed events, winner at senior level, of the 2022 FIS Alpine Ski South American Cup.",https://en.wikipedia.org/wiki/Lara_Colturi
Algeria,7,Loubna Benhadja,http://www.wikidata.org/entity/Q67798460,wd:Q67798460,68367591.0,Algerian athletics competitor,Loubna Benhadja (born 11 February 2001) is an Algerian athlete. She competed in the women's 400 metres hurdles event at the 2020 Summer Olympics.,https://en.wikipedia.org/wiki/Loubna_Benhadja
Andorra,12,Victoria Jiménez Kasintseva,http://www.wikidata.org/entity/Q67372349,wd:Q67372349,62993222.0,Andorran tennis player,"Victoria Jiménez Kasintseva (born 9 August 2005) is an Andorran tennis player. She won the 2020 Australian Open girls' singles title, defeating Weronika Baszak in the final. It was her junior Grand Slam debut, and she was the youngest player in the draw. She made her WTA Tour main-draw debut at the 2021 Madrid Open as a wildcard, also as the youngest and the first-ever player from Andorra to appear in a WTA tournament main draw, where she lost in the first round to Kiki Bertens. She recorded her first WTA main draw win at the 2022 Korea Open.
Jiménez Kasintseva has won nine singles titles on the ITF Junior Circuit, as well as one doubles title. She achieved a career-high ITF Junior ranking of No. 1, on 9 March 2020.
She began training with her father and coach in 2009, and admires fellow left-handers Rafael Nadal and Petra Kvitová.",https://en.wikipedia.org/wiki/Victoria_Jim%C3%A9nez_Kasintseva
Angola,4,Stélvia Pascoal,http://www.wikidata.org/entity/Q107315534,wd:Q107315534,69441584.0,Angolan handball player,Stelvia de Jesus Pascoal (born 20 October 2002) is an Angolan handball player. She plays left back for Atlético Petróleos de Luanda and the Angola women's handball team.,https://en.wikipedia.org/wiki/Stelvia_de_Jesus_Pascoal
Antigua and Barbuda,4,Joella Lloyd,http://www.wikidata.org/entity/Q107363821,wd:Q107363821,68070767.0,Antiguan athlete,"Joella Lloyd (born 12 April 2002) is an athlete from Antigua and Barbuda, who holds the national record in both the 100 metres and 200 metres sprint events.
From St. John's, Antigua and Barbuda where she attended Antigua Girls’ High School before going to study at the University of Tennessee.Lloyd produced a personal best of 23.39 in the 200 metres at the SEC Championships, placing 9th overall in February 2021. On 27 February 2021, Lloyd won the indoor 60 metres conference title at the SEC Championships, tying the all-time program record with a time of 7.15 seconds and recording the No. 1 mark in the world by any female athlete under 20 years old.Lloyd finished sixth at her NCAA indoor nationals debut on 13 March 2021, posting a time of 7.23 in the 60 metres.Lloyd set a new Antigua and Barbuda national record in the 100 meters in May 2021, running 11.19 for first place at the Tennessee Challenge in Knoxville. It was also the World U-20 leading time for 2021, beating the USA's Tionna Brown and her 11.29 run. She won the 100 m bronze and 200 m silver medal in the 2021 NACAC U20 Championships.Selected for the 100 metres in the delayed 2020 Summer Olympics Lloyd won her preliminary heat in 11.55 seconds, before running 11.54 in the first round finishing 7th in the heat.In May 2022, Lloyd added the national  200 metres record to her 100m record when she ran 23.09 at the SEC championships. Lloyd lowered this again at the NCAA championship semi-finals running 22.66 for the 200 metres. At the 2022 World Athletics Championships Lloyd qualified from the heats to the semi-finals, again running below 23 seconds.",https://en.wikipedia.org/wiki/Joella_Lloyd
Argentina,17,Chiara Sacchi,http://www.wikidata.org/entity/Q101517850,wd:Q101517850,65842154.0,Argentinian climate activist,Chiara Sacchi (born 2002) is an Argentinian climate activist from Buenos Aires.,https://en.wikipedia.org/wiki/Chiara_Sacchi
Armenia,19,Maléna,http://www.wikidata.org/entity/Q109609541,wd:Q109609541,69158229.0,Armenian singer,"Arpine Martoyan (Armenian: Արփինե Մարտոյան; born 10 January 2007), known professionally as Maléna (Armenian: Մալենա), is an Armenian singer and songwriter. She represented Armenia in the Junior Eurovision Song Contest 2021 with the song ""Qami Qami"", and went on to win the competition, becoming the second Armenian entrant to win the Junior Eurovision Song Contest.",https://en.wikipedia.org/wiki/Mal%C3%A9na_(singer)
Australia,29,Angourie Rice,http://www.wikidata.org/entity/Q24034671,wd:Q24034671,50452328.0,Australian actress,"Angourie Rice ( ann-GOW-ri; born 1 January 2001) is an Australian actress. She began her career as a child actress, coming to attention for her roles in These Final Hours and The Nice Guys. She is known for her portrayal of Betty Brant in the Marvel Cinematic Universe, appearing in Spider-Man: Homecoming (2017), Spider-Man: Far From Home (2019), and Spider-Man: No Way Home (2021).",https://en.wikipedia.org/wiki/Angourie_Rice
Austria,18,Pia Maria,http://www.wikidata.org/entity/Q110884054,wd:Q110884054,70113130.0,Austrian singer-songwriter,"Pia Maria Außerlechner (born 21 May 2003), who performs as Pia Maria, is an Austrian singer. She represented Austria at the Eurovision Song Contest 2022 alongside DJ Lumix.",https://en.wikipedia.org/wiki/Pia_Maria
