samplepainter,country,countryLabel,numsitelinks,painterlabel
http://www.wikidata.org/entity/Q586515,http://www.wikidata.org/entity/Q717,Venezuela,16,Mérida State Symphony Orchestra
http://www.wikidata.org/entity/Q273171,http://www.wikidata.org/entity/Q21,England,43,"Emerson, Lake & Palmer"
http://www.wikidata.org/entity/Q24083750,http://www.wikidata.org/entity/Q29520,China,2,Peking opera orchestra
http://www.wikidata.org/entity/Q4763324,http://www.wikidata.org/entity/Q424,Cambodia,1,Angkor National Youth Orchestra
http://www.wikidata.org/entity/Q4993067,http://www.wikidata.org/entity/Q19236425,Q19236425,7,Kungliga Hovkapellet
http://www.wikidata.org/entity/Q7334510,http://www.wikidata.org/entity/Q838261,Federal Republic of Yugoslavia,3,Rimtutituki
http://www.wikidata.org/entity/Q615289,http://www.wikidata.org/entity/Q902,Bangladesh,5,Miles
http://www.wikidata.org/entity/Q222978,http://www.wikidata.org/entity/Q184,Belarus,32,3+2
http://www.wikidata.org/entity/Q524495,http://www.wikidata.org/entity/Q4628,Faroe Islands,28,Týr
http://www.wikidata.org/entity/Q239074,http://www.wikidata.org/entity/Q155,Brazil,60,Sepultura
http://www.wikidata.org/entity/Q216463,http://www.wikidata.org/entity/Q211,Latvia,31,Musiqq
http://www.wikidata.org/entity/Q580517,http://www.wikidata.org/entity/Q21203,Aruba,5,Pete Philly and Perquisite
http://www.wikidata.org/entity/Q218132,http://www.wikidata.org/entity/Q192180,Latvian Soviet Socialist Republic,12,Zodiac
http://www.wikidata.org/entity/Q161245,http://www.wikidata.org/entity/Q29,Spain,38,Las Ketchup
http://www.wikidata.org/entity/Q539894,http://www.wikidata.org/entity/Q214,Slovakia,25,TWiiNS
http://www.wikidata.org/entity/Q137804,http://www.wikidata.org/entity/Q960,Tuva Republic,13,Yat-Kha
http://www.wikidata.org/entity/Q567632,http://www.wikidata.org/entity/Q228,Andorra,17,Anonymous
http://www.wikidata.org/entity/Q913361,http://www.wikidata.org/entity/Q36704,Yugoslavia,28,Hari Mata Hari
http://www.wikidata.org/entity/Q189410,http://www.wikidata.org/entity/Q43,Turkey,38,MaNga
http://www.wikidata.org/entity/Q4562,http://www.wikidata.org/entity/Q217,Moldova,40,O-Zone
http://www.wikidata.org/entity/Q51118,http://www.wikidata.org/entity/Q17,Japan,70,AKB48
http://www.wikidata.org/entity/Q16366,http://www.wikidata.org/entity/Q77,Uruguay,13,El Cuarteto de Nos
http://www.wikidata.org/entity/Q25177,http://www.wikidata.org/entity/Q183,Germany,88,Rammstein
http://www.wikidata.org/entity/Q23376,http://www.wikidata.org/entity/Q258,South Africa,43,Die Antwoord
http://www.wikidata.org/entity/Q18233,http://www.wikidata.org/entity/Q34,Sweden,156,ABBA
http://www.wikidata.org/entity/Q124791,http://www.wikidata.org/entity/Q965,Burkina Faso,7,Farafina
http://www.wikidata.org/entity/Q23471,http://www.wikidata.org/entity/Q33,Finland,144,Lordi
http://www.wikidata.org/entity/Q27417,http://www.wikidata.org/entity/Q713750,West Germany,72,Modern Talking
http://www.wikidata.org/entity/Q28963,http://www.wikidata.org/entity/Q25,Wales,34,Stereophonics
http://www.wikidata.org/entity/Q263471,http://www.wikidata.org/entity/Q1041,Senegal,17,Orchestra Baobab
http://www.wikidata.org/entity/Q272260,http://www.wikidata.org/entity/Q36,Poland,42,Behemoth
http://www.wikidata.org/entity/Q937917,http://www.wikidata.org/entity/Q1439,Texas,2,Lunchbox Avenue
http://www.wikidata.org/entity/Q638854,http://www.wikidata.org/entity/Q736,Ecuador,5,Kiruba
