Source.Name,river,riverLabel,country,countryLabel,length
query (2).csv,http://www.wikidata.org/entity/Q203409,Rioni,http://www.wikidata.org/entity/Q227,Azerbaijan,327
query (2).csv,http://www.wikidata.org/entity/Q203409,Rioni,http://www.wikidata.org/entity/Q399,Armenia,327
query (2).csv,http://www.wikidata.org/entity/Q4810870,Muzat River,http://www.wikidata.org/entity/Q148,People's Republic of China,80
query (2).csv,http://www.wikidata.org/entity/Q203409,Rioni,http://www.wikidata.org/entity/Q230,Georgia,327
query (2).csv,http://www.wikidata.org/entity/Q504388,Inguri River,http://www.wikidata.org/entity/Q227,Azerbaijan,213
query (2).csv,http://www.wikidata.org/entity/Q504388,Inguri River,http://www.wikidata.org/entity/Q230,Georgia,213
query (2).csv,http://www.wikidata.org/entity/Q504388,Inguri River,http://www.wikidata.org/entity/Q399,Armenia,213
query (2).csv,http://www.wikidata.org/entity/Q738408,Assa River,http://www.wikidata.org/entity/Q227,Azerbaijan,133
query (2).csv,http://www.wikidata.org/entity/Q738408,Assa River,http://www.wikidata.org/entity/Q230,Georgia,133
query (2).csv,http://www.wikidata.org/entity/Q738408,Assa River,http://www.wikidata.org/entity/Q399,Armenia,133
query (2).csv,http://www.wikidata.org/entity/Q225830,Tekes He,http://www.wikidata.org/entity/Q148,People's Republic of China,438
query (2).csv,http://www.wikidata.org/entity/Q624934,Kaidu River,http://www.wikidata.org/entity/Q148,People's Republic of China,497
query (2).csv,http://www.wikidata.org/entity/Q651195,Naryn River,http://www.wikidata.org/entity/Q148,People's Republic of China,807
query (2).csv,http://www.wikidata.org/entity/Q1548669,Great Bear River,http://www.wikidata.org/entity/Q16,Canada,113
query (2).csv,http://www.wikidata.org/entity/Q3411,Mackenzie River,http://www.wikidata.org/entity/Q16,Canada,1738
query (2).csv,http://www.wikidata.org/entity/Q612422,Anuy River,http://www.wikidata.org/entity/Q148,People's Republic of China,327
query (2).csv,http://www.wikidata.org/entity/Q128350,Lukuga River,http://www.wikidata.org/entity/Q967,Burundi,320
query (2).csv,http://www.wikidata.org/entity/Q128350,Lukuga River,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,320
query (2).csv,http://www.wikidata.org/entity/Q182343,Niagara River,http://www.wikidata.org/entity/Q16,Canada,56
