Unnamed: 0,0,1,2
153,Cape Verde,72.0,National Assembly
154,Trinidad & Tobago,41.0,Parliament of Trinidad and Tobago
155,Panama,71.0,Parliament of Panama
156,Hong Kong,70.0,Legislative Council of Hong Kong
157,Mauritius,70.0,National Assembly
158,Djibouti,65.0,National Assembly
159,Guyana,65.0,National Assembly
160,Kuwait,65.0,National Assembly
161,Malta,65.0,Parliament of Malta
162,Timor-Leste,65.0,National Parliament
163,Botswana,63.0,Parliament of Botswana
164,Iceland,63.0,Althing
165,Luxembourg,60.0,Chamber of Deputies
166,San Marino,60.0,Grand and General Council
167,Jersey,58.0,States Assembly
168,Bosnia and Herzegovina,42.0,Parliamentary Assembly of Bosnia and Herzegovina
169,Costa Rica,57.0,Legislative Assembly of Costa Rica
170,French Polynesia,57.0,Assembly of French Polynesia
171,São Tomé & Príncipe,55.0,National Assembly
172,Bahamas,38.0,Parliament of the Bahamas
173,New Caledonia,54.0,Congress of New Caledonia
174,Gambia,53.0,National  Assembly of the Gambia
175,Vanuatu,52.0,Parliament of Vanuatu
176,Barbados,30.0,Parliament of Barbados
177,Suriname,51.0,National Assembly
178,Fiji,50.0,Parliament of Fiji
179,Solomon Islands,50.0,National Parliament of Solomon Islands
180,Samoa,49.0,Legislative Assembly of Samoa
181,Bermuda,36.0,Parliament of Bermuda
182,Kiribati,46.0,House of Assembly
183,Guernsey,45.0,States of Guernsey
184,Qatar,45.0,Consultative Assembly of Qatar
186,Belize,31.0,Parliament of Belize
187,United Arab Emirates,40.0,Federal National Council
188,American Samoa,21.0,American Samoa Fono
189,Isle of Man,24.0,Tynwald
191,Antigua & Barbuda,17.0,Parliament of Antigua and Barbuda
192,Seychelles,34.0,National Assembly
195,Brunei,33.0,Legislative Council of Brunei
196,Comoros,33.0,Assembly of the Union of the Comoros
197,Faroe Islands,33.0,Løgting
198,Macao,33.0,Legislative Council of Macau
199,Marshall Islands,33.0,Legislature of the Marshall Islands
200,Dominica,32.0,House of Assembly of Dominica
201,Greenland,31.0,Inatsisartut
202,Northern Mariana Islands,20.0,Northern Mariana Islands Commonwealth Legislature
203,Andorra,28.0,General Council
204,Grenada,15.0,Parliament of Grenada
206,Tonga,26.0,Legislative Assembly of Tonga
207,Liechtenstein,25.0,Landtag of Liechtenstein
208,Palau,16.0,Palau National Congress
209,Cook Islands,24.0,Parliament of the Cook Islands
210,Monaco,24.0,National Council
213,Aruba,21.0,Parliament of Aruba
214,Cayman Islands,21.0,Parliament of the Cayman Islands
215,Curaçao,21.0,Parliament of Curaçao
217,Niue,20.0,Niue Assembly
218,Tokelau,20.0,General Fono
220,Nauru,19.0,Parliament of Nauru
224,Gibraltar,18.0,Gibraltar Parliament
226,British Virgin Islands,15.0,House of Assembly of the British Virgin Islands
227,Guam,15.0,Legislature of Guam
228,Sint Maarten,15.0,Parliament of Sint Maarten
229,Tuvalu,15.0,Parliament of Tuvalu
231,Micronesia,14.0,Congress of the Federated States of Micronesia
233,Anguilla,11.0,House of Assembly
234,Montserrat,11.0,Legislative Assembly of Montserrat
235,Falkland Islands,10.0,Legislative Assembly of the Falkland Islands
236,Pitcairn Islands,10.0,Island Council
237,Christmas Island,9.0,Shire of Christmas Island
238,Norfolk Island,9.0,Norfolk Island Legislative Assembly
239,Cocos (Keeling) Islands,7.0,Shire of Cocos
240,Vatican City,7.0,Pontifical Commission for Vatican City State
