Unnamed: 0,0,1,2
147,Suriname,474690.0,Chuckie
148,Lithuania,468214.0,Simonna
149,North Macedonia,407742.0,Cedi Osman
150,Madagascar,392000.0,Chilla
151,South Sudan,370975.0,Luol Deng
152,Zambia,359389.0,Hakainde Hichilema
153,Burkina Faso,299531.0,Roch Marc Christian Kaboré
154,Togo,250811.0,Emmanuel Adebayor
155,Guinea-Bissau,246932.0,Ansu Fati
156,Estonia,246667.0,Puppey
157,Maldives,236777.0,Mohamed Nasheed
158,Seychelles,217524.0,Huobi
159,Burundi,172945.0,Pierre Nkurunziza
160,Mozambique,170031.0,Lizha James
161,Niger,153863.0,Mahamadou Issoufou
162,Benin,149000.0,Office de Radiodiffusion et Télévision du Bénin
163,Angola,142366.0,Isabel dos Santos
164,Bahamas,136587.0,Buddy Hield
165,Malawi,125499.0,Zodiak Broadcasting Station
166,Tonga,123275.0,Alipate Fifita
167,Myanmar,119196.0,Firebase
168,Liberia,113275.0,George Weah
169,Fiji,113054.0,Fiji national rugby union team
170,Guinea,97735.0,Robert Sarah
171,Turkmenistan,95400.0,Natavan Habibi
172,Bhutan,93434.0,Tshering Tobgay
173,Lesotho,91700.0,Zambezi Magic
174,Cape Verde,87230.0,Garry Mendes Rodrigues
175,North Korea,85045.0,Jong Tae-se
176,Chad,76599.0,Idriss Déby
177,Gambia,75899.0,Mathias Jørgensen
178,Papua New Guinea,63000.0,Justin Wellington
179,Liechtenstein,49764.0,Tina Weirather
180,Palau,43890.0,"Embassy of Japan, Koror"
181,Cambodia,37683.0,Neko Hiroshi
182,Samoa,27075.0,Samoa Rugby Union
183,Djibouti,12100.0,Shay Lia
184,Laos,10671.0,Amantaka
185,Micronesia,10359.0,.fm
186,Central African Republic,9959.0,Patrick O'Bryant
187,Vanuatu,8545.0,Jocelino Suta
188,Brunei,7972.0,Radio Televisyen Brunei
189,Kiribati,7175.0,University of the South Pacific
190,Marshall Islands,7175.0,University of the South Pacific
191,Nauru,7175.0,University of the South Pacific
192,Solomon Islands,7175.0,University of the South Pacific
193,Tuvalu,7175.0,University of the South Pacific
194,Comoros,7158.0,Chaker Alhadhur
195,Timor-Leste,1996.0,Fidelis Leite Magalhães
