0,1,2
-,-1,-
France,211,Francois Hollande
South Africa,143,Elon Musk
Algeria,130,Zinedine Zidane
Liberia,105,Ellen Johnson Sirleaf
Egypt,99,Abdel Fattah el-Sisi
Mauritius,97,Jean-Marie Gustave Le Clezio
Nigeria,96,Wole Soyinka
Morocco,93,Mohammed VI
Gabon,88,Samuel L. Jackson
Sudan,88,Omar al-Bashir
Ethiopia,86,Abiy Ahmed Ali
Rwanda,82,Paul Kagame
Cameroon,81,Samuel Eto'o
Ivory Coast,80,Didier Drogba
Uganda,80,Yoweri Museveni
Senegal,78,Akon
Eswatini,77,Mswati III
Angola,76,Jose Eduardo dos Santos
Democratic Republic of the Congo,75,Joseph Kabila
Republic of the Congo,74,Denis Sassou-Nguesso
Equatorial Guinea,73,Teodoro Obiang
Eritrea,68,Isaias Afwerki
Zimbabwe,67,Emmerson Mnangagwa
Lesotho,67,Letsie III of Lesotho
Gambia,65,Yahya Jammeh
South Sudan,65,Salva Kiir Mayardit
Sierra Leone,65,Idris Elba
Kenya,63,Lupita Nyong'o
Ghana,63,John Mahama
Guinea,62,Alpha Conde
Tanzania,61,Abdulrazak Gurnah
Togo,61,Faure Essozimna Gnassingbe Eyadema
Benin,60,Thomas Boni Yayi
Burkina Faso,60,Blaise Compaore
Malawi,60,Joyce Banda
Central African Republic,56,Faustin-Archange Touadera
Djibouti,55,Ismail Omar Guelleh
Mauritania,53,Mohamed Ould Abdel Aziz
Mozambique,53,Joaquim Chissano
Cape Verde,51,Jorge Carlos Fonseca
Niger,51,Mahamadou Issoufou
Somalia,51,Mohamed Abdullahi Farmajo
United States,313,Barack Obama
Indonesia,147,Agnez Mo
Australia,129,Julian Assange
New Zealand,117,Russell Crowe
Tonga,54,Tupou VI of Tonga
Antigua & Barbuda,34,Winston Baldwin Spencer
Botswana,49,Mokgweetsi Masisi
Comoros,40,Azali Assoumani
Fiji,42,Frank Bainimarama
Grenada,36,Kirani James
Guyana,38,Bharrat Jagdeo
Kiribati,40,Anote Tong
Laos,48,Choummaly Sayasone
Madagascar,49,Andry Rajoelina
Namibia,49,Sam Nujoma
Nicaragua,90,Daniel Ortega
Papua New Guinea,38,Michael Somare
Samoa,40,Tuila'epa Sa'ilele Malielegaoi
Sao Tome & Principe,37,Manuel Pinto da Costa
Canada,160,Justin Bieber
Barbados,136,Rihanna
Jamaica,130,Usain Bolt
Mexico,115,Lila Downs
Cuba,110,Raul Castro
Netherlands,98,Beatrix of the Netherlands
Trinidad & Tobago,96,Nicki Minaj
Guatemala,83,Rigoberta Menchu
Costa Rica,70,Oscar Arias Sanchez
Saint Kitts and Nevis,70,Armen Sarkissian
Dominica,69,Zoe Saldana
Honduras,60,Carlos Mencia
El Salvador,60,Jamie Vardy
Belize,54,Simone Biles
Panama,52,Jordana Brewster
Argentina,201,Francis
Ecuador,169,Guillermo Lasso
Brazil,146,Pele
Colombia,130,Shakira
Peru,114,Mario Vargas Llosa
Bolivia,113,Evo Morales
Chile,111,Michelle Bachelet
Venezuela,107,Nicolas Maduro
Uruguay,101,Luis Suarez
Paraguay,65,Horacio Cartes
Suriname,58,Desi Bouterse
Bahamas,32,Perry Christie
Burundi,31,OEvariste Ndayishimiye
Chad,32,Mahamat Deby Itno
Guinea-Bissau,50,Ansu Fati
Haiti,46,Wyclef Jean
Kuwait,44,Nawaf Al-Ahmad Al-Jaber Al-Sabah
Libya,47,Saif al-Islam al-Gaddafi
Mali,48,Seydou Keita
Tunisia,50,Moncef Marzouki
Zambia,50,Moncef Marzouki
Russia,264,Vladimir Putin
Japan,190,Naruhito
Turkey,160,Recep Tayyip ErdoOan
China,158,His Holiness the Dalai Lama 14 Tendzin Gyatso
Cambodia,154,Angelina Jolie
North Korea,152,Kim Jong-un
India,150,Narendra Modi
Myanmar,149,Aung San Suu Kyi
South Korea,143,Ban Ki-moon
Iran,138,Mahmoud Ahmadinejad
Israel,136,Benjamin Netanyahu
Pakistan,129,Malala Yousafzai
Syria,128,Bashar al-Assad
Azerbaijan,114,Ilham Aliyev
Singapore,113,Jet Li
Lebanon,110,Keanu Reeves
Afghanistan,105,Hamid Karzai
