Unnamed: 0,0,1,2
0,Portugal,401000000.0,Cristiano Ronaldo
1,United States,288000000.0,Ariana Grande
2,India,177000000.0,Virat Kohli
3,Trinidad & Tobago,168000000.0,Nicki Minaj
4,Brazil,167000000.0,Neymar
5,Senegal,124600000.0,Khaby Lame
6,Barbados,116000000.0,Rihanna
7,Canada,114264755.0,Justin Bieber
8,Sweden,110000000.0,PewDiePie
9,Colombia,109548855.0,Shakira
10,United Kingdom,77000000.0,Dua Lipa
11,Thailand,71000000.0,Lisa
12,Turkey,55300000.0,CZN Burak
13,South Korea,51600000.0,Rosé
14,New Zealand,51600000.0,Rosé
15,South Africa,50430902.0,Elon Musk
16,Spain,50000000.0,Ronaldinho
17,Mexico,47000000.0,Dominik Lipa
18,Germany,44000000.0,Younes Zarou
19,Ireland,40910748.0,Niall Horan
20,Japan,40400000.0,Jun'ya
21,Kazakhstan,36100000.0,Alina Kim
22,Russia,34300000.0,Kirya Kolesnikov
23,Belarus,32300000.0,Vlad Bumaga
24,Indonesia,27600000.0,Atta Halilintar
25,Philippines,21700000.0,Raffy Tulfo
26,France,20713291.0,David Guetta
27,Australia,19800000.0,Sia
28,Saudi Arabia,19788601.0,Aaidh ibn Abdullah al-Qarni
29,China,19397905.0,His Holiness the Dalai Lama 14 Tendzin Gyatso
30,Italy,18000000.0,Michele Maganza
31,Greece,16680670.0,Tom Hanks
32,Uruguay,16638945.0,Luis Suárez
33,Moldova,16100000.0,Marmok
34,Norway,15881703.0,El Rubius
35,Bahrain,15559091.0,Jacqueline Fernandez
36,Sri Lanka,15559091.0,Jacqueline Fernandez
37,Lebanon,15260472.0,Elissa
38,Argentina,14698124.0,Sergio Agüero
39,Kuwait,14615539.0,Mishary Rashid Al-Afasy
40,Venezuela,14400000.0,Marialejandra Marrero
41,Egypt,13747728.0,Mohamed Salah
42,Pakistan,13117509.0,Imran Khan
43,Switzerland,12724141.0,Roger Federer
44,Cuba,12189731.0,Camila Cabello
45,Chile,11723484.0,Germán Garmendia
46,Gabon,11381218.0,Ludacris
47,United Arab Emirates,10800000.0,Mohamed Beiraghdary
48,Guatemala,10505440.0,Ricardo Arjona
49,Jordan,10447906.0,Queen Rania of Jordan
50,Vietnam,9430000.0,Sơn Tùng M-TP
51,Serbia,8786350.0,Novak Djokovic
52,Nigeria,8674748.0,Davido
53,Algeria,8050000.0,Soolking
54,Morocco,7775170.0,Gad Elmaleh
55,Dominican Republic,7680446.0,Juan Luis Guerra
56,Iraq,7453395.0,Kadim Al Sahir
57,Qatar,7453395.0,Kadim Al Sahir
58,Croatia,7225581.0,Lorde
59,Belgium,7172160.0,Eden Hazard
60,Bulgaria,7158072.0,Nina Dobrev
61,Zimbabwe,7087393.0,Ismail ibn Musa Menk
62,Romania,6770000.0,Inna
63,Ukraine,6585823.0,Russell Westbrook
64,Taiwan,6295322.0,Mark Yi En Tuan
65,Yemen,6158755.0,Habib Ali al-Jufri
66,Tunisia,5863279.0,Hend Sabry
67,El Salvador,5819997.0,Fernanfloo
68,Malaysia,5695734.0,Laudya Cynthia Bella
69,Slovakia,5638019.0,David Dobrik
70,Syria,5611623.0,Faisal al-Qassem
71,Tanzania,5300000.0,Jux
72,Austria,4927564.0,Arnold Schwarzenegger
73,Jamaica,4921824.0,Usain Bolt
74,Poland,4500000.0,Friz
75,Bangladesh,4196112.0,Rola
76,Peru,3833731.0,Gian Marco
77,Haiti,3780789.0,Wyclef Jean
78,Ecuador,3743752.0,Rafael Correa Delgado
79,Kenya,3655304.0,William Ruto
80,Palestinian Territories,3202013.0,Mohammed Assaf
81,Panama,3147582.0,Miguel Bosé
82,Israel,3080000.0,Nuseir Yassin
83,Iran,3060000.0,Patrick Bet-David
84,Democratic Republic of the Congo,2983253.0,Gims
85,Sierra Leone,2979956.0,Idris Elba
86,Denmark,2974452.0,Caroline Wozniacki
87,Costa Rica,2895190.0,Keylor Navas
88,Ghana,2700585.0,Shatta Wale
89,Latvia,2506731.0,Mikhail Zadornov
90,Uganda,2494788.0,Yoweri Museveni
91,Finland,2360390.0,Nico Rosberg
92,Rwanda,2241844.0,Paul Kagame
93,Côte d’Ivoire,2154742.0,Didier Drogba
94,Eswatini,2089685.0,Amanda du-Pont
95,Somalia,1840000.0,Chunkz
96,Czech Republic,1811952.0,Petr āEEech
97,Cameroon,1811548.0,Joel Embiid
98,Equatorial Guinea,1790000.0,Vicente Ndongo
100,Armenia,1718804.0,Dan Bilzerian
101,Georgia,1658920.0,Tina Kandelaki
102,Albania,1603207.0,Eliza Dushku
104,Bosnia and Herzegovina,1510304.0,Edin Džeko
105,Nepal,1400878.0,Baburam Bhattarai
106,Ethiopia,1386913.0,Tedros Adhanom Ghebreyesus
108,Malta,1332176.0,Grandayy
109,Azerbaijan,1300000.0,Nahide Babashli
110,Hungary,1197766.0,Barbara Palvin
111,Bolivia,1185441.0,Evo Morales
112,Slovenia,1138218.0,Luka DonāEiāE
113,Belize,1129241.0,Simone Biles
114,Singapore,1080111.0,JJ Lin
115,Mali,1028245.0,Aya Nakamura
116,Botswana,1015012.0,Connie Ferguson
117,Oman,983641.0,Ali Al-Habsi
118,Republic of the Congo,932769.0,Jo-Wilfried Tsonga
119,Uzbekistan,929000.0,Yulduz Usmonova
120,Paraguay,905875.0,Larissa Riquelme
121,Monaco,847019.0,Charles Leclerc
122,Nicaragua,830244.0,Luis Enrique
123,Afghanistan,804492.0,Abdullah Abdullah
124,Montenegro,799921.0,Thaksin Shinawatra
125,Iceland,778711.0,Björk
126,Kyrgyzstan,744454.0,Valentina Shevchenko
127,Luxembourg,728239.0,Jean-Claude Juncker
128,Mauritania,650846.0,Muhammad al-Mukhtar al-Shinqiti
129,Mauritius,609096.0,Robin Sharma
130,Cyprus,600000.0,Diam's
131,Eritrea,587632.0,Tiffany Haddish
132,Namibia,482071.0,Behati Prinsloo
133,Suriname,474690.0,Chuckie
134,Lithuania,468214.0,Simonna
135,Honduras,433664.0,Juan Orlando Hernández Alvarado
136,North Macedonia,407742.0,Cedi Osman
137,Madagascar,392000.0,Chilla
138,South Sudan,370975.0,Luol Deng
139,Zambia,359389.0,Hakainde Hichilema
140,Tajikistan,351000.0,Shon MC
141,Guyana,330503.0,Ezekiel Jackson
142,Mongolia,311001.0,Khaltmaagiin Battulga
143,Burkina Faso,299531.0,Roch Marc Christian Kaboré
144,Togo,250811.0,Emmanuel Adebayor
145,Guinea-Bissau,246932.0,Ansu Fati
146,Estonia,246667.0,Puppey
147,Maldives,236777.0,Mohamed Nasheed
148,Libya,212000.0,Hamid El Shaeri
149,Sudan,181161.0,Rached Ghannouchi
150,Burundi,172945.0,Pierre Nkurunziza
151,Mozambique,170031.0,Lizha James
152,Niger,153863.0,Mahamadou Issoufou
153,Angola,142366.0,Isabel dos Santos
154,Bahamas,136587.0,Buddy Hield
155,Tonga,123275.0,Alipate Fifita
156,Liberia,113275.0,George Weah
157,Myanmar,108666.0,Kyaw Htet Aung
158,Guinea,97735.0,Robert Sarah
159,Turkmenistan,95400.0,Natavan Habibi
160,Bhutan,93434.0,Tshering Tobgay
161,Cape Verde,87230.0,Garry Mendes Rodrigues
162,North Korea,85045.0,Jong Tae-se
163,Chad,76599.0,Idriss Déby
164,Gambia,75899.0,Mathias Jørgensen
165,Andorra,72123.0,Corina Randazzo
166,Benin,70786.0,Angélique Kidjo
167,Netherlands,70476.0,Dion Timmer
168,Antigua & Barbuda,63044.0,Dexter Blackstock
169,Papua New Guinea,63000.0,Justin Wellington
170,Fiji,57500.0,Joe Rokocoko
171,Liechtenstein,49764.0,Tina Weirather
172,Cambodia,37683.0,Neko Hiroshi
174,Dominica,25903.0,His Holiness the 17th Gyalwang Karmapa Orgyen Trinley Dorje
175,Seychelles,24955.0,Michael Mancienne
176,Grenada,15282.0,Kellyn Acosta
177,Djibouti,12100.0,Shay Lia
178,Malawi,12017.0,Joyce Banda
179,Central African Republic,9959.0,Patrick O'Bryant
180,Samoa,9098.0,Logovi'i Mulipola
181,Vanuatu,8545.0,Jocelino Suta
182,Comoros,7158.0,Chaker Alhadhur
183,San Marino,5514.0,Serhat
184,Vatican City,4384.0,Michael Czerny
185,Timor-Leste,1996.0,Fidelis Leite Magalhães
186,Laos,1565.0,Mattie Do
