Unnamed: 0,0,1,2
0,Vatican City,313.0,Vatican City
1,Russia,162.0,Lake Baikal
2,India,162.0,Taj Mahal
3,Malta,161.0,Valletta
4,Australia,141.0,Great Barrier Reef
5,United States,134.0,Statue of Liberty
6,Spain,129.0,Córdoba
7,Turkey,123.0,Hagia Sophia
8,Greece,122.0,Parthenon
9,United Kingdom,122.0,Stonehenge
10,Vietnam,120.0,Phong Nha-Ke Bang National Park
11,Ecuador,120.0,Galapagos Islands
12,Italy,114.0,Mount Etna
13,Zimbabwe,99.0,Victoria Falls
14,Zambia,99.0,Victoria Falls
15,Palestinian Territories,91.0,Al-Aqsa Mosque
16,France,91.0,Palace of Versailles
17,Pakistan,89.0,Mohenjo-daro
18,Namibia,83.0,Namib
19,Germany,78.0,Cologne Cathedral
20,Mexico,73.0,Teotihuacan
21,Tunisia,70.0,Kairouan
22,Syria,70.0,Umayyad Mosque
23,Croatia,69.0,Plitvice Lakes National Park
24,Nepal,67.0,Lumbini
25,Democratic Republic of the Congo,66.0,Virunga National Park
26,Myanmar,66.0,Bagan
27,Japan,65.0,Hiroshima Peace Memorial
28,Indonesia,65.0,Prambanan
29,China,64.0,Temple of Heaven
30,South Africa,63.0,Robben Island
31,Tanzania,63.0,Serengeti National Park
32,Lithuania,62.0,Curonian Spit
33,Botswana,61.0,Okavango Delta
34,Peru,61.0,Nazca Lines
35,Iceland,60.0,Þingvellir
36,Bolivia,60.0,Pantanal
37,Brazil,60.0,Pantanal
38,Romania,60.0,Danube Delta
39,Iran,60.0,Pasargadae
40,Marshall Islands,58.0,Bikini Atoll
41,Algeria,58.0,Tassili n'Ajjer
42,Ukraine,58.0,Struve Geodetic Arc
43,Sweden,58.0,Struve Geodetic Arc
44,Moldova,58.0,Struve Geodetic Arc
45,Latvia,58.0,Struve Geodetic Arc
46,Norway,58.0,Struve Geodetic Arc
47,Estonia,58.0,Struve Geodetic Arc
48,Belarus,58.0,Struve Geodetic Arc
49,Finland,58.0,Struve Geodetic Arc
50,Poland,58.0,Białowieża Forest
51,Hungary,57.0,Neusiedl Lake
52,Austria,57.0,Neusiedl Lake
53,Argentina,56.0,Valdes Peninsula
54,Sri Lanka,56.0,Sigiriya
55,Bulgaria,55.0,Nesebar
56,Saudi Arabia,55.0,Hegra
57,Denmark,54.0,Kronborg Castle
58,Netherlands,54.0,Beemster
59,Jordan,54.0,Wadi Rum
60,Senegal,52.0,Gorée
61,Côte d’Ivoire,52.0,Comoé National Park
62,Belgium,51.0,Grand Place
63,Egypt,51.0,Abu Mena
64,Slovenia,51.0,Idrija
65,Honduras,50.0,Copán
66,Bangladesh,50.0,Somapura Mahavihara
67,Canada,49.0,L'Anse aux Meadows
68,Bosnia and Herzegovina,49.0,Mehmed Paša Sokolović Bridge
69,Venezuela,49.0,Canaima National Park
70,Portugal,48.0,Jerónimos Monastery
71,Ireland,47.0,Skellig Michael
72,Ethiopia,47.0,Omo River
73,Azerbaijan,47.0,Gobustan National Park
74,Switzerland,47.0,prehistoric pile dwellings around the Alps
75,Georgia,47.0,Bagrati Cathedral
76,Libya,46.0,Acacus Mountains
77,Uganda,46.0,Kasubi Tombs
78,Slovakia,46.0,Vlkolínec
79,Czech Republic,46.0,Villa Tugendhat
80,Cape Verde,46.0,Cidade Velha
81,Philippines,46.0,Puerto Princesa Subterranean River National Park
82,Colombia,46.0,Inca road system
83,Chile,46.0,Inca road system
84,South Korea,45.0,Changdeokgung
85,Mali,45.0,Tomb of Askia
86,Central African Republic,44.0,Manovo-Gounda St. Floris National Park
87,Mauritania,44.0,Banc d'Arguin National Park
88,Belize,44.0,Belize Barrier Reef
89,Kenya,43.0,Fort Jesus
90,Cyprus,43.0,Khirokitia
91,Malaysia,43.0,Kinabalu Park
92,Micronesia,43.0,Nan Madol
93,Cambodia,43.0,Preah Vihear Temple
94,Lebanon,43.0,Anjar
95,North Macedonia,42.0,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe
96,Albania,42.0,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe
97,New Zealand,42.0,Tongariro National Park
98,Seychelles,42.0,Aldabra
99,Guatemala,42.0,Quiriguá
100,Madagascar,42.0,Tsingy de Bemaraha Strict Nature Reserve
101,Kazakhstan,42.0,Mausoleum of Khoja Ahmed Yasawi
102,Bahrain,41.0,Qal’at al Bahrain
103,Uzbekistan,40.0,Itchan Kala
104,Laos,39.0,Plain of Jars
105,Guinea,39.0,Mount Nimba Strict Nature Reserve
106,El Salvador,39.0,Joya de Cerén
107,Serbia,38.0,Studenica monastery
108,Mongolia,38.0,Burkhan Khaldun
109,Cuba,38.0,Alexander von Humboldt National Park
110,Andorra,37.0,Madriu-Perafita-Claror Valley
111,Kyrgyzstan,37.0,Sulaiman-Too
112,Cameroon,37.0,Dja Faunal Reserve
113,Singapore,37.0,Singapore Botanic Gardens
114,Thailand,36.0,Ban Chiang
115,Benin,36.0,Royal Palaces of Abomey
116,North Korea,35.0,Goguryeo tombs
117,Oman,35.0,Bahla Fort
118,Togo,34.0,Koutammakou
119,Tajikistan,34.0,Pamir National Park
120,Israel,33.0,White City
121,Dominica,33.0,Morne Trois Pitons National Park
122,Panama,33.0,Darién National Park
123,Malawi,32.0,Lake Malawi National Park
124,Nigeria,32.0,Sukur
125,Mauritius,32.0,Aapravasi Ghat
127,Republic of the Congo,31.0,Sangha Trinational
128,Chad,30.0,Lakes of Ounianga
129,Suriname,29.0,Central Suriname Nature Reserve
130,Iraq,29.0,Citadel of Erbil
132,Solomon Islands,29.0,East Rennell
133,Haiti,28.0,Citadelle Laferrière
134,Ghana,27.0,"Forts and Castles, Volta, Greater Accra, Central and Western Regions"
135,Niger,27.0,Aïr and Ténéré National Nature Reserve
136,Papua New Guinea,27.0,Kuk Swamp
137,Nicaragua,27.0,León Cathedral
138,Yemen,24.0,Socotra Archipelago
139,Montenegro,24.0,The Venetian Works of defence between 15th and 17th centuries
140,Costa Rica,22.0,Area de Conservación Guanacaste World Heritage Site
141,Antigua & Barbuda,20.0,Nelson's Dockyard
142,Gabon,18.0,Ivindo National Park
143,Burkina Faso,17.0,Ruins of Loropéni
144,Dominican Republic,17.0,Colonial City of Santo Domingo
145,Kiribati,15.0,Phoenix Islands Protected Area
146,Lesotho,15.0,Maloti-Drakensberg Park
147,Morocco,13.0,Medina of Fez
148,Uruguay,12.0,"Cristo Obrero y Nuestra Señora de Lourdes, Estación Atlántida"
149,Barbados,10.0,Garrison Historic Area
150,Vanuatu,9.0,Chief Roi Mata’s Domain
151,Paraguay,6.0,Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangüé
