Unnamed: 0,0,1,2
0,Afghanistan,47.0,2021 Taliban offensive
1,Albania,30.0,2019 Albania earthquake
2,Algeria,23.0,2018 Algerian Air Force Il-76 crash
3,Andorra,10.0,2005 Games of the Small States of Europe
4,Angola,14.0,Togo national football team attack
5,Antigua & Barbuda,8.0,2018 Antiguan general election
6,Argentina,28.0,Villa Castelli helicopter collision
7,Armenia,41.0,Junior Eurovision Song Contest 2011
8,Australia,72.0,Malaysia Airlines Flight 370
9,Austria,65.0,Eurovision Song Contest 2015
10,Azerbaijan,39.0,2011 Van earthquake
11,Bahamas,23.0,Miss Universe 2009
12,Bahrain,34.0,2006 Bahrain Grand Prix
13,Bangladesh,73.0,2004 Indian Ocean earthquake
14,Barbados,9.0,2018 Barbadian general election
15,Belarus,40.0,Junior Eurovision Song Contest 2010
16,Belgium,77.0,2016 Brussels bombings
17,Belize,18.0,2005 Belize unrest
18,Benin,12.0,UTAGE Flight 141
19,Bhutan,17.0,2011 Sikkim earthquake
20,Bolivia,35.0,2019 Amazon rainforest wildfires
21,Bosnia and Herzegovina,12.0,2018 Bosnian general election
22,Botswana,10.0,2009 Botswana general election
23,Brazil,54.0,2016 Summer Olympics medal table
24,Brunei,72.0,Malaysia Airlines Flight 370
25,Bulgaria,39.0,2016 Russian Defence Ministry Tupolev Tu-154 crash
26,Burkina Faso,22.0,2022 Burkina Faso coup d'etat
27,Burundi,10.0,2010 Burundian presidential election
28,Cape Verde,11.0,2021 Cape Verdean presidential election
29,Cambodia,72.0,Malaysia Airlines Flight 370
30,Cameroon,21.0,Kenya Airways Flight 507
31,Canada,44.0,Anti-Counterfeiting Trade Agreement
32,Central African Republic,9.0,2020 Central African general election
33,Chad,9.0,Operation Enduring Freedom ・・ Trans Sahara
34,Chile,54.0,2010 Chile earthquake
35,China,72.0,Malaysia Airlines Flight 370
36,Colombia,40.0,LaMia Flight 2933
37,Comoros,73.0,2004 Indian Ocean earthquake
38,Democratic Republic of the Congo,20.0,2018・・2020 Kivu Ebola epidemic
39,Republic of the Congo,17.0,2015 All-Africa Games
40,Costa Rica,24.0,Estadio Nacional de Costa Rica
41,Côte d’Ivoire,15.0,2016 Grand-Bassam shootings
42,Croatia,46.0,2021 European floods
43,Cuba,37.0,Deepwater Horizon oil spill
44,Cyprus,38.0,Junior Eurovision Song Contest 2008
45,Czech Republic,24.0,2017 Czech legislative election
46,Denmark,49.0,Eurovision Song Contest 2001
47,Djibouti,22.0,Operation Atalanta
48,Dominica,8.0,2019 Dominican general election
49,Dominican Republic,9.0,2016 Dominican Republic general election
50,Ecuador,35.0,2016 Ecuador earthquake
51,Egypt,56.0,Metrojet Flight 9268
52,El Salvador,12.0,2009 Salvadoran presidential election
53,Equatorial Guinea,17.0,2021 Bata bombings
54,Eritrea,12.0,Operation Enduring Freedom ・・ Horn of Africa
