Unnamed: 0,0,1,2
0,Afghanistan,19,Battle of Maiwand
1,Albania,65,Battle of Actium
2,Algeria,14,Bombardment of Algiers (1816)
3,Andorra,39,Battle of Guadalete
4,Angola,6,Naulila battle
5,Antigua & Barbuda,1,Action of 10 February 1809
6,Argentina,38,Battle of the Falkland Islands
7,Armenia,22,Treaty of Alexandropol
8,Australia,20,Eureka Rebellion
9,Austria,63,Battle of Vienna
10,Azerbaijan,20,Shusha pogrom
11,Bahrain,4,1717 Omani invasion of Bahrain
12,Bangladesh,9,Chittagong armoury raid
13,Barbados,3,Bussa's rebellion
14,Belarus,67,Treaty of Brest-Litovsk
15,Belgium,88,Battle of Waterloo
16,Belize,5,Battle of St. George's Caye
17,Benin,8,Battle of Guinea
18,Bhutan,7,Battle of Five Lamas
19,Bolivia,17,Treaty of Petropolis
20,Bosnia and Herzegovina,62,assassination of Archduke Franz Ferdinand
21,Brazil,13,1828 Treaty of Montevideo
22,Bulgaria,43,Treaty of Kuecuek Kaynarca
23,Cambodia,4,Cambodian Rebellion
24,Cameroon,9,Battle of Kousseri
25,Canada,38,Halifax explosion
26,Cape Verde,8,Battle of Porto Praya
27,Central African Republic,2,Fort-Crampel affair
28,Chad,3,Cobcob Massacre
29,Chile,21,Battle of Maipu
30,Colombia,23,Battle of Boyaca
31,Comoros,2,Johanna Expedition
32,Costa Rica,5,El Virilla train accident
33,Ivory Coast,8,Battle of Guinea
34,Croatia,32,Battle of Lissa
35,Cuba,13,Battle of Santiago de Cuba
36,Cyprus,14,Cyprus Convention
37,Czech Republic,70,Battle of Austerlitz
38,Denmark,53,Battle of Jutland
39,Djibouti,1,Bimcl Revolt
40,Dominica,6,Invasion of Dominica
41,Dominican Republic,5,Battle of the Mona Passage
42,Ecuador,15,Battle of Pichincha h
43,Egypt,43,Battle of the Nile
44,El Salvador,5,Battle of Chalchuapa
45,Equatorial Guinea,8,Battle of Guinea
46,Eritrea,12,Battle of Dogali
47,Estonia,43,Battle of the Ice
48,Ethiopia,43,Battle of Adwa
49,Fiji,3,First Fiji Expedition
50,Finland,47,Treaty of Nystad
51,France,119,Treaty of Versailles
52,Gabon,8,Battle of Guinea
53,Georgia,25,Battle of Didgori
54,Germany,74,Peace of Westphalia
55,Ghana,8,Battle of Guinea
56,Greece,76,Battle of Thermopylae
57,Grenada,9,Battle of Grenada
58,Guatemala,6,1902 Guatemala earthquake
59,Guinea,3,Battle of Poredaka
60,Haiti,10,Battle of Vertieres
61,Honduras,5,Battle of La Arada
62,Hungary,65,Battle of Mohacs
63,Iceland,11,Slaying of the Spaniards
64,India,54,Jallianwala Bagh massacre
65,Indonesia,15,Mongol invasion of Java
66,Iran,38,Battle of Chaldiran
67,Iraq,59,Battle of Gaugamela
68,Israel,55,Battle of Hattin
69,Italy,65,Battle of Actium
70,Jamaica,11,Morant Bay rebellion
71,Japan,50,Battle of Tsushima
72,Jordan,31,Battle of Mu'tah
73,Kazakhstan,11,Battle of Jaxartes
74,Kenya,4,Battle of Kanjaga
75,Kiribati,7,Fanning Raid
77,Kuwait,15,Battle of Chains
78,Kyrgyzstan,8,Kirghiz rebellion
79,Latvia,39,Peace of Riga (1921)
80,Lebanon,17,Battle of Marj Ayyun
81,Lesotho,1,Battle of Berea
82,Liberia,8,Battle of Guinea
83,Libya,13,Pacification of Libya
84,Liechtenstein,15,Crossing of the Rhine
85,Lithuania,30,Battle of Saule
86,Luxembourg,19,Battle of the Ardennes
87,Madagascar,4,Battle of Tamatave
88,Malawi,1,Blantyre Raid
89,Malaysia,12,Battle of Penang
90,Mali,10,Battle of Kirina
91,Malta,11,Invasion of Gozo
92,Marshall Islands,7,Battle of Kili
93,Mauritania,5,Battle of Tabfarilla
94,Mauritius,2,Action of 22 October 1794
95,Mexico,41,Treaty of Guadalupe Hidalgo
96,Moldova,24,Treaty of the Pruth
97,Monaco,16,Battle of Meloria
98,Mongolia,31,Treaty of friendship and alliance between the Government of Mongolia and Tibet
99,Montenegro,32,Battle of Lissa
100,Morocco,41,Agadir Crisis
101,Mozambique,9,Battle of Ngomano
102,Myanmar,15,Treaty of Yandabo
103,Namibia,11,Battle of Waterberg
104,Nepal,8,1922 British Mount Everest Expedition
105,Netherlands,53,Battle of Jutland
106,New Zealand,11,Hatepe eruption
107,Nicaragua,7,1931 Nicaragua earthquake
108,Nigeria,9,Aba Women's Riots
109,North Korea,22,Battle of the Yellow Sea
110,North Macedonia,29,Battle of Kleidion
111,Norway,53,Battle of Jutland
112,Oman,7,Capture of Muscat
113,Pakistan,47,Battle of the Hydaspes
114,Panama,12,Separation of Panama from Colombia
115,Papua New Guinea,9,Battle of Bita Paka
116,Paraguay,14,Battle of Curupaity
117,China,54,1556 Shaanxi earthquake
118,Peru,30,Battle of Ayacucho
