scientist,scientistLabel,sitelinks,countryLabel,deathdate
http://www.wikidata.org/entity/Q5809,Che Guevara,207,Argentina,1967-10-09T00:00:00Z
http://www.wikidata.org/entity/Q450675,Francis,201,Argentina,
http://www.wikidata.org/entity/Q5878,Gabriel Garcﾃｭa Mﾃ｡rquez,184,Colombia,2014-04-17T00:00:00Z
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,175,Argentina,1986-06-14T00:00:00Z
http://www.wikidata.org/entity/Q8440,Hugo Chﾃ｡vez,175,Venezuela,2013-03-05T00:00:00Z
http://www.wikidata.org/entity/Q4414537,Guillermo Lasso,169,Ecuador,
http://www.wikidata.org/entity/Q615,Lionel Messi,167,Argentina,
http://www.wikidata.org/entity/Q19581,Rafael Correa Delgado,167,Ecuador,
http://www.wikidata.org/entity/Q17515,Diego Maradona,159,Argentina,2020-11-25T00:00:00Z
http://www.wikidata.org/entity/Q8605,Simﾃｳn Bolﾃｭvar,157,Venezuela,1830-12-17T00:00:00Z
http://www.wikidata.org/entity/Q8605,Simﾃｳn Bolﾃｭvar,157,Ecuador,1830-12-17T00:00:00Z
http://www.wikidata.org/entity/Q8605,Simﾃｳn Bolﾃｭvar,157,Bolivia,1830-12-17T00:00:00Z
http://www.wikidata.org/entity/Q6105,Hebe Camargo,153,Brazil,2012-09-29T00:00:00Z
http://www.wikidata.org/entity/Q34189,Pablo Neruda,151,Chile,1973-09-23T00:00:00Z
http://www.wikidata.org/entity/Q12897,Pelﾃｩ,146,Brazil,
http://www.wikidata.org/entity/Q10304982,Jair Bolsonaro,132,Brazil,
http://www.wikidata.org/entity/Q34424,Shakira,130,Colombia,
http://www.wikidata.org/entity/Q12881,Paulo Coelho,127,Brazil,
http://www.wikidata.org/entity/Q40722,Dilma Rousseff,123,Brazil,
http://www.wikidata.org/entity/Q440,Salvador Allende,118,Chile,1973-09-11T00:00:00Z
http://www.wikidata.org/entity/Q529207,Ronaldo,116,Brazil,
http://www.wikidata.org/entity/Q80871,Gabriela Mistral,114,Chile,1957-01-10T00:00:00Z
http://www.wikidata.org/entity/Q39803,Mario Vargas Llosa,114,Peru,
http://www.wikidata.org/entity/Q368,Augusto Pinochet,113,Chile,2006-12-10T00:00:00Z
http://www.wikidata.org/entity/Q42410,Evo Morales,113,Bolivia,
http://www.wikidata.org/entity/Q142794,Neymar,112,Brazil,
http://www.wikidata.org/entity/Q40649,Cristina Fernﾃ｡ndez de Kirchner,111,Argentina,
http://www.wikidata.org/entity/Q320,Michelle Bachelet,111,Chile,
http://www.wikidata.org/entity/Q37181,Luiz Inﾃ｡cio Lula da Silva,110,Brazil,
http://www.wikidata.org/entity/Q58132,Nicolﾃ｡s Maduro,107,Venezuela,
http://www.wikidata.org/entity/Q39444,Ronaldinho,103,Brazil,
http://www.wikidata.org/entity/Q10490,Ayrton Senna,101,Brazil,1994-05-01T00:00:00Z
http://www.wikidata.org/entity/Q288933,Marjorie Estiano,101,Brazil,
http://www.wikidata.org/entity/Q26517,Luis Suﾃ｡rez,101,Uruguay,
http://www.wikidata.org/entity/Q40933,Eva Perﾃｳn,98,Argentina,1952-07-26T00:00:00Z
http://www.wikidata.org/entity/Q187447,Pablo Escobar,97,Colombia,1993-12-02T00:00:00Z
http://www.wikidata.org/entity/Q57311,Juan Manuel Santos,96,Colombia,
http://www.wikidata.org/entity/Q134165,Oscar Niemeyer,94,Brazil,2012-12-05T00:00:00Z
http://www.wikidata.org/entity/Q34076,Nathalia Dill,92,Brazil,
http://www.wikidata.org/entity/Q9094,Josﾃｩ Mujica,92,Uruguay,
http://www.wikidata.org/entity/Q232458,Natalia Oreiro,92,Uruguay,
http://www.wikidata.org/entity/Q531814,Kakﾃ｡,88,Brazil,
http://www.wikidata.org/entity/Q83566,Isabel Allende,87,Chile,
http://www.wikidata.org/entity/Q306,Sebastiﾃ｡n Piﾃｱera,85,Chile,
http://www.wikidata.org/entity/Q119562,Sergio Agﾃｼero,84,Argentina,
http://www.wikidata.org/entity/Q261534,Diego Forlﾃ｡n,84,Uruguay,
http://www.wikidata.org/entity/Q93330,Juan Domingo Perﾃｳn,83,Argentina,1974-07-01T00:00:00Z
http://www.wikidata.org/entity/Q164546,Alfredo Di Stﾃｩfano,83,Argentina,2014-07-07T00:00:00Z
http://www.wikidata.org/entity/Q164546,Alfredo Di Stﾃｩfano,83,Colombia,2014-07-07T00:00:00Z
http://www.wikidata.org/entity/Q174210,Julio Cortﾃ｡zar,81,Argentina,1984-02-12T00:00:00Z
http://www.wikidata.org/entity/Q368441,James Rodrﾃｭguez,81,Colombia,
http://www.wikidata.org/entity/Q152208,Gisele Bﾃｼndchen,80,Brazil,
http://www.wikidata.org/entity/Q1259,Javier Pﾃｩrez de Cuﾃｩllar,80,Peru,2020-03-04T00:00:00Z
http://www.wikidata.org/entity/Q172720,Dani Alves,79,Brazil,
http://www.wikidata.org/entity/Q134160,Josﾃｩ de San Martﾃｭn,79,Argentina,1850-08-17T00:00:00Z
http://www.wikidata.org/entity/Q561837,Mauricio Macri,79,Argentina,
http://www.wikidata.org/entity/Q251683,ﾃ・ngel Di Marﾃｭa,78,Argentina,
http://www.wikidata.org/entity/Q160206,Hernﾃ｡n Crespo,77,Argentina,
http://www.wikidata.org/entity/Q429039,Roberto Carlos,77,Brazil,
http://www.wikidata.org/entity/Q38136,Marcelo,76,Brazil,
http://www.wikidata.org/entity/Q180642,Garrincha,76,Brazil,1983-01-20T00:00:00Z
http://www.wikidata.org/entity/Q167790,Edinson Cavani,76,Uruguay,
http://www.wikidata.org/entity/Q463533,Michel Temer,76,Brazil,
http://www.wikidata.org/entity/Q483577,Rivaldo,75,Brazil,
http://www.wikidata.org/entity/Q43189,Juanes,75,Colombia,
http://www.wikidata.org/entity/Q58441,Robinho,74,Brazil,
http://www.wikidata.org/entity/Q82652,Felipe Massa Diaz,74,Brazil,
http://www.wikidata.org/entity/Q311872,Philippe Coutinho,74,Brazil,
http://www.wikidata.org/entity/Q50600,Carlos Tevez,74,Argentina,
http://www.wikidata.org/entity/Q178649,Romﾃ｡rio,73,Brazil,
http://www.wikidata.org/entity/Q184440,Jorge Amado,73,Brazil,2001-08-06T00:00:00Z
http://www.wikidata.org/entity/Q180455,Aristotle Onassis,73,Argentina,1975-03-15T00:00:00Z
http://www.wikidata.org/entity/Q47526,Zico,72,Brazil,
http://www.wikidata.org/entity/Q161571,Javier Mascherano,72,Argentina,
http://www.wikidata.org/entity/Q170899,Nﾃｩstor Kirchner,72,Argentina,2010-10-27T00:00:00Z
http://www.wikidata.org/entity/Q214903,Diego Godﾃｭn,72,Uruguay,
http://www.wikidata.org/entity/Q192671,Arturo Vidal,72,Chile,
http://www.wikidata.org/entity/Q167211,Alan Garcﾃｭa,72,Peru,2019-04-17T00:00:00Z
http://www.wikidata.org/entity/Q483846,Gonzalo Higuaﾃｭn,71,Argentina,
http://www.wikidata.org/entity/Q2642828,Alberto Fernﾃ｡ndez,71,Argentina,
