0,1,2,3,4,5,6,7,8
Afghanistan,33,Nadia Nadim,http://www.wikidata.org/entity/Q531727,wd:Q531727,37134259,Danish footballer,"Nadia Nadim (Pashto: نادیه ندیم; born 2 January 1988) is a professional footballer and physician who plays as a striker for NWSL club Racing Louisville FC. Born in Afghanistan, she represents the Denmark national team at international level.
Nadim is considered the most influential and greatest Afghan female footballer of all time, particularly because she won the French league title in the 2020–21 season with Paris Saint-Germain.",https://en.wikipedia.org/wiki/Nadia_Nadim
Albania,27,Luiza Gega,http://www.wikidata.org/entity/Q4134683,wd:Q4134683,39851294,Albanian runner,"Luiza Gega (born 5 November 1988) is an Albanian middle- and long-distance runner who specialises in the 3000 metres steeplechase since 2016. She won the silver medal in the event at the 2016 European Championships, and a gold in 2022 setting the championship record in the process. Her silver was the first ever Albania’s European medal, while her gold was the first ever title for the country at the European Athletics Championships.Gega represented Albania at the 2016 Rio Olympics, and 2020 Tokyo Olympics, competing in the women's 3000 m steeplechase.She competed at the 2019 World Athletics Championships, finishing ninth, and at the 2022 World Athletics Championships, finishing fifth, both in the 3000 metres steeplechase. In 2022 she became European Champion in that discipline, where previously, in 2016, she had been runner-up.
Gega is the Albanian record holder in the 800, 1500, 3000 (those three out and indoor), 5000, 10,000 metres, half-marathon and marathon distances as well as the 2000 and 3000 metres steeplechase.",https://en.wikipedia.org/wiki/Luiza_Gega
Algeria,29,Hassiba Boulmerka,http://www.wikidata.org/entity/Q233870,wd:Q233870,628737,Algerian middle distance athlete,"Hassiba Boulmerka (Arabic: حسيبة بولمرقة, born 10 July 1968) is a former Algerian middle distance athlete.",https://en.wikipedia.org/wiki/Hassiba_Boulmerka
Angola,16,Antonia Moreira,http://www.wikidata.org/entity/Q463073,wd:Q463073,13587334,Angolan judoka,"Antónia Moreira de Fátima (born 26 April 1982 in Luanda), nicknamed Faia, is an Angolan judoka.She competed in the +70 kg division at the 2004 Summer Olympics and lost in the round of 16 to Kim Ryon-Mi of North Korea.
Moreira also won medals at the 2004 and 2005 African Judo Championships (gold in 2004, silver in 2005) as well as bronze medals at the 2007 All-Africa Games and the 2008 African Judo Championships and a gold medal at the 2015 African Games.
At the 2012 Olympic Games, she competed in the -70 kg division, and was knocked out in the second round by eventual bronze medallist Yuri Alvear.At the 2016 Summer Olympics in Rio de Janeiro, she competed in the women's 70 kg division. She finished in 9th place after being defeated by Laura Vargas Koch of Germany in the second round.",https://en.wikipedia.org/wiki/Ant%C3%B3nia_Moreira
Antigua and Barbuda,10,Sonia Williams,http://www.wikidata.org/entity/Q1075535,wd:Q1075535,19065222,Antigua and Barbuda sprinter,"Sonia Olivia Williams (born May 28, 1979 in St. Johns) is a female track and field sprint athlete who competes internationally for Antigua and Barbuda.Williams represented Antigua and Barbuda at the 2008 Summer Olympics in Beijing. She competed at the 100 metres sprint and placed sixth in her heat without advancing to the second round. She ran the distance in a time of 12.04 seconds.",https://en.wikipedia.org/wiki/Sonia_Williams
Argentina,54,Gabriela Sabatini,http://www.wikidata.org/entity/Q105868,wd:Q105868,782187,Argentine tennis player,"Gabriela Beatriz Sabatini (Spanish pronunciation: [gaˈβɾjela saβaˈtini]; born 16 May 1970) is an Argentine-Italian former professional tennis player. A former world No. 3 in both singles and doubles, Sabatini was one of the leading players from the mid-1980s to the mid-1990s, amassing 41 titles. In singles, Sabatini won the 1990 US Open, the Tour Finals in 1988 and 1994, and was runner-up at Wimbledon 1991, the 1988 US Open, and the silver medalist at the 1988 Olympics. In doubles, Sabatini won Wimbledon in 1988 partnering Steffi Graf, and reached three French Open finals. Among Open era players who did not reach the world No. 1 ranking, Sabatini has the most wins over reigning world No. 1 ranked players. In 2006, she was inducted into the International Tennis Hall of Fame and in 2018 Tennis Magazine ranked her as the 20th-greatest female player of the preceding 50 years.",https://en.wikipedia.org/wiki/Gabriela_Sabatini
Armenia,29,Elina Danielian,http://www.wikidata.org/entity/Q433358,wd:Q433358,31105228,Armenian chess player,"Elina Danielian (Armenian: Էլինա Դանիելյան; born 16 August 1978 in Baku) is an Armenian chess grandmaster and six-time Armenian women's champion (1993, 1994. 1999, 2002, 2003, 2004). She has represented Armenia twelve times during the Women's Chess Olympiads (1992–2014). She played in the gold medal-winning Armenian team at the 5th Women's European Team Chess Championship in Plovdiv 2003. In 2021 she won the European Individual Chess Championship.Danielian won the World Under-14 Girls Championship in Duisburg 1992 and the World Under-16 Girls Championship in Bratislava 1993. In 2001, she won the European Women's Rapid Chess Championship in Minsk.In October of 2010, she was in the top 10 women chess players in the world. In March 2011, she was tied for first place in the Doha stage of the FIDE Women's Grand Prix 2009–2011.
Danielian won the bronze medal in the 2011 European Women's Championship in Tbilisi, scoring 8/11 points.In May 2019, Elina narrowly defeated grandmaster Kateryna Lagno (the reigning women's world blitz champion) in round 1 of the Women's Speed Chess Championship hosted by Chess.com. The match was a combination blitz & bullet format with the first set being 5 minutes with a 1-second increment (5+1), the second set being 3+1, and the final set being 1+1. The match was decided by the final bullet game as the score was tied leading up to the finale.",https://en.wikipedia.org/wiki/Elina_Danielian
Australia,58,Margaret Court,http://www.wikidata.org/entity/Q202342,wd:Q202342,244345,Australian tennis player,"Margaret Court  (née Smith; born 16 July 1942), also known as Margaret Smith Court, is an Australian retired former world No. 1 tennis player and a Christian minister. Considered one of the greatest tennis players of all time, her 24 major singles titles and total of 64 major titles (including 19 Grand Slam women's doubles and 21 Grand Slam mixed doubles titles) are the most in tennis history. 
Court was born in Albury, New South Wales. In 1960, aged 17, she won the first of seven consecutive Australian Open singles titles. She completed a Career Grand Slam at the age of 21 with her victory at Wimbledon in 1963. Taking a brief hiatus in 1966 and 1967, Court played as an amateur until the advent of the Open Era in 1968. She completed a Grand Slam by winning all four major singles titles in 1970, part of a record six consecutive major singles victories. She gave birth to her first child in 1972, but returned to tennis later in the year and won three Grand Slam singles titles in 1973. She took similar breaks after her second and third children were born, retiring from the game in 1977.
Court's all-surfaces (hard, clay, grass and carpet) singles career-winning percentage of 91.74 is the best of all time according to the Sporteology website. Her Open-era singles career winning percentage of 91.02% (608–60) is unequalled, as is her Open-era winning percentage of 91.67% (11–1) in Grand Slam singles finals. Her win–loss performance in all Grand Slam singles tournaments was 90.00% (207–23). She was 95.24% (60–3) at the Australian Open, 89.80% (44–5) at the French Open, 85.00% (51–9) at Wimbledon, and 89.66% (52–6) at the US Open. She also shares the Open-era record for most Grand Slam singles titles as a mother (3) with Kim Clijsters. In 1973, Court set the record for most singles titles won in a single Grand Slam event (for either women's or men's), with 11 Australian Open wins. This record was surpassed by Rafael Nadal in 2019 when he won his 12th French Open title, but it remains a women's record.
Court is one of only three players in history (all women) to have won the ""Grand Slam Boxed Set"", consisting of every Grand Slam title (the singles, doubles and mixed doubles). She is the only player in tennis history to complete a Multiple Grand Slam set, twice, in all three disciplines. Uniquely, she won all 12 as an amateur and then, after a period of retirement, returned as a professional to win all 12 again. Court is also one of only six tennis players to win a Multiple Grand Slam set in two disciplines, matching Roy Emerson, Martina Navratilova, Frank Sedgman, Doris Hart, and Serena Williams. She also won the Fed Cup with Australia on four occasions. The International Tennis Hall of Fame states ""For sheer strength of performance and accomplishment there has never been a tennis player to match (her)."" In 2010, the Herald Sun called her the greatest female tennis player of all time, a view supported by Evonne Goolagong Cawley.Having grown up as a Roman Catholic, Court became associated with Pentecostalism in the 1970s and became a Christian minister in that tradition in 1991. She later founded Margaret Court Ministries.",https://en.wikipedia.org/wiki/Margaret_Court
Austria,39,Anna Veith,http://www.wikidata.org/entity/Q233548,wd:Q233548,23672476,Austrian former alpine ski racer and Olympic gold medalist,"Anna Veith (née Fenninger; born 18 June 1989) is an Austrian former alpine ski racer and Olympic gold medalist. She was the overall World Cup champion for the 2014 and 2015 seasons.
Born in Hallein, Veith is from the village of Adnet in Salzburg and made her World Cup debut at age 17 in November 2006. She competed in all five alpine disciplines, but omitted slalom as of January 2012. Her first major success was becoming world champion in the super combined in 2011, without having won a World Cup race before. At the 2014 Winter Olympics in Sochi, Russia, Veith won the super-G at Rosa Khutor for her first Olympic medal, and at the end of the season she won the World Cup overall and giant slalom titles.",https://en.wikipedia.org/wiki/Anna_Veith
Azerbaijan,41,Aygün Kazimova,http://www.wikidata.org/entity/Q2361757,wd:Q2361757,5527409,Azerbaijani singer and actress,"Aygun Alasgar gizi Kazimova (Azerbaijani: Aygün Ələsgər qızı Kazımova) (born 26 January 1971) is an Azerbaijani singer, songwriter, pop musician, and actress.
She is a well known singer in Azerbaijan, Turkey and Russia. Her 2006 and 2007 solo concerts in Moscow and Baku brought her fame. During 2002 – 2006 she was president of the ""Best Model of Azerbaijan"" competition. Her ""Hayat Ona Guzel"" single was the most popular in Turkey on iTunes. Kazimova wrote and sang the anthem of the FIFA U-17 Women's World Cup 2012.  Her duet with Snoop Dogg Coffee from Colombia was a number one hit on the Azerbaijani, Turkish, Czech Republic, Colombian, Georgian and Russian charts. Kazimova has recorded ten albums.",https://en.wikipedia.org/wiki/Aygun_Kazimova
